start	end	text
0	8360	Welcome everyone to our third and final webinar as we work our way up to the day of doom,
8500	13760	as I call it, the conference next week, May 11th to the 13th.
16040	22620	I'm going to introduce here in a moment Joshua Kutchett and then engage Joshua in a conversation.
24200	26880	Just a couple notes, logistic notes.
26880	35100	First of all, for the guests, please ask your questions in the Q&A function, which is at the bottom of your screen.
36140	40440	Also, I will use your name unless you tell me otherwise.
40540	43200	If you don't want me to use your name, of course, I won't do it.
43240	46340	But you need to tell me that in the question.
47560	58680	Joshua and I will talk for about a half hour, 35 minutes, and then we'll open it up to a Q&A and engage the audience as best we can.
59500	60060	Okay.
61520	70180	Also, I hope it goes without saying that Joshua will be with us at the conference next week here in Houston, Texas at Rice University.
70320	76160	So please, if you're coming, feel free to stop and talk to Joshua.
76340	82760	well. All right, Joshua Kutchum. Let me just say a few words about him and then bring him into this
82760	90120	conversation. Joshua lives in Georgia. He's a native of North Carolina. He is a musician,
90340	97860	professional musician, plays the tuba and jazz and classical music, and is the author of seven
97860	106200	books. I hear there's another one, maybe two more coming out. I was first introduced to Joshua by
106340	114140	friend named Eric Wargo, a book called A Trojan Feast, which is a wild and wonderful book. I
114140	121960	immediately recognized what I would call pure originality. The subtitle of this book, I think,
121960	127620	says it all, the food and drink offerings of aliens, fairies, and Sasquatch. Nobody writes
127620	134220	like that. Nobody writes about that except Joshua Cutchin. His next book, even more so,
134220	143480	So The Brimstone Deceit, An In-Depth Examination of Supernatural Scents, Otherworldly Odors, and Monstrous Miasmas.
143620	147480	Again, the whole question of smells, paranormal smells.
148660	156060	Then another book came quickly after called Thieves in the Night, A Brief History of Supernatural Child Abductions.
156060	162680	and then a two-volume study of Bigfoot and the paranormal dimensions of the Bigfoot legends
162680	169720	called Where the Footprints End and then not last actually not last we'll talk more about others but
169720	176660	the the two three three volumes that that most caught my eye and certainly my heart Ecology of
176660	183520	Souls a New Mythology of Death and the Paranormal which really uh to kind of give it a
183520	196460	a quick summary links the UFO and the nature of the soul. So anyway, welcome Joshua to our
196460	205540	third and final webinar. You're it. You're the summary as we move into this next week.
205860	212600	Hot potato. Well, thank you so much, Dr. Kreipel. It's an absolute honor to be here.
213520	217780	That was an excellent summation of everything that I've done so far.
217920	219560	So kudos on that.
219900	221980	You're wildly original.
222460	228680	I mean, that's what I would say about your books is they don't follow the usual paths
228680	230580	that a lot of books follow.
230740	235820	The footprints don't end to misquote you.
235900	242760	I mean, you walk down a lot of, to a lot of forests that I've certainly never been.
244040	256460	Well, I had a saying once, and I suppose it bears repeating, that this field needs another book about something like Roswell, like a submarine needs a screen door, right?
256460	261440	right? I mean, it's just so many of these narratives have just been done to death. And
261440	269600	even when the waters aren't too murky to make sense of what's in there, I suspect that
269600	276920	approaching these things from a little bit more of a novel angle might stand to shed a little bit
276920	283180	more light on it than just sort of approaching it directly all the time. My mentor, Gregory Bishop,
283180	289400	who's a mutual friend of ours often talks about addressing things obliquely so that's been a big
289400	296220	influence on on myself but a lot of my my guiding force and what I've been doing is to is to take a
296220	301780	look at you know some of the literature that's out there and see where somebody you know mentions an
301780	307940	observation in a sentence and when that sentence appears in multiple forms across different authors
307940	312760	but nobody ever sort of unpacks it I say well this is a great thing to sort of take a look at
313180	327300	So the exchange of food and drink was one of those. The types of odors that are noticed in these numinous encounters is certainly something that people, you know, observe time and again. Boy, these UFOs seem to smell like sulfur. Something about demons. Anyway, moving on to the next case.
327300	332680	and so it just seemed to me like there might be more ramifications within each of those
332680	340160	little tidbits than than was being really appreciated so i suppose that my guiding
340160	345440	ethos has sort of become one of trying to understand more about these phenomena
345440	351380	through the tiny details than rather necessarily taking a big holistic picture because
352320	359040	you know i realized that the saucer error didn't necessarily start in 47 as some people claim but
359040	364500	let's say that it did you know 70 some odd years later like it doesn't seem like we're especially
364500	370060	closer to finding out quote-unquote truths than we have been in a while so that's so maybe if we
370060	374900	again approach these topics in a little bit more of an indirect way we might actually learn
374900	381000	something at the end of the day you are i mean you use this adjective i think it's very appropriate
381380	390120	yourself a Fortean, you know, in the lineage of Charles Ford, who, you know, one of my heroes,
390220	396480	and one of the great comparativists of the 20th century, who nobody in this comparative study of
396480	403340	religion or culture or anything else ever reads or would even remotely want to own. But he had
403340	410800	a similar, well he had a different quirky humorous style than you do, but his focus on these details
411380	418500	that don't quite fit in to any of our orders of knowledge. It does remind me a lot of what you do
418500	424460	in the books. Today being the anniversary of Charles Fort's passing, actually. Really? 91
424460	429240	years, I think. I was looking at something else today, and I said, oh, it's May 3rd. That's today.
429420	435460	So I'm going to make a confession here online. I don't know if I've ever said this, but I've only
435460	444200	sought out one gravestone in my entire life. I have never visited a person's grave except
444200	455720	Charles Ford. And I went up to Albany and made a pilgrimage to the Ford family graveyard.
457320	463540	And I heard from Forteans, you know, after I saw my earlier books, and I didn't actually know
465460	472460	till later um so he's i think he's one of our unsung heroes in all of this i would i would agree
472460	476560	with that it's part of the reason that i've personally taken up the 14 mantle with such
476560	484140	enthusiasm because with for me it's it's also it's not just a subject matter right it's not
484140	489820	just the phenomenology of these experiences it's also sort of an attitude and a disposition as well
489820	496700	if you really follow in this true 14 footsteps um you know you do measure a circle from anywhere
496700	504100	and you do pick up a history from its frogs and you just survey things with i wouldn't necessarily
504100	509800	call it a certain agnosticism but it's a certain i think detachment when you sort of take a look
509800	515260	at these damn facts and you know i i i have a confession to make which is that when i first
515260	519580	wrote a trojan feast it being my first foray into this topic i'm like oh man do i have to
519820	525540	to vet every single case. And I really sort of fretted over that. And I came to the conclusion
525540	529680	that once you approach things from that sort of almost 14 perspective, you can just say, look,
529760	536300	this is, this is the story. And I don't know if it's true. And I don't know the necessarily the
536300	541780	credibility of these witnesses or whatnot, but here are 17 other stories that look the same way,
541800	547380	you know, Fort said something similar about slowly falling rocks and poltergeist cases, right?
547380	560140	Right. So it's proved to be a guiding light for me along this path as I've gone deeper and deeper and continued to ruin my reputation amongst friends and family.
561760	569660	The other way I put that is humor. You know, when you read Charles Ford, you laugh a lot. At least I laugh a lot.
569660	576220	and I mean there's there's lines like you know he'll be talking about finding a dragon or a
576220	580600	sea monster on a beach and then he'll he'll just write this one line he'll say something like
580600	586980	well that's a bit too much a little too interesting or something yeah that's just too much I'm gonna
586980	592080	go on and then he just goes on and he doesn't explain it he doesn't defend it and I'm just like
592080	598840	oh wow that's that's a different attitude right there than this this more uptight one that I think
600400	607680	it and it does you know it does seem to be uh there seems to be a tension matching our times
607680	612560	all around some of these topics nowadays so yeah that's it always finds it to be a breath of fresh
612560	619200	air so let me ask okay so let's let me let's dig down a little let's let's learn about joshua
619200	626400	cutchen um i and i'm sure you've done a lot of these interviews but maybe not i don't know
626400	634520	let's talk about how you got into this crazy mess and how you came to write these books the books
634520	640440	that you you have written have published I mean tell us the the backstory of this and how how we
