start	end	text
0	6180	My name is Leslie Kane. I'm an investigative reporter and author, and I'm here to introduce
6720	12640	the oral history interviews that I conducted with Stuart Alexander for the Archives of the
12640	20040	Impossible at Rice University. Stuart Alexander is a physical medium who resides in northern England
20720	28440	and has been practicing his mediumship for 40 to 50 years. I have known him for about 10 years.
30000	35560	his mediumship very deeply, have sat with him numerous times, gotten to know him very
35560	41260	well and have great respect for his work. I also arranged for the transfer of his archives
42160	52220	to Rice. So the interviews that I conducted with him were made in May of 2024. One of
52220	58080	them in his study in the UK at his home and the other in the seance room where he practices.
60000	65380	memoir, which I would encourage anyone to read who's looking into his work, and it also gives
65380	72220	you a really good feeling for who he is as a person. This is what got me interested in him
72220	79180	very deeply just from reading this book. So two points I want to make quickly before we go to the
79180	85020	interview. We had some technical issues when we were filming over there, so a couple of things
85020	93480	were left out. At one point, Stuart mentions the name Christopher in connection to book tests, and
93480	99840	Christopher is one of the members of Stuart's spirit team, one of the guides who works through
99840	105140	him. He's a young boy, and you'll hear more about him later, but I just wanted you to know who he
105140	111840	was when Stuart first mentions the name. Secondly, he opens up the interview talking about a book
111840	123000	called On the Edge of the Etheric by Arthur Finlay, which came out in the early 30s and was an absolute classic in the world of spiritualism and physical mediumship.
123180	132060	And he is talking about how that book is really the catalyst that set him on his journey towards becoming a physical medium.
132060	140540	Yeah, on the edge of the etheric, had my brother not purchased that book and passed it to me,
140620	151980	then I have absolutely no doubt that my journey through this life would have been very, very different to what it was or what it has been since I read that book.
152220	157520	And it set me upon a journey, definitely a spiritual journey.
157520	164340	journey. I had absolutely no thought whatsoever that I could possibly develop mediumship myself.
166100	174040	But of course John Campbell Sloan was a physical medium and I was to discover that mediumship
174040	181560	is either classed as physical or mental. But it was the physical that really really interested me.
181560	188600	Now I can explain in a few words what mental mediumship is and what physical mediumship is.
189320	196100	Mental mediumship is where a medium alone can hear the voices of the so-called dead,
196800	202580	sometimes see the so-called dead and sometimes feel their presence.
202880	209720	Now in hearing the voices of the dead, then they can pass messages on to people,
211560	217060	from their loved ones, their deceased loved ones, or they can describe what they are able to see,
217220	224320	etc, etc, etc. Physical mediumship is something very, very different. It takes place in what we
224320	232260	refer to as a seance room, and this is a room where people gather together and sit. The medium
232260	240640	invariably will go into a condition which is referred to as trance, and then everything that
241560	248820	within that room, everyone taking part in that seance can see, can hear the same thing.
249900	258220	And for example, on occasions, the spirit people are able to speak totally independent of the physical medium.
258380	263800	The voices presumably seeming to come out of thin air.
263800	274800	on occasions with a very very developed advanced physical medium the spirit people are able to
274800	284180	actually materialize seemingly as solid human beings and people in the past on so many many
284180	292200	occasions of taking part in such seances have been able to identify their deceased loved ones
293800	302760	through that mediumship and all the stories I've heard over the years are absolutely extraordinary to say the very least.
302920	311700	So physical medium is where they sit, people taking part in the séance can hear the same thing, see the same thing,
311800	320220	things can move about within the séance room, seemingly untouched by any human being, anyone taking part in the séance.
320220	329180	So that's the difference between the two. Mental mediumship, the medium alone can see, hear, feel, sense, etc.
329500	341240	Physical medium, generally speaking, is in a condition called trance and it has absolutely nothing to do with what transpires within the seance room.
341540	343460	Extraordinary things can occur.
343460	348820	care. So it was basically physical mediumship because of reading the book On the Edge of the
348820	355680	Etheric that really really excited my interest and also my brother's interest and so we began to
355680	363520	acquire books basically dealing with physical mediumship and there are great
365380	372880	innumerable books about the subject and we began to acquire these books and read them and
373460	380380	we decided that we would begin to visit the local spiritualist church which was called the Temple
380380	392680	of Truth and we were made to feel very very welcome I have to say and we would be able to
392680	400740	watch mediums demonstrating from the platform. These were mental mediums sometimes what they
400740	404040	they were actually coming out with was very, very interesting indeed.
404340	407680	Sometimes the mediumship wasn't very good.
407800	412560	It appeared to be not very good, but nevertheless, it was nice to be there
412560	417480	and to be a part of these services as they were called.
417980	419480	And eventually,
422200	428600	we were invited to join a circle,
429980	438020	A gentleman and his wife, he was the medium for the circle and they invited us to join their circle, which we did.
438160	442340	And that, I have to say, was quite interesting, to say the very least.
444060	449260	And then eventually we just took the decision to form our own circle.
449540	451640	And this was just purely out of interest.
451800	455880	None of us, none of us had any thoughts that we could develop mediumship.
455880	461400	but we thought by sitting together, you know, it was like an experiment
461400	466780	and the circle was made up of family, friends and our next door neighbours
466780	469500	who themselves were very, very interested.
