start	end	text
0	6900	Hello Dr. Haynes, it's nice to have you here today. Thank you for agreeing to answer questions
9880	16220	about the archival collection participating in this project. And so just to begin and just to
16220	22880	introduce yourself, could you please tell us a little bit about your work in NASA
22880	27700	and a job there, your background, I think that all of that is interesting.
27700	51500	Sure. Well, very briefly, I began my professional work with the Space Agency in 1967 as a postdoc researcher working on the Gemini program, the two-man capsule that was working out procedures for rendezvous and docking, basically, and life support.
51500	77900	In 1967, then, I was hired as a full-time civil servant for NASA as a research scientist and continuing to do research in what I would call simulation, space simulation, with emphasis on high luminance, very bright conditions, as you find in space.
77900	85700	And over the years I worked on the Apollo program, Skylab program, Space Station program,
85960	89940	and eventually in several areas of aeronautics as well.
90380	94480	So that's in a nutshell much of my career.
94840	95540	Sure.
95640	100080	And just for the record, your discipline is psychology, isn't it?
100620	105160	Experimental psychology and a minor in physiology.
106500	117700	Okay. And in all this picture, when did your interest in the UFO cases started to appear, started to develop? What ignited it?
118200	133120	Good question. One of my jobs was to carry out flight simulator research with aircraft simulations that we have at NASA Ames at Moffett Field in California.
133120	144140	And so during that time, I would often meet pilots who we would hire to come in and fly our simulators.
144260	145260	They were commercial pilots.
145520	147520	And I would get to talking to them.
147720	153900	And after we were done with the research, I had this interest in unidentified aerial phenomena.
154620	160220	And I would ask them the question, oh, by the way, have you ever seen anything you couldn't identify?
160220	167600	And every once in a while, they would look at me and say, well, yes, but if you promise
167600	170280	not to tell anybody, I'll explain the details.
170520	171040	And they did.
171260	173260	And so that's what got me started.
173700	179700	Because I was convinced from my earlier research that I could explain UFOs.
181000	184200	I was able to fool the observer in my laboratory.
184200	196100	I could change the shape, the size, even the color, the distance estimations of what they were looking at merely by controlling the optical variables.
197160	201600	And they couldn't tell me accurately what they were seeing.
201800	212600	And so I said to myself, well, if that's the case, then UFOs, UAPs are probably misidentified natural phenomena of some kind.
214200	220000	to these pilots, I had to change my mind. Because when they told me the details of what they were
220000	227380	seeing while they were flying with other flight crew in the cockpit, I had to admit that I couldn't
227380	234900	simulate any of that. There's no way that that would be a misperception, an optical effect in
234900	241000	the eye, for instance, or in the windshield of the airplane, or some other place like that.
241000	255620	So that's basically how I got started in studying seriously the UAP phenomena, which became fascinating, became more than a hobby, almost a compulsion.
257540	265840	And yeah, you're saying that you have rejected your original idea about the nature of these phenomena.
265840	272740	phenomena, but have you ever developed any other hypothesis about the nature of all of
272740	273440	these sightings?
274340	277000	You mean the core identity of them, you mean?
277200	277320	Yeah.
277760	280360	Ah, that's the fundamental question.
281040	285480	And that's a complex question and a complex answer.
286060	292080	And I would guess I would have to say honestly that after many years of looking at the evidence,
292080	296480	and not just pilot sightings, but people on the ground,
297100	299700	man on the street, you might say,
299780	304060	I've come to see another truth behind it.
304420	307560	And that truth is in the word intelligence.
308820	312320	If we can show intelligence behind the phenomenon,
313180	316220	then it is either human intelligence from this planet
316220	319740	or alien intelligence from somewhere else, right?
319740	319840	Right?
321200	340580	So, using that as an argument or a hypothesis, I began seriously looking for evidence of intelligence behind the control, the decision-making, the responses of the phenomena to pilots flying airplanes, for instance, or people on the ground who shoot guns at them.
340880	342940	And that happened a lot, by the way.
342940	349280	And I wrote a book some years ago called Close Encounters of the Fifth Kind, CE5.
350640	354980	And by definition, CE5 is a human-initiated contact.
355900	356960	Think about that.
357420	366240	It isn't like you're out at night walking your dog and you see a light in the sky and then you report it.
366240	371960	No, you're out at night walking your dog with a flashlight and you flash signal to the object
372480	374460	or the light source and it flashes back.
374840	376180	That's a CE5.
376640	383640	And I discovered over 400 cases from around the world where the phenomenon signaled back.
384140	389560	Well, the question then is, was that response intelligent?
389560	397600	intelligent? And the conclusion I came to, and I committed myself in this book, that
397600	406200	the answer is yes, it was a sign of intelligence. So to me, that was a major step forward in
406200	412700	my understanding of the phenomenon. But still, I'm still facing the issue, is it human or
412700	416560	is it alien? And that's still the unanswered question.
419000	432380	Okay. And is that the reason why do you think it's so important to study that? Or is there any other reasons why it's so important as a topic to research, as a topic to discussion?
436960	445640	Well, I'm of the age where I see the value of wisdom of older people who've lived longer
445640	448480	than I have and to try to learn from them.
449040	452900	And this applies to every culture, not just Americans.
453180	456960	It applies to Europeans and Africans and Asians and so forth.
456960	464640	Well, UFO phenomena, UAP phenomena are being seen around the world all the time.
465540	472540	And so there's got to be wisdom being built up, accumulated by the Russians, for instance.
472840	477780	They're still doing quite a bit of research on this subject, as some other countries are
477780	479860	as well, France being another example.
481400	486780	and what can we learn then from their experiences that are not culturally
486780	493440	linked to American or Western let's call it Western culture it's been argued that
493440	499240	the phenomenon is a culture bound phenomenon I don't think so I think it's
499240	506680	international but do you think that there is like maybe a part of it that is
506680	513500	is culturally defined or colored by specifics of a particular culture,
513640	516120	and then the other part that is universal.
516380	517460	Is that a correct description?
517520	519560	Sure. Yeah, I think that's very possible.
519840	525680	I think it has to be by the nature of humans reflecting their culture
526680	530500	so that the vocabulary in the English language we use
531280	534360	will have a bias to it in some direction.
534360	538440	It will be more or less precise than another language, for instance.
539040	544200	I'm quite convinced that if we had used Greek, we'd be far more accurate than we are today.
545260	546820	That's my own personal opinion.
547440	550880	So yes, culture does play a very important role.
551240	561380	However, because the phenomenon is so international, so related to the planet Earth as a unit,
561380	568920	that it has to have something well beyond culture is that clear that makes
568920	577600	yeah absolutely okay so I know that you did a lot of collaboration with people
577600	583440	from different countries and like a lot of correspondence and that covers like
583440	589420	surprisingly a lot of a lot of regions like South America Asia Russia Ukraine
591380	596200	So, can you just tell a little bit about that attempts to collaboration?
597200	605340	It's like all part of it is interesting, like collaboration with Asian countries is very interesting,
605440	611500	particularly collaborations with like Soviet Union and then later on Russia and Ukraine is also very interesting.
611620	614060	So, if you could just tell a little bit about that.
614440	615580	Sure, sure.
615580	629640	Sure. The state of the world today deserves, I would say, much more communication that is collaborative and positive.
629640	638700	And the serious study of UAP, which is an international event, can help break down barriers
639260	648240	between countries, can bring more understanding across country lines from one country to another,
648440	655480	as individuals of those countries meet and share information and don't distrust one
655480	662040	another but work hard to understand a common phenomenon which may or may not be alien.
663260	670160	We don't know yet. And so my concerns about international collaboration had two focuses,
671000	679180	and one was that very thing of helping to, after Perestroika, for instance, to break down this
679180	683540	this dividing wall between Soviet Union and America,
683700	685900	with Russia today in America,
686980	690160	that ufology, the study of UFOs,
690160	692120	could be a step in that direction
692720	697040	of helping people appreciate one another
698480	700580	for what they're contributing to this understanding,
700820	701140	you see.
701940	704200	But the second focus really was more scientific
704200	712680	and objective, that by having international collaboration, I would learn from what other
712680	718480	people have found out. And I can't do that unless I collaborate. And so I made friends
719060	726140	around the world. And I still have many friends from many countries. And we communicate and
726140	733640	we share information. It never gets published. It's behind the scenes, so to speak. But nonetheless,
734200	740900	I think it's contributing to not only my understanding of the phenomenon,
741120	746620	but perhaps to international friendship and making friends across boundaries.
748200	754440	So the first reason is basically the same as it is like behind all scientific collaboration in general?
755320	759040	Just to bring everybody together and to share perspectives and so on?
759340	760400	Yes, yes.
760680	763940	That like applies to that as to any other field, okay.
764200	764300	That's right.
764480	764940	Yeah.
766120	770400	I was actually interested about China in particular.
770720	776500	I mean, it's not the country that readily is associated with like ufology and so on.
776620	785060	I know that if I understood that correctly, you even tried to contact some officials from
785060	792840	Chinese Communist Party to get a kind of permission to like some international projects related
794880	800300	And it seems that in 1990s there was some wave of interest to this topic in China.
801980	802940	So, yeah.
803340	804900	Yes, I did.
806360	815720	I felt that just the size and magnitude of China and the number of witnesses there, those are a lot of eyeballs.
816280	817460	There's a lot of cameras.
817460	824480	There's a lot of science going on there that they might be willing to collaborate with
824480	832020	a project from America, in this case from me as an individual representing NARCAP, that
833300	835120	we all could profit from.
836280	841880	I don't want to go into the details of the student competition that I suggested, but
841880	846880	But it was an attempt to break through that bamboo curtain, so to speak.
848180	857440	And going in with the naive assumption that they would take me as an honest American citizen
857440	861060	and not some spy or representative of the government, which I'm not.
861320	862720	Just a citizen, right?
865080	875160	That was, to me, a challenging project that I proposed to the universities and various
875160	879680	other places in China, and it didn't go through.
879880	882880	It was not pursued, if you will.
883740	891380	But I think what you have read in the reports, in my files basically, it gave you an idea
902340	911640	yeah so so basically they did not respond to that very like eagerly no no I want to make
911640	920120	it clear that we did not submit it to them okay ah we did we never submitted it that far we
920120	926060	prepared I prepared many pages of the proposal but we never went ahead and
926060	935080	submitted it okay so that's how it works with with China was how was it with like
935080	940260	the Soviet Union you started to communicate with people from there when
940260	945660	it was still kind of in Cold War era although probably it was already
945660	952240	perestroika but still I mean it should be it shouldn't be hard to communicate
952240	957780	with people like from the Soviet Union back then in like I'm 80s or something
959060	972200	well what do I say there have been since Tchaikovsky rocket pioneer in the Soviet
972200	981940	Union days, ever since then there have been a growing interest in UFO phenomena that have
981940	985160	been happening over much of the Soviet Union.
985600	990760	And so those were back in the days when I was just getting started, just getting interested
990760	992440	in this phenomenon myself.
992800	1002040	And so I wrote a letter to Dr. Felix Zeigl in Moscow at the Aviation Institute, and I
1002200	1009140	introducing myself at that early stage. Well, that began the process then. I was very interested in
1009140	1017520	Russian as a language and still am and began to form friendships and co-acquaintances, let's say,
1018280	1024280	with people in the Soviet Union. And I was working for the government at that time, and I'm sure the
1024280	1031480	FBI wasn't too happy about that, but that's a different story. Because as a citizen, I still
1032200	1040860	them. So at any rate, I got to correspond with a number of scientists there about my own research,
1041140	1049200	and they would send me documents to Pladi in Russian and some translated into English,
1049320	1055320	where I began to have a bit of a perspective on how they were approaching this subject,
1055960	1060440	as opposed to how America and the western world was approaching the subject.
1062200	1079940	And I was very impressed. Many of them were doing some very high level work, theoretical work that might be interpreted not as psychological explanations, but maybe geophysical explanations.
1079940	1093560	nations, maybe related to cosmology or the cosmos, basically, or astronomy, or magnetism,
1093580	1094880	or gravity.
1095600	1101040	And I found that very few of my colleagues in this country, in America, were doing that
1101040	1102060	line of research.
1102060	1110980	church, we would be diverting off to another area, perhaps in psychosocial areas or sociology,
1111800	1119140	what you call the soft sciences. And so I was very impressed with the hard science approach
1120180	1127400	that was going on behind the Iron Curtain at that time. Well, over the years, Perestroika
1127400	1138540	America happens and I meet Dr. Azhazha, Vladimir Azhazha, and we get to be acquaintances and
1138540	1139280	then friends.
1140600	1143920	He served in the Soviet Navy, by the way, on a submarine.
1144320	1150220	At any rate, he's a controversial man, I understand.
1150220	1158040	stand. But nonetheless, he is a spokesman in the Moscow region for this kind of research.
1161720	1168420	And we've been sharing documents and so forth. Also in the Ukraine, Dr. Vladimir Vypsov,
1168640	1175660	who recently passed away, as you may know, physicist, top level guy, very nice guy.
1175660	1199040	I was invited to Moscow to speak at the Academy of Sciences. I forget the year now, but it was approximately 98, 96, somewhere in there, where I spoke to the committee on ufology and shared some what I felt were good cases, really solid UAP cases from America.
1199040	1207100	at that. So anyway, I guess that's how I would answer your question. I'm still impressed with
1207100	1216540	what's going on. I will say this, that more recently, the Russian ufologists seem to me
1216540	1225300	to have transferred a little bit into what I would call psychic or paranormal areas,
1225300	1237040	as opposed to the hard hard science areas and why that is I don't know do you think it might
1237040	1244600	be attributed to maybe like turn from the overall Soviet ideology which is highlighted stress it
1244600	1252080	kind of materialist metaphysics and thus like maybe more stressed like physics and hard sciences
1252080	1261140	is a virus like now maybe just not there anymore do you think that might be part of the reason for
1261140	1269860	that that's possible uh there could be simply a bias a a negative view of ufology these days
1270640	1278060	that's held by the hard scientists that's a psychosocial issue um that's that's the kind
1278060	1283980	a question that psychologists ought to be looking at. Why is there this bias change from time to
1283980	1289620	time in many countries, by the way, not just Soviet Union, not just Russia, not just America or England,
1289760	1298340	France, but there seems to be waves of change of attitude from the soft sciences to the hard
1298340	1306100	sciences. To me, that was a master's or a doctoral dissertation there, if somebody wants to look at it.
1308060	1316640	I noticed by the way that you prefer the term UAP to the term UFO. Can you just comment a little bit on that?
1317240	1334400	Sure. The term UFO of course was basically from about 1947-48 and immediately the press picked up on it and began to make fun of it.
1334400	1341580	They ridiculed it. And when you think about the word UFO, unidentified flying object,
1341900	1346440	it may be unidentified, but you don't know if it's flying, and you don't even know if it's an
1346440	1354360	object. And so it's pejorative to begin with. And so, I don't know, some 15 years ago, 10,
1354360	1362200	10, 15 years ago, I came up with the term UAP, unidentified, which it still is.
