start	end	text
11280	12020	Hello Jacques.
13760	14640	Good afternoon.
15960	16740	How are you today?
17040	17700	I'm good.
17780	18580	How is Texas?
19280	20160	Oh, it's all right.
20620	21060	Yeah.
21960	24080	Nice and warm down here even in the wintertime.
26280	27160	And how about you?
27180	28700	Are you in San Francisco?
31160	44900	Yes. Can you see me all right? Too much light? No, it's perfect. Okay. How about you? Am I audible? Yep, perfect. Great. I'll go ahead and pause the recording here.
48440	54380	All right. Hello, everyone. My name is Tim Grieve Carlson. I'm a PhD researcher at Rice University
54380	60400	here to conduct the oral history interview with Dr. Jacques Vallée. And I'll let everyone
60400	69960	introduce themselves. I'll jump in quickly before Jacques Vallée, we get into the discussion with
69960	77460	him. I am also a grad student at Rice with Tim and I've had the immense pleasure over the past
77460	83260	few years of helping to assist with this collection that's being put together and just the
83260	90040	impact of seeing all the boxes and all the research over so many decades all over the entire world,
90120	95480	these documents being collected is incredible and it's just inspiring to think about
95480	100560	what use we made of these in the decades to come.
100740	104340	So just want to say a huge thank you
104340	106700	to making this possible Jacques.
107340	111520	Well, I should thank you and Rice also,
111660	117500	because usually a researcher leaves a bunch of boxes
117500	124180	and papers and so on, and then his wife or his children
125480	129160	of either throwing it all away with great guilt
129860	132220	or trying to do something with it.
132300	134440	And if they give it to a university,
134600	137060	it usually goes into a basement
137060	140180	and it's available in theory,
140440	142960	but it gets quickly forgotten.
143120	145840	And I've seen that, of course, again and again
145840	147560	with colleagues of mine
147560	150440	and things I would have liked to look at
150440	151380	that were not available.
151380	162500	So it's actually a great pleasure for me to know that this will be preserved and that it's available to people.
162760	176060	Now, as you know, in the paperwork, I put a 10-year period during which it's not available generally publicly.
176060	182560	publicly. And that's mostly, it's not to protect me, because I, you know, I don't think there is
182560	188520	anything very objectionable. I mean, everything can be critiqued, but I don't think there is
188520	194560	anything objectionable in, in any of this, but I do have to protect the witnesses and
194560	203660	the people who've corresponded with me and so on. And I think a 10 year, you know, lag is,
203660	208560	Now, it's not accurate to say that it's not going to be available.
208960	214740	I think it's, but the decision will be certainly, you know, Jeff has access to it.
214840	224760	His, you know, body of, the student body and working under him like you guys, you know, certainly has free access to it.
224760	234400	And to me, since I'm not dead yet, you know, so I can, if there is some ambiguity in the data, I can still explain some of it.
236780	250980	But it could be, you know, there is a bona fide researcher outside and I've designated, you know, Dr. Nolan and Dr. Pasulka, you know, obviously have access to it now.
250980	258520	and others, it's on your discretion and Jeff's discretion to give access.
261660	267000	I was wondering, and it's clear when thinking about a donation of this kind, there are so many
267000	272440	dynamics to consider in terms of the witnesses, as you said, when does it become available to a
272440	281460	a researching body. And I'm curious as to, in terms of making that decision to entrust your
281460	287400	archive to Rice, could you tell us more about what enabled that decision to make that donation?
288580	293160	Possibly your relationship with Jeff may have played a role here. I'm curious about what
293160	302240	motivated you to choose Rice as the repository. Well, over the years, of course, I've seen
304840	313280	collections being donated to universities with no further, you know, either even indexing and,
314480	320380	you know, boxes and boxes of books and documents going to, as I said, into a basement somewhere.
320620	327720	And obviously, I've thought long and hard about what would happen to the stuff that I had
327720	332820	had collected and I was inspired by, I think,
332820	335600	by a sense of pity for the poor librarian
335600	339560	who would get all this without any organization
339560	340880	or direction.
341280	345200	I mean, who are these people that Valet thought
345200	349040	were so important that he would write to them every week.
349500	354720	So to the extent that, and I'm the best person
354720	357420	to sort of sort through that.
357680	360540	Believe me, I've thrown out just as much material
361120	364480	as what you have, which was either repetitive
364480	367800	or I knew was already there, you know,
367800	370280	scanned on the internet or whatever.
370460	372600	And I concentrated on the things
372600	375440	that would not be so easily found.
375680	379580	And then, you know, I wanted to organize it.
379640	382900	Now, rice, obviously, you know,
384720	387500	that because we've worked on material before.
389740	396040	And rice of course is, you know, has a superb,
396240	400240	and I visited the library and the stacks and so on.
400280	403040	And actually they are the ones who told me
403680	406560	what kind of folder to buy, you know,
406620	409800	for some of the files and so on and how to do it.
409880	412140	So it could be easily transferred.
412140	415460	So that was very professional.
415660	421680	The fact that I know that Jeff intends to write a series
421680	425620	of books now on the development of the phenomenon
425620	428200	and the problem in general.
429140	433380	And he told me that this could feed into that.
433720	437180	And so I wanted to make it available to him.
438080	440740	So this is the overt take.
442140	452080	covert thing is, you know, the, the department where you are, is
452660	457260	studying spirituality in a large sense, and under the name of
458220	462160	religion, that but beyond religion, that spirituality and,
462900	467720	and, you know, philosophy of both perception and reflection
467720	472060	or the world, I would be afraid of,
472220	478020	I had been contacted by Northwestern and by Stanford
478020	480720	to give the collections to them.
481640	485260	And, you know, there are horror stories in this field
486100	490740	where things have been, that felt important at some time
491420	493600	had been donated to a university.
493760	496440	And then the physics department says,
497720	505080	wasting shelf space for this garbage, you know, let's throw it away. And I could cite some
505080	509840	universities where the things that were donated by the founders of the university,
510460	516820	ended up being thrown away, because they had to do with stupid subjects like parapsychology.
517200	526620	So and there is one not far from from here south of where I am. And I think that's a scandal. And
527720	538560	that you are not subject to sort of the abuse of all the vagaries of, you know, ideas and doctrines
538560	548020	and theories in this way is that you can, you can keep things over a long time. And, and I know you
548020	554620	intend to do that. So that's reassuring to me. Because I've been, in a way, I'm the custodian,
554620	572860	I mean, I'm giving it as a gift, but I'm really the custodian of thoughts and writings that have been entrusted to me by, you know, by people, by witnesses, by other, you know, people corresponding with me and so on.
572860	579640	So I have a duty to preserve it and to make it available through people who care.
579880	585740	And that's the relationship that I feel with Rice and with Jeff.
587080	587920	Thank you.
587980	590360	I wanted to follow up on one of those remarks.
590520	598600	You mentioned how the Rice department is, especially Jeff, is studying spirituality in a larger sense, religion, philosophy.
598600	601940	and it's within the Woodson Research Center.
602280	604480	It wouldn't necessarily just be a,
604500	607060	it's not coded as just religious studies, of course.
607100	609740	Your donations are much broader,
610280	612520	significantly broader than just that lens.
612800	615580	And you have a much scientific material as well.
616300	619900	And I'm thinking it strikes me what you said about universities,
620220	622460	other universities might want to pick and choose,
622720	626480	whereas we're really interested in the whole kit and caboodle, so to speak.
626540	628040	We don't want to leave things out.
628600	630420	And I see it from a historical perspective.
630520	633260	It's important to have as complete a picture as possible.
634140	637180	But I'm curious if you could speak about these different disciplines.
637220	647860	If someone were to only approach it, say, through science or only through religion or only through humanities, what are the ways, does your work transcend these categories in some way?
648440	651860	And is it important to have it all together to get that complete picture?
652580	660460	Well, in a way it transcends it because we don't know, we don't understand the phenomenon.
660700	671900	I mean, if we understood it, we could say, well, it's, you know, astronomy or it's physics or it's, you know, it relates to this particular theory and so on.
672040	676260	So there would be a label on it and it would go into that label.
676260	690080	The fact that the phenomenon is so varied, it can be approached, you know, from Carl Jung's point of view, in psychiatry in a wide sense, but, you know, extended to spirituality.
690540	699440	It can be approached as religion. I mean, look at the Bible, I mean, and some of the writing here goes into, as you know,
699440	710800	I've tried to go with different groups of people into the medieval history, into the, you know, ancient history of the phenomenon to see when did this begin?
711060	714280	I mean, and was it different in those days than it is now?
714540	726320	Is there something that we haven't picked up in, you know, the history of civilization or anthropology or anything else?
727560	736320	I think what, you know, nobody has one key to this. So that makes it more exciting in a way.
736840	744060	Now, from a purely scientific point of view, it's a disappointment because we'd like to have,
744360	750280	you know, one methodology, one, you know, set of criteria we could apply to it.
750280	759260	but we can't do that. It's too early. So the diversity of the collection, I think, is an asset.
763360	768620	Jacques, earlier you mentioned a few of those people that you found yourself corresponding
768620	773420	with on a weekly basis. And I wonder if you could tell us a little bit about the French
773420	778660	ufologist Amy Michel, who was an important influence on your early interest in UFOs,
780460	782900	pursue serious scientific work in this area.
784400	786180	This correspondence is part of the collection.
786360	787820	I wonder if you could just tell us a little bit
787820	789440	about Michel and your relationship with him.
797860	804100	Aimé Michel was maybe typical of,
806140	809400	no, I couldn't say he was typical of anything,
810280	826380	But he was part of a French way of thinking that was both rested on rationalism and science,
826680	835080	but he was also a scholar of antiquity, Greek and Latin.
835080	841160	and he was very interested in spirituality.
842340	846100	And he was also, I mean, professionally when I met him
847760	851240	was working in a unit of the French radio and television,
852240	855640	mostly radio in those days, started right after the war.
856520	860460	That was very, very experimental and very,
861100	864740	it doesn't exist anymore, except in little pockets,
865080	871240	but there was a cadre of young people who emerged from World War II,
872460	876820	enthusiastic about electronics, about broadcasting,
877140	881820	about reaching the public with big ideas, and were scholars.
883300	889000	Which, I mean, obviously, you know, the media has become businesses,
889100	890860	and it's driven by business now.
890860	913780	And there is no, none of that opportunity for real time experimentation with a public medium. And because at that time, right after the war, you know, the French radio was the state organization, just like, you know, a state university, they could do research, they could do whatever they wanted.
913780	926060	it. So it was very, MA did a number of interviews with leading thinkers, and then he contributed
926060	935760	his own research. And when the UFO problem and other things in parapsychology came up,
935760	944760	he had both the talent and access to people because he came from a state organization.
945820	952780	But he also had sort of a license to talk about anything. So he looked at parapsychology,
953600	960280	and he started looking at UFOs. He started looking at UFOs as a fad. And, you know,
960280	962240	You know, Hynek will tell you the same thing.
962400	972400	He says that he started thinking it was like, you know, swallowing goldfish, you know, a fad, something that people did that didn't amount to anything.
972500	975700	It was just a strange sociological thing.
976120	984380	And then actually Jean Cocteau, who was a friend of M.A. Michel, is the one who told him, you know, you're wrong.
984380	989800	these people have seen something and they've seen something you should research because we don't
989800	998820	we don't understand it it's new it's um so and he you know listened to that advice and he
1000560	1008420	started corresponding with people and there was a major wave in france in 1954 that i remembered
1008420	1011800	because I remembered it as a teenager.
1011800	1015120	I collected, you know, papers from that era,
1015860	1018000	cutting it up out of the newspaper
1018000	1021320	and fixing it on, you know, copy books and so on
1021320	1023980	to try to make some sense out of it
1023980	1025740	because it was so amazing.
1028380	1031840	And MA started digging into that
1031840	1034460	because he had access to, of course,
1034460	1038780	to the information network of the French radio and television,
1039440	1041780	which again was a state agency.
1044380	1050340	And so when I met him through Pierre Guerin,
1050460	1053120	who was an astronomer that I consulted
1054280	1056960	when I was working at Paris Observatory.
1057020	1059040	And he said, you should go talk to MA.
1059240	1061580	And that's how our friendship developed.
1061580	1067960	developed. And he turned over his files to me because he was delighted to see that there
1067960	1074540	was somebody who could put this on a computer and start looking for patterns, because he
1074540	1077320	thought that there were patterns behind the data.
1081980	1087520	So you mentioned that was wonderful. Thank you. You mentioned J. Allen Hynek for a moment
1087520	1092340	there and he's another person who's represented in your archive and another person with whom you
1092340	1098300	worked very closely for a long time and Hynek's also kind of undergoing this kind of popular
1099760	1107840	re-evaluation there's a new biography of and this television program you knew Hynek very well and I
1107840	1112380	wonder what you might tell us about Hynek in light of all this kind of recent publicity.
1112380	1136260	I think the most important thing to understand about Hynek that people didn't understand at the time, in part because he kept it from as a sort of not as a secret, but as a personal quest, was that he was very interested in spirituality.
1136260	1147000	He was very interested in metaphysical traditions and among other things, a Rosicrucian tradition.
1148980	1152660	He was interested in parapsychology and even in astrology.
1153120	1158240	So no wonder he wasn't bragging about that at Harvard College.
1158240	1169780	But his mind was very much advanced.
1170080	1174200	And I remember he came from a Czech family.
1174660	1176980	He immigrated to the US.
1177380	1181340	And I think he brought that he was raised,
1181600	1185100	I think his mother was very influential on his thinking.
1185100	1193520	and he told me that sort of family origin
1194220	1199640	from Central Europe contributed to make him aware
1199640	1203340	of those larger issue behind science.
1203780	1207220	And he always said, you do science
1207220	1211020	because you want to understand the world at a higher level.
1211020	1215900	you don't just do science, you know, for engineering or for,
1216560	1219060	or just to write some nice equations.
1219380	1221520	You're trying to understand something larger.
1221900	1228540	And that's where we met because I had very much the same, you know,
1228600	1231700	I still do, you know, the same trust,
1231820	1239440	the same hope to understand more about the world through science,
1241020	1243080	but there are other sets of tools.
1245800	1249520	So when we started talking about that,
1249600	1253200	we found that we were very much on the same path,
1254820	1258140	even though we might disagree on, you know,
1258180	1262140	some aspects of, you know, some UFO reports
1262140	1266480	or some quarrel that was going on among ufologists,
1266480	1272980	but we really found the right approach at the higher level.
1277240	1279260	I have a follow-up question here.
1279460	1282300	And I'm thinking back to both of those correspondences
1282300	1284480	of which there are many decades within the archive
1284480	1288320	of conversations going back and forth over many years.
1289160	1290760	And I'm thinking about what you mentioned
1290760	1294820	with sort of the UFO wave that occurred in France.
1297040	1299700	and people thinking at the time it might be a fad.
1299700	1300960	It might sort of come and go.
1301140	1304000	And you as a teenager had a keen interest
1304000	1305580	in how this was playing out,
1305640	1308520	direct experience and so forth.
1308740	1309880	And I'm curious,
1310040	1313260	it now has been nearly 70 years since that time.
1313680	1315980	It clearly has not, if it's a fad,
1316020	1318160	it's a long lasting one, so to speak.
1318760	1320420	And I'm curious, did you have the sense
1320420	1322340	when you were getting into it as a teenager
1323260	1326320	that did it feel like something that was new?
1326500	1328480	And I know that your research then pointed
1328480	1330260	to some of the antiquity
1330260	1332140	that you can look at this phenomenon through.
1332480	1334240	But when you were first encountering it,
1334300	1335960	did it feel like something new
1335960	1337560	or did you think it could be a fad?
1337680	1339700	Are you surprised by the longevity
1340300	1342240	that the research has had?
1345880	1348900	Remember, I was 14, 14 or 15.
1348900	1353160	I didn't have a telescope and an interest in science
1353160	1358940	and I was good in physics and very interested in astronomy.
1362500	1365840	I didn't think it was, I never thought it was a fad.
1367400	1370880	To me, it was a real mystery.
1371200	1374420	I think that was the reaction
1374420	1376440	of most of the public in France.
1376440	1384640	France. It wasn't, of course, the channel through which we heard about it was a radio. I mean,
1385240	1392400	my parents never had a TV set, okay? So you have to put yourself in that time. France was still
1392400	1399600	recovering, you know, slowly from the devastation of the war, and so was the rest of Europe.
1399600	1401260	and then this happened.
1403160	1410640	I thought that it might be certainly what I saw.
1410840	1413180	And of course, when I saw it,
1413220	1415980	that sort of made it pretty clear to me
1415980	1419840	that this was real, but it could be real
1419840	1422860	and it could be a new development
1422860	1424160	that was being tested.
1424340	1426480	Again, in those days,
1426480	1433880	there were you know the first jet airplanes were being tested or pilots were being trained to
1433880	1440520	fly jets there were you know helicopters there were things that hadn't existed before so
1440520	1448940	there was a great sense of novelty and so on so it came within that but at the same time
1450640	1454180	there were all these stories about landings,
1454180	1458460	about strange beings, robot-like entities,
1459220	1462140	running around and there were so many of them
1462860	1467720	that you couldn't say that people were making it up.
1467820	1471980	I mean, the people were just as surprised
1472940	1476040	and the first reaction was surprise
1476040	1482240	surprise and curiosity from everybody.
1483000	1489500	And when, so I never,
1491440	1494880	I felt this is something that feeds into,
1496020	1497420	you know, my interest in science.
1497620	1500580	And that would be,
1501340	1504040	that I felt we would be able to resolve
