start	end	text
0	4720	To make sense of our data, we had to define a lexicon and we based it on flight characteristics.
5700	8760	We've broken the UAPs down into nine classes or types.
9100	13480	Some of these classes may be the same UAP under different flight configurations, but
13480	17100	at this point, given their behavior, we're confident they don't align with conventional
17100	18260	or terrestrial explanations.
19060	21380	Each UAP class has different characteristics.
21600	23420	Some shimmer, some tumble, some spin.
23680	27240	Some look like they're alive and they just fly like a living object in the sky.
28040	29980	UAPs are extremely hard to image.
30240	33740	What is seen with the naked eye is generally not what is seen under camera.
33980	37780	The Class I often spins, tumbles through the sky.
38020	39140	The craft looks like a black body.
39740	42780	It appears to flash, pulse multiple times per second.
42940	46040	There appears to be some kind of cloud or vapor around it.
46140	52180	We've seen Class I's in formations up to 22, 23, flying in different flight formations, different flock formations.
52740	54780	The Class II is the class of tic-tac.
54780	58740	We've seen it in groups of two to three, often flying very erratically.
58940	62100	We've seen these a couple years in a row and usually we see them in groups.
62780	67360	The class three, the blob, a pulsing vibrating cloud.
67600	72620	There's something maybe perhaps a cylinder kind of the middle that has a different light like a flame and
72620	75400	then it vibrates and pulses as it moves through space.
76440	80120	The class four is your orb. We've only seen it in an infrared.
80120	86940	The class 4 seems to only come during certain activities in conjunction with perhaps the class 1.
87100	89180	We don't have enough data yet to confirm.
90280	95800	The class 5 we call the manta ray. It seems to tumble and rotate as it moves through the sky.
96660	103720	Class 6 is bright star. That one vibrates very, very fast. It literally looks like a crystal in the sky.
103720	105380	The Class 7 is the jellyfish.
105580	108320	It's probably about two meters across the head.
108580	109860	It's purple and black in color.
110260	111400	And then it has tentacles.
112140	114420	The Class 8 we call the hornet.
114740	117560	It looks very similar to the Class 7, the jellyfish,
117680	118940	except for it's bigger,
119720	121740	and it's almost like a jellyfish carrying something.
122360	124600	And then the Class 9 is the egg.
124760	127020	The Class 9 isn't something we have a lot of data on.
127040	127600	It's very limited.
127840	130740	We have it as a sky watcher during our California event.
130740	134900	It's an emerging class and we have strong evidence that it probably exists,
135180	137900	but we don't have data to concisely describe it.
