start	end	text
4900	11540	The class 5 we call the manta ray. It looks to be like is written a manta ray. It has round
11540	15180	everywhere. I don't think there's anything straight or nearly straight. We actually went
15180	20280	frame by frame on this because it was tumbling slowly and derived a 3D model of what we think
20280	26440	it looks like. Here you can see it's tumbling and spinning on multiple axes as it comes through the
26440	32300	the frame. And you said this is going perpendicular to the wind and faster than the wind. Yes, it was
32300	37760	on radar. It was on imagery, multiple bands. And the interesting thing is the radar shows this
37760	45740	vibrating as well, the same heartbeat signal, which is really a boost in our analysis because
45740	53100	only UAPs appear to have the vertical and horizontal heartbeat. Manned aircraft, balloons,
53100	55500	Balloons, birds, drones, they don't.
55500	60060	They have a flatline trajectory and also a flatline radar signature.
60320	61680	So that's the class five.
61800	62120	Excellent.
