start	end	text
2980	10320	In part one of Skywatcher, you heard a lot of very believable people making truly unbelievable claims.
11100	21260	Skywatcher's objective is to use the scientific method to validate or invalidate these claims and hopefully usher in a new understanding of reality.
22700	26200	For Skywatcher part two, our focus is on data.
26200	42280	In this episode, you will meet James Fowler. James runs the technology team here at Skywatcher, and over the past few years, he has put together what I consider to be by far the highest quality private repository of UAP data in the world.
43520	51980	For the first time, James has agreed to be interviewed on camera, and we will be releasing the data that he's collected over the past many years.
51980	56840	So we're out here in the desert running our second Skywatcher event of the year.
56960	62160	As you've heard about, we're focused on two different types of UAP calling.
62600	66540	We have machine calling and we have psionic calling.
66720	70020	We've had success with both of these different types.
70440	77920	But over the past few days, on the machine calling side, we've witnessed a lot of spectacular things.
77920	84560	things. Every time we have an event, we have things happen that I truly cannot explain.
84900	89740	We and the rest of our team are doing our very best to collect a robust set of data
90260	95020	to share with all of you. But I hope you can understand that it's not as easy as it sounds.
95200	101400	We're talking about objects that seemingly are able to appear and disappear in real time.
101580	107700	We're talking about objects that seem to evade our sensors. They seem to actually turn our
107920	109240	It sensors off at times.
109420	114000	And I can say firsthand that crazy shit keeps happening.
114280	118020	I consider myself to be a very logical, rational person.
118240	121420	This rabbit hole, the rabbit hole of UAPs and consciousness
121420	124980	has been hands down the craziest experience of my life.
134520	141660	So today we had a class seven come in about 3,000 feet, 135 degree heading.
143160	147540	It was pretty low to the ground. We saw visually their eyes. We got it on radar as well.
148260	152920	We've been collecting UAP data for more than five years with electromechanical signaling,
152920	155180	signaling, which we call our dog whistle.
156000	160920	Generally speaking, we see three to five different classes of UAP per day during operations.
161240	165920	After we turn on the dog whistle, UAPs literally come to us day after day.
166580	171060	To make sense of our data, we had to define a lexicon and we based it on flight characteristics.
172060	175120	We've broken the UAPs down into nine classes or types.
175440	179800	Some of these classes may be the same UAP under different flight configurations, but
179800	181280	but at this point, given their behavior,
181520	182780	we're confident they don't align
182780	184660	with conventional or terrestrial explanations.
185360	187720	Each UAP class has different characteristics.
187920	189760	Some shimmer, some tumble, some spin.
190000	191420	Some look like they're alive
191420	193580	and they just fly like a living object in the sky.
194380	196320	UAPs are extremely hard to image.
196860	198140	What is seen with the naked eye
198140	200080	is generally not what is seen under camera.
200360	204080	The class one often spins, tumbles through the sky.
204360	205480	Craft looks like a black body.
206100	209120	It appears to flash, pulse multiple times per second.
209800	212380	there's gonna be some kind of cloud or vapor around it.
212440	215760	We've seen class ones in formations up to 22, 23,
216040	217380	flying in different flight formations,
217640	218520	different flock formations.
219100	221100	The class two is the classic tic-tac.
221280	223640	We've seen it in groups of two to three,
223740	224920	often flying very radically.
225300	227120	We've seen these a couple years in a row,
227220	228400	and usually we see them in groups.
229100	233720	The class three, the blob, a pulsing, vibrating cloud.
233960	236300	There's something, maybe perhaps a cylinder
236300	237920	kind of in the middle that has a different light,
237940	238420	like a flame.
239800	241760	vibrates and pulses as it moves through space.
242660	244980	The class four is your orb.
245140	246380	We've only seen it in infrared.
246900	250260	The class four seems to only come
250260	251980	during certain activities in conjunction
251980	253260	with perhaps the class one.
253580	255520	We don't have enough data yet to confirm.
256540	258380	The class five we call the manta ray.
258560	262120	It seems to tumble and rotate as it moves through the sky.
262960	265120	Class six is bright star.
265340	268160	That one vibrates very, very fast.
269800	274980	in the sky. The class seven is the jellyfish. It's probably about two meters across that the head is
274980	281920	purple and black in color and then it has tentacles. The class eight we call the hornet. It looks very
281920	287300	similar to the class seven the jellyfish except for it's bigger and it's almost like a jellyfish
287300	292900	carrying something. And then the class nine is the egg. The class nine isn't something we have a lot
292900	298200	of data on. It's very limited. We have it as sky watcher during our California event. It's an
299800	304240	strong evidence that it probably exists, but we don't have data to concisely describe it.
313000	316820	We have our sensor team up on the hill, actively collecting data.
316980	321200	We have our psionic team actively operating both day and night.
321340	325080	And we have two helicopters on standby, ready to be deployed.
325080	329600	Yeah, so the nice thing about having helicopters available out here as opposed to drones or
329600	336180	airplanes is essentially helicopters can hover for hours at a time and we can put people
336180	336700	on board.
336880	341800	You know, our drones are limited in altitude and also in just time on station because of
341800	342440	their battery life.
342580	343560	We like using the helicopters.
343860	348860	We can put multiple people in the helicopter with the number of observation equipment,
349080	349960	cameras, et cetera.
350080	352720	So it's really useful platform for us.
352720	356000	Oh, the sun is to the east right now.
356180	360980	We got that little bit of shading right there on the lower left of the target.
361120	361340	Yep.
361880	367020	Which, if that's actual shading, that means the sun's coming from this angle.
