start	end	text
2700	4760	The Class 2 is the classic Tic Tac.
5860	9200	We have had laser rangefinder returns on them to give us distance.
9560	13040	Through that method and the optical zoom, we are able to measure.
13280	18680	We think they're about 40 feet in length, and they appear to be traveling supersonic and hypersonic.
18960	25240	A very interesting thing, which you'll see in the videos, is when we do see them, they're at the edge of our sensor capabilities.
25620	28560	You'll see like there's striations around these stills.
30000	33500	It almost looks like it bends, almost like it's not a solid mass.
34260	38000	So when it's spinning, when it comes out of the spin for a second,
38040	41500	it looks like part of it, like a part of a thervet is bendable and it bends.
41940	44940	And at this point, is it dropping rapidly?
45560	49340	Yes. The only thing that's changing is the angle that we're looking at it with.
49440	50800	The elevation angle, is that right?
51000	53860	Yes. And we're moving in a downward fashion.
54160	57160	The system operator is having a very hard time keeping in frame because it's falling so fast.
57380	57700	It's dropping fast.
57700	60860	So you can't zoom in and our servos don't move that fast.
61040	65760	So our equipment can't handle that zoom factor with the speed.
66020	70640	You'll see multiple UAPs in these, as in they're flying together.
70760	72060	I don't know that they're in a formation.
72360	74400	If you go frame by frame, you can see their cylinders.
74620	75020	Wow.
75480	76420	So that's a class two.
76900	77300	Fascinating.
