start	end	text
0	6440	When discussing UFO legacy programs, I aim to expose any clandestine black budget U.S.
6440	10840	government military intelligence operation, partnering with defense contractors,
11240	15580	federally funded research and development centers, and university-affiliated research
15580	21560	centers engaging with non-human technology. These programs seem to take many forms,
21720	28040	including crash recovery of non-human vehicles, material exploitation of technologies of unknown
30000	35820	of anomalous craft and construction of copycat vehicles famously known as alien reproduction
35820	42940	vehicles, ARVs. On this channel, we have discussed myriad major range and test facility bases and
42940	47820	defense laboratories and centers where such programs are likely located. We have also
47820	55140	discussed at length contractors, FFRDCs, and UARCs that are alleged to operate alongside the CIA and
55140	59340	and NSA across Army, Navy, and Air Force UFO programs.
59700	65440	When such clandestine and secretive operations to master non-human technology have led to,
65580	71560	in David Grush's words, a multi-decade secret Cold War, where might these programs be located?
71880	77300	The logistics of maintaining secrecy and strict need-to-know access for unacknowledged special
77300	82940	access programs focused on anomalous research, development, test, and evaluation of non-human
82940	89020	technologies and storage of non-human craft and possibly biologics are likely tremendous.
89600	95720	For this reason, we must look underground and evaluate the decades of rumors and testimonies
95720	102900	of UFOs and deep underground military bases or DUMs. DUMs have served as a continuous focus of
102900	107580	this channel with recent discussion and direct investigation into Dugway proving ground.
107580	117920	The United States' premier chemical and biological testing range and its alleged 1,300 square mile subterranean facility and remote entrance in the desert.
118060	134640	For this investigation, we will be continuously referencing the work of Dr. Richard Sauter and his three masterpieces titled Underground Bases and Tunnels, What is the Government Trying to Hide? Hidden in Plain Sight Beyond the X-Files, and Underground and Underwater Bases.
134640	148400	These three dense pieces give us keen context into subterranean bases in the form of stringent, fact-based analysis through publicly available records, FOIA documents, declassified documents, and the occasional witness testimony.
148760	152100	Deep underground military bases do indeed exist.
152460	155260	This is fact, and we will explore this fact today.
155520	158800	But do these sites engage with UFO legacy programs?
159320	162980	And if so, which DoD sites and what do they do?
164640	170080	rumors regarding underground tunnels connecting these clandestine sites through an internal rail
170080	176180	system possibly be true. Hey guys it's UAP Gerb and thank you so very much for joining me today
176180	182500	as we embark into the world of the subterranean to investigate DUMs and UFOs. The subject of UFO
182500	187960	legacy sites embedded into mountains with hidden hangars sequestered a mile beneath the earth's
187960	193180	surface or hidden anywhere out of the public and satellite view has long been a talking point of
194640	205740	Today, we finally look below the Earth's surface to evaluate the existence, feasibility, and operations of UFO legacy programs and deep underground military bases.
210520	219700	To borrow from the title of the first chapter of Dr. Richard Sauter's Underground Bases and Tunnels, deep underground military bases are indeed real.
219700	231660	Throughout this project, I will be interchangeably using the terms dumb and subterranean facility, or STIF, the name said to me by multiple veterans who have traveled to such underground locations.
232180	240420	And speaking of, I should mention, I have spoken to nearly half a dozen former military personnel who have traveled to STIFs across the country.
240420	245540	I try to shy away from inserting first-hand source testimony and anecdotes into my videos
245540	247980	and let evidence and research speak for itself,
248280	252320	so I will interject with these first-hand testimonies when and if necessary.
252740	258740	In a 1989 speech titled Underground Facilities for Defense, Experience and Lessons,
258880	265040	Deputy Director of Engineering and Construction for the U.S. Army Corps of Engineers Lloyd A. Dusha said,
265040	269820	said, quote, After World War II, political and economic factors changed the underground
269820	276140	construction picture and caused a renewed interest to think underground. As a result of this interest,
