start	end	text
0	7020	In 1950, Canadian government senior radio engineer Wilbert B. Smith wrote to the
7020	11600	controller of telecommunications in the Department of Transport requesting for
11600	16660	Canada to begin its first official investigation into UFOs, specifically
16660	22480	studying complex magnetism as a form of propulsion. In this letter, Smith makes
22480	27980	four astounding claims told to him by a source within Washington regarding UFOs.
27980	33800	1. The matter is the most highly classified subject in the United States government,
34040	36300	rating even higher than the H-bomb.
36540	39040	2. Flying saucers exist.
39640	42760	3. Their modus operandi is unknown,
43120	48140	but concentrated effort is being made by a small group headed by Dr. Vannevar Bush.
48460	54200	And 4. The entire matter is considered by the United States authorities to be of tremendous significance.
54200	60840	significance. That very same year, Canada actually began its first official investigation into UAP,
61580	67100	Project Magnet. But this isn't our topic for today. In fact, I want to dive into the curious
67100	75900	connections of Wilbert B. Smith's source, one Dr. Robert I. Sarbacher. Hey guys, it's UAP Curb.
75920	80800	Thank you so much for joining me today. Let's investigate the astonishing claims and connections
80800	87860	of one Dr. Robert Saarbacher, physicist, student of Einstein, and consultant to the DoD's
87860	92020	Research and Development Board in the 1950s under the Truman administration.
92640	98440	Saarbacher may just have the keys and knowledge to help us understand the early days of the
98440	102880	USG's feverish obsession with UFOs and crash retrieval efforts.
108240	111120	Quickly, who was Dr. Robert Saarbacher?
111660	117020	Saarbacher was an esteemed physicist and student of Albert Einstein that graduated from Harvard.
117380	123920	He served as the founder and dean of the Washington Institute of Technology, scientific consultant
123920	128760	to the US Marines, and as mentioned earlier, involved in the Joint Research and Development
128760	129240	Board.
129440	132840	His research was specifically remote controlling rockets.
132840	139440	rockets. Close to the doctor's passing in 1987, researcher D.M. Duncan located Sarbacher's son,
139660	145600	Robert Jr. Jr. said his father spoke sparingly about the UFO phenomenon, but the youth would
145600	151740	occasionally question his father. In Jr.'s words, quote, he knew that they were real for the obvious
151740	157540	reason that they would be going 600 miles per hour and then make a 90 degree turn in mid-air
157540	163580	without slowing down, separated from all inertia and gravity. Dad said that the reason he was
