start	end	text
0	4540	I thought it was totally nuts and I thought at first I was being deceived. It was a ruse.
4920	10520	People started confiding in me. They approached me. I have plenty of current former senior
10520	14460	intelligence officers that came to me, many of which I knew almost my whole career,
14700	19420	that confided in me. They were a part of a program. They named the program. I've never
19420	27740	heard of it. Forget Little Green Men. Forget Area 51. Forget Bob Lazar. And get any sort of
27740	34280	conspiracy out of your mind for just a second. It's no longer just a speculation or even a secret
34280	41140	that within the U.S. Department of Defense lies a shadowy UFO reverse engineering and crash
41140	48280	retrieval program with access so exclusive only a couple hundred people in the 80 plus year history
48280	54400	of the program has ever been read in. People like David Grush and legislation like Schumer's 2024
54400	61540	2024 NDAA legacy programs have helped turn a former conspiracy into an outrageous fact.
62200	67260	Sometimes it feels like details, names, and operations of these programs will never come
67260	73780	to life. That those in the know in the defense industry will cling to secrecy until their dying
73780	81040	breaths. Though actually receiving transparency may sometimes feel like a distant fever dream,
81040	89600	you know your host UAP Gerb has you. Join me today and we will venture into Project Moondust
89600	97020	and follow the astounding paper trail of one possible DoD UFO crash retrieval program.
98660	104040	Edward J. Ruppelt conducted the first ever official U.S. government study into the UFO
104040	108500	UFO phenomena under Project Grudge in 1948-1949.
108920	115020	He went on to serve as the director of Project Sign and Blue Book, the subsequent US government
115020	118700	official UFO investigation programs in the 20th century.
119380	125820	During his time as director, Ruppelt concluded UFOs had a quote, interplanetary explanation.
125820	135380	On the 24th of April 1952, Ruppelt suggested programs parallel to the official USG investigation were, quote,
135520	138220	conducting a more complete investigation.
139360	146240	This same conclusion was derived by J. Allen Hynek, the scientific advisor to Project Blue Book.
146940	153260	We talked about him in the Alien and UFOs Obscure Oddities Iceberg Layer 2, so if you want to know more, read there.
153260	161100	there. But Hynek additionally said that alongside Blue Book there were other classified programs
161100	168240	going on studying UFOs. One of these projects could have been an inconspicuous crash retrieval
168240	175660	program. One that, unless you look hard enough, you'll never know existed. And that, of course,
175660	183240	is Project Moondust. The first mention of Moondust can be traced back to 1961
183240	193160	in a U.S. Air Force document titled AFCIN 1E-0 Draft Policy. This proposal suggests that the
193160	201180	USAF 1127th receive collection responsibility duties for the USAF's established program
201180	206640	for investigation of reliably reported unidentified flying objects within the
206640	212660	United States. The memo also lists one project that has historically had this
212660	218820	duty. That project is Moondust, which has the authority to locate, recover, and
218820	225720	deliver descended foreign space vehicles. And as we can see in this 1967 review
225720	230620	for the Assistant Chief of Staff for the Intelligence Community, which details the
231180	233980	of the 1127th USAF Field Activities Group,
234980	237680	Moondust is shown to not just be a proposal,
237860	241280	but exists and has historically dealt
