start	end	text
0	2600	It didn't start or end with Roswell.
2780	8660	Throughout American and world history, there are numerous encounters of UAP crash and crash retrieval efforts
8660	11020	with credible paper trails and witnesses.
11360	14620	And sometimes, these trails get messy.
15000	19380	Details, records, and facts of one case may be confused with another,
19660	24800	making it difficult to fully analyze the stories of these fascinating retrieval efforts.
24800	31380	This is especially true for two cases along the arid desert border of Texas and Mexico.
31840	49720	What's up guys, it's UAPGurv. Thank you so much for joining me today as we are going to cover a region of Texas near the Texas-Mexico border named Del Rio that experienced not one but two alleged UFO crash and recovery operations during the 1950s.
49720	55800	Over the years, these two cases have almost molded into one, but due to their insanely
55800	61540	interesting stories and astonishing connections to ufology, each deserve to be analyzed with
61540	62220	a critical lens.
62540	64900	Are these cases fact or fiction?
65240	68340	Join me today as we investigate to find out.
72820	79920	In June of 2018, Dr. Eric Davis was interviewed by journalist George Knapp on Coast to Coast AM.
80160	85820	And yes, this is the same Eric Davis from the Wilson Davis memo whose scientific pedigree
85820	91700	cannot be understated. When the two legends of ufology begin discussing UFO reverse engineering
91700	97740	efforts, the doctor states quote, yeah, they've got I would say, you know, if you're going to
98340	106180	bets on Roswell, your bet's really good. Del Rio, Texas. That was a 1950s case. That was another one.
106320	111740	And the other ones I won't bring up because those are still classified. Researching the highly
111740	117060	disputed MJ-12 documents leads us to another clue surrounding the Texas-Mexico border.
117600	121800	Following the description of the Roswell case in the Eisenhower briefing document,
122100	127920	the alleged MJ-12 document to brief the president incumbent highlights a case from the 6th of
128340	136780	1950. This case saw a UFO of similar origin to Roswell impact the earth at high speeds along the
136780	143600	El Indio area of the Texas-Mexico border. The craft impacted at such high speeds it was nearly
143600	148660	obliterated when the search team arrived. The recovered materials were transported to the
148660	155240	Atomic Energy Commission facility at Sandia, New Mexico for study. Okay, pretty cut and dry, right?
155240	160860	right? El Indio is 75 miles southeast of Del Rio, so it makes sense to use this as a reference
160860	167240	point, right? But there is another case that occurred in 1955 that researchers additionally
167240	173500	used the Del Rio area as a reference point, the Colonel Robert Willingham crash retrieval case
173500	179420	near Langtree, Texas. There are a number of huge factors separating these cases we will cover later
179420	184820	later in the video, but lack of study of these two cases has led to egregious misidentification
184820	185680	between the two.
185900	189200	So let's take a step back and analyze each case.
193660	198000	Colonel Robert Burton Willingham served honorably in World War II in Korea.
198280	204340	His distinguished career saw him within the US Army, Air Force, Air Force Reserves, and
204340	205460	Civilian Air Patrol.
205460	210640	role. Serving in the U.S. Air Force during Korea, Willingham claims to have received a purple heart
210640	215460	for his severe wounds suffered to his leg and head when hit by a mortar shell in a foxhole.
215700	220160	I use the word claims here very deliberately because I have not been able to verify
220160	225580	any receiving of his purple heart. Now it is worth mentioning there are some respected
225580	232560	ufologists like Kevin Randall in his book Crash, where UFOs fall from the sky, who doubt or call
232560	237500	into question willingham's air force service record and this is because the national personal
237500	242940	record service in st louis missouri was unable to provide his service record however what is
242940	250120	worthy to note on july 12 1973 there was a fire in this building that destroyed most military records
250120	257680	for personnel serving between 1947 and 1963. now the author noah torres has stated he has over 50
257680	262580	documents to prove Willingham's Air Force service, but I have yet to see these documents.
263100	268580	These injuries saw Willingham unable to return to combat, where he then returned to Texas as
268580	274800	an Air Force Reserve pilot. On a spring day in 1955, the colonel and reserves were running a
274800	282220	Cold War simulation mission, where Willingham and other F-86 aviators assisted B-47 and B-52 bombers.
282460	286940	It is on this mission Robert claims to have experienced a crashed UAP.
287680	292660	Before we get started, I would like to immediately cite my primary sources and discuss the history
292660	298600	of Willingham coming public. I will primarily be pulling from the 2008 book The Other Roswell,
298740	305220	UFO Crash on the Texas Border, written by Noah Torres and Ruben Uriarte due to the author's
305220	310700	personal work and interviews with Robert near the end of his life in 2015. Robert first went
310700	316820	public with his story in 1965, featured in a Pennsylvania weekly newspaper called Mechanicsburg.
317680	323380	An article asking civilian air patrol pilots about UFO counters first oversaw the Colonel's story.
323800	328180	Twelve years later, researchers found clippings of this article in the NICAP,
328240	333920	the National Investigations Committee on Aerial Phenomenon, lost in the annals of NICAP's files.
334620	338800	Researcher Todd Zetschel tracked down Willingham and made him sign an affidavit.
338920	343260	And I do have to point out the inaccuracies between this article and the affidavit
343260	345780	versus the other Roswell book I am referencing.
347680	354260	67, an affidavit from 77, Willingham states he was flying an F-94. He goes on to say in the other
354260	359720	Roswell book he was actually flying an F-86 Sabre. In the article, he claims his experience happened
359720	365700	in 1948, but in the book and other sources, Willingham claims to have seen the UFO in 1955.
366600	370700	This he blames on a faulty memory due to the head injury he sustained in Korea,
370880	373980	but this to me does in fact hurt Willingham's credibility.
378360	389260	On a spring day in 1955, the Colonel and other F-86 aviators escorted B-47s for a Cold War simulation training exercise from the Carswell AFB.
389660	395040	It's worth noting Willingham's serial number and call sign, CD195 and Willie Eddy.
396120	402080	The mission served to escort the bombers in their Texas leg of their New York to Texas to Washington state journey.
402080	407880	Willingham stated the squadron had received intelligence by radio, that fast-moving unidentified
407880	412500	signatures had been picked up by the Distant Early Warning Radar Systems located
413240	413640	in Canada.
413880	416540	These signatures were moving south towards Texas.
416940	422200	During the mission, the pilot of the B-47 radioed in about an unknown aircraft picked
422200	425000	up on radar, moving south from the northwest.
425840	430380	Willingham then saw a bright, big object like a star coming his way.
432080	438200	within 35 to 40 miles of the USAF regiment, at an estimated speed of 2,000 miles per hour.
438460	443320	This was an estimate by Willingham because the craft seemed to go four times the speed of his F-86,
443700	449560	which traveled at 685 miles per hour. Willingham described the brightly lit surface, quote,
449660	455760	like magnesium steel. Other pilots, including George Smithson, stated they had also seen the
455760	461580	craft in a post-incident debrief. The object made a 90-degree turn headed southwest towards
