start	end	text
0	6300	It didn't start or end with Roswell. Throughout American and world history, there are numerous
6300	12760	encounters of UAP crash and crash retrieval efforts with credible paper trails and eyewitnesses.
12940	19580	Today, we investigate one of these encounters that occurred during the mass UFO wave of 1952
19580	27700	to 1954. Let's travel to the night of May 20, 1953 to a small town situated between Hualapai
27700	33440	Valley and the Surbit Mountain Range called Kingman, Arizona, where something perplexing
33440	40900	and inexplicable crashed into the desert. Hey guys, it's UAP Gerb. Today, I want to dive into
40900	47520	the story of one of my all-time favorite alleged crash retrievals, the 1953 Kingman, Arizona UFO
47520	54120	crash. This story is massively overshadowed by the Roswells of the world, yet features two
54120	62320	Two extremely credible witnesses and surprising connections to our usual suspects, the AEC and Wright-Patterson Air Force Base.
63060	65140	Is this crash fact or fiction?
65380	68380	Well, guys, we will do our very best to find out.
72460	77460	The story of the Kingman crash first surfaced publicly in 1973,
77460	91700	1973, five years before Jesse Marcel famously told Stanton Freeman he was a part of the Roswell cover-up in order to pose with fake wreckage comprised of balsa wood and aluminum foil while the crashed disc was secretly whisked away.
91700	99400	way. In 1973, UFO researcher Raymond Fowler revealed shocking statements made and sworn
99400	106200	into affidavit by a Wright-Patterson Air Force Base engineer and USAF project engineer on
106200	112960	Operation Upshot Knothole under the pseudonym Fritz Warner. And before we get into the story,
113020	119140	what is this weird name Upshot Knothole? This was a series of 11 nuclear test shots conducted in
119140	124940	early 1953 at the Nevada Proving Ground, orchestrated by none other than the Atomic
124940	130500	Energy Commission. The objective of this project was to utilize tactical nuclear weapons to ready
130500	136920	the U.S. military for atomic combat. These tests even oversaw nuclear payload shot out of artillery
136920	144540	cannons. An estimated 18,000 to 21,000 DoD personnel participated in this program in 1953.
144540	149300	1953 anyways back to Werner. Let's hear his story Werner stated to Fowler
149300	157680	He was an engineer on USAF contract with the AEC for Operation Upshot, Not all his job was to measure blast effects on
157680	162240	various types of buildings constructed for the tests on May 20th
162980	166280	1953 Fitz spent most of the day at Frenchman flat
167160	172640	Dr. Ed doll telephoned Werner that evening. He would be doing a special job the following day
174540	181620	other AEC specialists, Warner reported to Indian Springs Air Force Base. There, he was put on a
181620	186800	plane to Phoenix with all of his valuables left in the custody of the military police and eventually
186800	193620	placed on a bus with blacked out windows. During the four-hour ride, an Air Force colonel told the
193620	199780	personnel a super-secret Air Force vehicle had crashed and these specialists were sent in to
199780	207340	investigate their speciality and theirs only. When he finally got off the bus, Fitz observed two
207340	214740	agonizingly bright spotlights centered on a crashed object surrounded by guards. In Fitz's
214740	221300	own words, quote, the object was oval and looked like two deep saucers, one inverted upon the other.
221380	227600	It was about 30 feet in diameter with convex surfaces top and bottom. These surfaces were
227600	229200	were about 20 feet in diameter.
229580	232320	Part of the object had sunk into the ground.
232540	234760	It was constructed of a dull silver,
234900	236460	metal-like brushed aluminum.
236880	240100	The metal was darker where the saucered lips formed a rim,
240280	242940	around which were what looked like slots.
243400	247460	A curved open hatch door was located on the leading end
247460	248700	and was vertically lowered.
248960	250760	There was a light coming from inside,
250980	253300	but it could have been installed by the Air Force."
254200	257260	Werner's duty was to attempt to determine the angle
257600	263720	which the object impacted into the sand and how fast the vehicle was moving with forward
263720	265800	and vertical velocities at the time.
265900	271780	The craft had sunk roughly 20 inches into the sand and featured no landing gear and
271780	277200	shockingly no damage, no marks or dents on the surface not even scratches.
277720	285560	Over time Fitz estimated the craft had been traveling at roughly 1200 mph and amazingly
285560	292040	Fitz claimed to glance at a guarded pitch tent where lied the body of a dead pilot.
293060	299940	It appeared to be a four foot tall humanoid biologic with dark brown skin and a silvery
299940	306720	metallic looking suit. Keep this pilot description in mind. After being interviewed on his crash
306720	312100	velocity estimations over a tape recorder, Fitz managed to speak to someone who claimed to have
312100	318500	glanced inside the craft and observed two swivel-like seats as well as numerous strange
318500	324460	and anomalous instruments and displays. Fitz finally returned to the bus and headed back to
324460	331780	Phoenix. The Air Force colonel had all 16 AEC personnel swear an oath not to reveal their
331780	336880	findings and were instructed to write their reports longhand and to not type or reproduce.
336880	344600	There is Werner's story, truly fantastic and difficult to conceptualize under just a simple
344600	351340	pseudonym, right? Well, what if I told you the enigmatic Fitz Werner's identity has been revealed,
351460	357220	but first, quickly, let's first review the affidavit signed by Fitz with Raymond Fowler
357220	364080	as witness. This excerpt of the affidavit is from Fowler's book, Casebook of a UFO Investigator,
364080	370120	under the section crash retrievals of the third kind quote I Fritz Warner do
370120	374120	solemnly swear that during a special assignment with the US Air Force on May
374120	378920	21st 1953 I assisted in the investigation of a crashed unknown
