start	end	text
0	8340	In today's day and age, in 2024, we've all heard of the U.S. DoD's videos captured of UFOs.
8940	14980	Many of us have heard of U.S. Navy or Air Force pilots encountering UFOs on their missions,
16000	19700	such as the testimony of Commander David Fravor and Ryan Graves.
20340	28080	But what we hardly hear are the stories of U.S. servicemen encountering UFOs at home or overseas.
30000	37120	Today I'd like to tackle two alleged stories of US Marine veterans getting a little too
37120	39460	close for comfort with UAP.
41100	43880	Ladies and gentlemen, welcome back.
44020	51620	I am UAP Gerb and welcome back for a shorter documentary style video today where we tackle
51620	55620	two cases of Marines encountering UFOs during their service abroad.
55620	65520	These are two fascinating stories, especially the first I'm about to tell you, so sit back, relax, and think about these wild tales.
68000	73720	It's not from Earth. I mean, I knew that when I looked at it, you know. I mean, I'm not doing this to make money.
73720	86660	In February of 1997, USMC Lance Corporal Jonathan Weygandt was transferred to Pucallpa Air Base in Peru to serve in Operation Laser Strike,
87400	94880	a US South Com mission involving up to 20 agencies such as the USMC, CIA, USAF, etc.
95540	100280	The goal of this mission was to counter narcotic operations in Peruvian airspace.
100280	106360	While serving as a Stinger Avenger gunner ordered to perform perimeter security for the base,
107020	110400	Weygant would encounter something truly out of this world.
111300	119760	Jonathan, while serving with the Marine MAG-G-28 team under command of Master Sergeant Chris Diggins and Major Bob Cole,
120580	126760	recalled hearing USAF personnel discussing the tracking of UFOs displaying strange characteristics.
126760	127000	characteristics.
127780	133760	Now, it's worth noting, the Bukalpa Air Base employed numerous data acquisition methods
134380	144560	including TPS-43 and ROTHR radar as well as CIA Cessna Citation
144560	150040	spotter aircrafts, so the base had numerous methods to garner multi-sensor detection.
150680	157660	During a late night guard detail in March or April, Jonathan, Staff Sergeant Montalegre,
157840	163520	Sergeant Allen, and Sergeant Atkins were all ordered to secure the crash site of a
163520	170780	potentially friendly downed aircraft. We can see in the image on screen a shoot down occurred on
170780	179620	the 25th of March by an A-37, sending a target crashing into a large fireball. By early morning,
180040	184540	a platoon of Marines reached near the designated area with their Humvees, needing to cross
184540	186760	the remaining distance through the bush.
187540	193220	Jonathan himself says, quote, We found the area really easily because there was a huge
193220	195980	gash in the land where something had landed.
197460	202900	Weygant, Atkins, and Allen went on to pursue the crashed aircraft while the remaining Marines
202900	204380	stayed at the crash site.
204540	208300	It's important to note this crash site is all these remaining Marines witnessed.
210200	212140	Weygand saw the object.
213080	217020	And when I first saw it, you know, I was scared scared the heck out of me.
217060	221780	You know, I didn't know what to do and it was just I was really it was really confusing.
222920	226460	Weygand saw a craft with the following characteristics.
227360	231540	Egg-shaped with its narrow end jutting out of a cliff face.
232140	236760	The craft looked metallic but with fluctuations you'd see in a liquid.
236760	244620	The surface was constantly changing, described by Weygandt as gasoline dripping into water.
245140	248620	Large vents that looked similar to fish gills.
249900	255300	A dull humming sound emanated from the object, instilling fear and unease in the Marines.
256360	260120	And finally, a large gash in the side of the object.
260580	265080	Weygandt guessed this may have been caused by a Hawk missile system.
266760	271980	Atkins and Allen ordered Weygandt to move away from the craft, and when the trio were
271980	277680	departing the craft, Weygandt noticed a group of men heading towards him from two landed
