start	end	text
0	6360	Where we're really going is, as an intelligence officer, I would expect all of you to expect me to lie to you.
30000	36300	All Domain Anomaly Resolution Office and was the 2022 official DoD UFO investigation program.
37620	43060	Aero succeeded the UAP Task Force, which Grush was the liaison to from the NRO and NGA.
44260	50920	Aero and UAPTF are storied programs in a long history of official USG government programs
50920	57100	on UFOs such as SIGN, GRUDGE, BLUEBOOK, ATIP, UAP Task Force, and Aero.
57100	67040	Okay, what Arrow was tasked with in 2022 was investigating UFOs, USOs, underwater submersible objects, and transmedium unknowns.
67520	76200	Okay, Director Sean Kirkpatrick has been shrouded in controversy for his entire tenure as Arrow, especially when Grush whistleblewed and came out with his allegations.
77120	82540	The office reports to Ronald Moultrie, which is the Undersecretary of Defense for Intelligence and Security.
82540	90660	and as of April 2023, Arrow had analyzed around 650 cases with no published reports and up until
90660	96380	the end of 2023, didn't even have a webpage or a way to contact them. And when they did,
96400	102620	it was just a single sheet webpage. So I wanted to talk about this op-ed and why it has me a little
102620	107240	hot under the collar, okay? Kirkpatrick, of course, opens up with the Carl Sagan quote,
107380	111760	extraordinary claims require extraordinary evidence. I've always despised that quote.
112540	120480	Oftentimes extraordinary science is done with the absence of any evidence, and thus extraordinary science produces extraordinary evidence.
120920	124840	So let's start to look at UAP with a scientific lens, shall we, Dr. Kirkpatrick?
125460	130840	Anyways, throughout this article and throughout any time Sean Kirkpatrick speaks,
131120	138020	especially his 2022 roundtable with Ronald Moultrie in which they completely dismiss any sort of extraterrestrial presence on Earth,
138020	146580	Kirkpatrick will always refer to UAP as alien or extraterrestrial. That is legalese because
146580	152240	the official term and the term that's in the congressional record in the 2024 NDAA under
152240	156740	Chuck Schumer is non-human intelligence. Kirkpatrick will never reference non-human
156740	163540	intelligence, only aliens or extraterrestrials, so he can sidestep any verbiage. Kirkpatrick also
163540	170240	also often relies on emotional appeal in this article in a 2023 LinkedIn post that he made
170240	176540	after David Grush went public, basically crying that he and Arrow were so hardworking and that
176540	181260	all these allegations sidestepped Arrow and that the men and women and him of Arrow do diligent
