start	end	text
0	11380	So here is your list. I'm not going to go through 145 sites. Some of them are black sites. Some of them are bases you know about, like Wright-Patterson, Edwards, Nellis, Area 51, so-called.
11700	20660	But all of them are based on witness testimony and intelligence we've gathered over the last 30 years, and it's time for it to be disclosed.
21300	27480	Recently in 2024, Stephen Greer and the Disclosure Project released their entire catalog of documents,
27780	30400	communication logs, drawings, and other files.
30700	35740	Love him or hate him, over the years Greer has provided valuable witnesses a platform to speak
35740	42820	and wrote, in my opinion, a truly fantastic piece of work, his 2001 Disclosure Briefing Document.
43060	48380	So while I have my problems with Greer, this document archive absolutely commands my attention.
48980	54460	Greer's list of UFO whistleblowers and witnesses features over 700 names, many of which are
54460	55160	redacted.
55180	57080	Here we find names we all expect.
57440	62740	Michael Herrera, the late Dr. Robert Wood, Richard Doty, Robert Salas, Jonathan Weygand,
62860	63620	even Bob Lazar.
63940	67520	But we also find 22 pages of redacted names.
67760	71880	Some of these names are described simply as points of contact to others, but some have
71880	74320	descriptions that might be well worth our attention.
74320	79740	attention. Viewers of my channel may remember UFO Witnesses Redacted List in which I derived
79740	84720	the names and contacted two of these witnesses from poorly redacted documents uploaded by Greer.
84880	90640	One such witness MS agreed to interview on UFO testing occurring at Dugway Proving Grounds while
90640	96220	the other witness TB was much more shadowy. Today we cover the redacted entry that has
96220	101920	captivated my attention and commanded my research for months on end. A witness I have been more than
101920	107020	and eager to cover as I believe this witness's alleged first-hand experiences with UFO reverse
107020	113540	engineering offer crucial insights into DoD and defense contractor involvement with UFO programs.
113940	119460	Hey guys, it's UAP Gerb and thank you so much for joining me today. I am beyond excited to cover
119460	126120	another witness in Stephen Greer's redacted list. Witness 11063 who makes claims of testing UAP
126120	131800	reverse engineer technology and craft at Edwards Air Force Base, California. Grab your pencils
131920	137060	and notebooks, because we have a tremendous amount of research to conduct and avenues to explore from
137060	142720	two simple documents on this former wing commander at Edwards. And before we get started guys, full
142720	147560	disclaimer, I have been able to ascertain this individual's identity and have tried to contact
147560	152640	him through myriad methods. Should he ever respond and be willing to go public, I will go to any
152640	158220	lengths to speak with him. But for operational security and his family's safety, I will not burn
158220	164220	witness 11063's identity. I have also attempted to encourage this individual to testify before
