start	end	text
0	6740	Meet Battelle Memorial Institute, a private non-profit applied sciences and technology development company
6740	8720	whose mission is to quote,
8820	14380	deliver scientific discovery and applied research that makes the world a better place to live.
14600	20980	This private non-profit has a prolific list of USG contracted work including classified SAPs.
21040	25180	Battelle has a storied history in the technological development of our US society,
25180	29760	society, including research into the fabrication of uranium for the Manhattan Project from
29760	36420	1939 to 1952, development of the photocopy machine and UPC barcode system, work on combustion,
36620	42460	electronics, energy conversion propellants all for Apollo 11, and military research into
42460	46240	biological and chemical weapons slash defense systems, and more.
46480	52720	Today, Battelle manages the National Biodefense Analysis and Countermeasures Center at Los
52720	62900	Los Alamos National Laboratory, and the National Renewable Energy Laboratory, NREL, as well as Oak Ridge National Lab, all of which are DOE-sponsored labs.
63160	68520	So we already see some ties here with Battelle and the USG UAP work in Los Alamos and the DOE.
68520	83600	But what if I told you Battelle is harboring a dark secret, that the company has a long history of studying UFOs, aiding the USG and USAF in the UFO cover-up, and has even conducted analysis on UFO material?
84040	95680	Hey guys, it is UAP Gerb and we are finally going to start to dive into one of the most fascinating aspects of the UFO phenomena, the private sector's connection to the study of UFOs.
95680	102440	Numerous key figures such as David Grush, Lou Elizondo, Chris Mellon, Eric Davis, former Senator Harry Reid, and more
102440	111240	have made direct statements that USG defense contractors have a direct hand in the reverse engineering and crash retrieval of UAP.
111520	122260	So today, we are going to dive into one such company with real dirty hands on work of UFO material and research, the Battelle Memorial Institute.
122260	122500	Institute.
122760	128740	The earliest tracing of Battelle and UFOs goes to something called Project Stork.
129000	135380	In 1952, the Director of the Central Intelligence received a memorandum titled Flying Saucers,
135500	140540	which detailed an arrangement between ATIC, the Air Force Technology Intelligence Committee,
140640	146060	and Battelle Memorial Institute for the contractor to establish a machine indexing system for
146060	148020	official reports of UFO sightings.
148020	155800	On the 9th of January 1953, Battelle's Dr. Howard C. Cross proposes that the ongoing
155800	161220	Project Stork quote, assist the Air Force in reassuring the public that everything is
161220	164940	well under control with respect to the UFO problem.
165320	170200	At the time, this memo was classified secret and even calls to attention Captain Edward
170200	174260	J. Ruppelt, the Project Sign, Grudge, and Blue Book director.
174260	178720	I've talked about him in the history of the stigma, so check that video out if you haven't.
179020	185040	If you'll remember from that same video, in 1953 the Robertson Panel was conducted to
185040	191420	ensure that all national security agencies should strip UFOs of quote, special status
191420	195400	and suggest to the public there is no legitimate evidence of their existence.
195720	200600	While the Robertson Panel was conducted, Battelle had been commissioned around the same time
200600	206480	to separately analyze all Air Force UFO cases away from Blue Book or these official panels.
206680	212200	Under codename Stork, this project paralleled to Blue Book and was even mentioned by J. Allen
212200	217540	Hynek during his attempted testimony at the Robertson Panel. Thanks to the efforts of Sufon,
217720	222760	the computer UFO network, I have been able to find all seven Project Stork status reports.
223200	227840	That is another analysis for another day, however all parts of course will be provided in the video
227840	236040	description. On the 5th of May 1955, Battelle and Atyk published a comprehensive analysis of 3200
236040	242900	UFO sightings titled Special Report 14. This report concluded that UFO are not aerial aircraft
242900	248380	beyond human scientific knowledge because no physical matter had ever been recorded from any
248380	254320	UFO sighting. But if we dig deeper, there is a massive contradiction here from Battelle's claim
254320	256560	that no physical matter had ever been recovered.
256820	263120	Six years earlier in 1949, Battelle had been contracted by none other than Wright-Patterson
263120	266800	Air Force Base to perform analysis on shape memory alloys.
266960	271940	See on screen now and in the video notes the first and second progress report covering
271940	278080	the period of September 1st to October 21st, 1949 on research and development of titanium
278080	282600	alloys, contract number 330383736.
284320	290120	of these investigations focus on nitinol, a nickel titanium alloy, a metal that would
290120	295940	not be officially discovered until 1961 by Dr. William J. Buehler.
296160	302660	So Battelle was performing analysis on the nickel titanium shaped metal alloy now known
302660	306740	as nitinol over 10 years prior to its official discovery?
307040	309260	Well what exactly is nitinol?
309260	314280	For you material scientists out there, and I am not one of you, nitinol has the unique
314280	317360	properties of super elasticity and shape memory.
317680	322480	The metal can be subjected to high levels of stress and snap back to its original shape
322480	325960	when pressure is released, showing no deformation on the material.
326740	332360	Nitinol is also elastochloric, where the material heats up when exposed to a mechanical force
332360	332620	field.
332880	337380	When this heat is released into the environment and the force field is removed, the material
339260	344940	same amount of heat from the environment again. If I'm not stressing this enough, nitinol is a
344940	351300	remarkable material that is exceedingly difficult to manufacture due to the exceptionally high and
351300	357760	tight compositional control required and the tremendous reactivity of titanium. The material
357760	364500	is even used for thermal and electrical actuators, implants due to the material's biocompatibility
364500	371540	and structural dampening. So again, Battelle was contracted to perform a material analysis on an
371540	377800	alloy that is exceedingly difficult to make, requiring vacuum arc remelting, or vacuum
377800	384160	induction remelting to manufacture today, in the 21st century. But had this material in the late
384160	391860	40s, specifically 1949? And does this alloy not sound almost exactly like the material that was
391860	394640	was discovered in the 1947 Roswell crash
395620	399380	that Jesse Marcel described as an exceedingly light metal
399380	401780	that would retain its shape after deformation.
402200	404980	And remember, Jesse Marcel was a military officer
404980	407740	who was taken to the UFO crash debris field
408400	411000	with rancher Mac Brazel, who discovered these materials
411000	413140	and then was later told by General Ramey
413140	416600	to pose with balsa wood and aluminum foil
416600	418460	to push the weather balloon theory,
418580	420320	and all of this is in Marcel's own words.
421860	427200	is that this debris from a UFO was supposedly shipped to none other than, you guessed it,
427240	434180	Wright-Patterson Air Force Base. So to summarize, I am directly inferring that the 1947 Roswell
434180	440300	crash led to the discovery of the material known as nitinol, and thus Wright-Patterson Air Force
440300	447720	Base and the U.S. Air Force contracted Battelle to perform a material analysis on nitinol in 1949,
447720	453040	over 10 years before its quote-unquote official discovery in the private sector.
453360	459060	But this wouldn't be a UAPGIR video without the mention of the Atomic Energy Commission, would it not?
459220	462340	Well, this study by Battelle into titanium-based alloys
462340	466680	was a research and development project under the Atomic Energy Commission.
467740	469820	For those of you who have never watched one of my videos,
470600	473960	UFO records and materials have been classically misclassified
473960	480860	under the 1954 Atomic Energy Agreement under trans-classified nuclear foreign material.
481220	485960	With this report, Battelle's work on titanium alloys is one of very few studies without
485960	491860	classification. It's not labeled as classified, unclassified, or declassified, but rather is
491860	497600	labeled as restricted. Essentially, this is a private sector classification standard in which
497600	502880	only need-to-know read-in access is solely allowed. If you've never heard of this before,
503960	508920	David Grush have spoken that part of the reason that private industries are used for UFO studies
509520	514060	is because they have their own legal classification standards that can't be breached by people
514060	515840	with SAP access like Grush himself.
516160	522380	But even more perplexing, these studies into nitinol were not declassified until 2010.
522780	529600	But we can go deeper, because I have the most bizarre connection to make with Battelle and
529600	531260	this nitinol UFO material.
531260	531380	material.
531740	538880	Within Battelle Report 2, we observe an inconspicuous subsection titled, quote, Analytical Methods
538880	544200	for Titanium-Based Alloys by one A.C. Eckert and E.J.
544300	550980	Senter, a senior research chemical engineer who worked for Battelle from 1939 to 1957.
552300	553460	Nothing out of the ordinary, right?
554620	557460	Senter's section of the report deals with titanium purity.
557460	563440	Exceptionally pure titanium is needed to make nitinol memory metal due to the high reactivity
563440	565040	as titanium as I mentioned above.
565380	571800	So keep EJ Center's name in mind, because let's travel to the summer of 1994 and read
571800	579680	into the Ohio UFO Notebook by Dr. Irene Scott and the MUFON Board of Directors.
579680	581740	This piece titled, quote,
581880	585540	The Ohio UFO Crash Connection and Other Stories
585540	589400	details an informant who came to MUFON in 1992.
590880	595600	This man attended North High School in Columbus, Ohio in the late 1950s.
595700	599620	In 1958, he dated a girl named Kathy Center.
600760	602260	One night while visiting her home,
602380	605720	her father, one Elroy John Center,
605720	611000	Center, told them while working at Battelle , he was
611000	618020	quote, responsible for a project which required him to study parts retrieved from a flying
618020	618780	saucer.
618860	624780	This section of EJ Center is under one decoding the I-beam of the MUFON report.
625500	631460	Roswell enthusiasts will know that Major Jesse Marcel, who was taken by rancher Mack Braswell
631460	637900	well to the debris field, found an I-beam amongst the wreckage and memory metal, which had strange
637900	642900	characters on it resembling hieroglyphs. What's crucial to remember here, guys,
643640	649180	is that although Mufon reports on E.J. Senner and his work on flying saucers for Battelle in 1994,
649720	657880	E.J. Senner's 1949 work on Nitinol was not declassified until 2010. So making this
657880	663600	connection unless EJ Sennert was really in fact working on materials from a crashed disk for
