start	end	text
0	5660	so lockheed martin wanted to divest itself from this material at a specific facility that's known
5660	11080	to me that i provided to the inspector general um like street address all that right
12400	17980	and the idea was if they made a catcher's mitt a security catcher's mitt for this you know
17980	23900	most serious sap possible the contractor and the other government customer which was the central
23900	30140	intelligence agency um for that specific lockheed material and it was that they recovered
30140	36080	from like the 50s and stuff it was like bits and pieces of of of like hall structure like that
36080	41360	how could it so if an aerospace and i've heard this theory from very informed people i don't
41360	46840	think it's a theory it sounds true that if there are crash materials and apparently there are there
46840	51900	are those reside in the custody of not the us government but of contractors that work for the
54340	56540	McDonald Douglas, Lockheed, etc.
60120	62120	My kids actually ask the same question.
62280	66320	And whenever I go on to business trips, I come home, they ask me, how are the aliens?
66480	67360	Did I see the aliens?
67580	68420	Things like that.
68560	70340	So do the aliens exist?
70460	71760	That's a question for another time.
72020	76300	But in terms of what we work on, yes, we do work on classified projects.
76920	82300	In the field of ufology, Lockheed Martin, the U.S.'s biggest and most advanced aerospace
83900	87380	has been intimately woven with the study of UFOs.
87400	90280	From reverse engineering attempts to material storage,
90580	93540	Lockheed's name comes up again and again and again
93540	97180	and is specifically name-dropped by credible individuals
97180	99680	like David Grush and Gary Nolan, who we just saw.
100060	102760	My friends, let's waste no time.
102960	105600	I am your host, UAP Gurb, and join me today
105600	110360	as we analyze Lockheed Martin's deep history of UFOs
110360	112240	and utilize facts and records
113900	120140	piece of the military-industrial complex's true involvement with the phenomenon. In 2021,
120660	125460	late former Senate Majority Leader Harry Reid said during a New York Times interview,
125780	130520	quote, I was told for decades that Lockheed had some of these retrieved materials.
131100	136860	I tried to get, as I recall, a classified approval by the Pentagon to have me go look at the stuff.
137000	142760	They would not approve that. I don't know what all the numbers were, what kind of classification it
143900	149640	not give that to me. Before we try and uncover what Senator Reid was referencing, let's review
149640	153880	some of Lockheed's accomplishments so we understand just how advanced this company is.
154840	160840	With annual revenues around the 60s of billions of US dollars, over half of Lockheed's annual
160840	168340	sales go to of course the DoD and DoE, and has completed feats of military engineering marvels,
168340	175940	such as the creation of the SR-71 Blackbird, the F-22 Raptor, the F-16 and the F-17 Nighthawk.
176620	182820	Lockheed has also contributed greatly to the space age of man, creating space shuttle propellants,
182980	191500	designing manned maneuvering units for spacewalks, and lended key contributions to satellite creations, and much, much more.
191500	212020	And we are all deeply familiar with the famed Skunk Works division that is intertwined with DoD special access programs, where top secret projects are conducted that result in vehicles that fly at Mach 3.2 at 100,000 feet, such as the SR-71, or the production of the first stealth fighter in the F-117.
212400	219740	But what about projects deeper, or in an even more classified setting than the already shadowy Skunk Works?
221500	226920	is legendary for having so much lore and whistleblower surrounding the company's black division,
227220	230980	but with an astonishingly thin paper trail and available evidence.
231840	232760	You know me, guys.
232860	237260	We will do whatever it takes to critically analyze and separate fact from fiction,
237460	243180	but going into this, know that we don't have the same sort of records available to us as we did for Battelle.
243420	249460	Lockheed Martin was not working closely with USAF and ATIC to investigate UFOs,
249460	255340	and we don't have an exact paper trail of when Lockheed got UAP material or craft,
255640	259060	so we will have to do our best to analyze all of the evidence.
263240	270440	We'll start by reviewing some of the perplexing claims made by actual Lockheed Martin employees and head scientists,
270700	273860	and yes, there are multiple and quite a few to review.
274160	278680	Most who are familiar with Lockheed's connection to UFOs know about Ben Rich,
279460	285720	Lockheed Skunk Works director and the father of the F-117. Just I'm sure as you guys know about
285720	293640	his famed 1993 UCLA speech, where he allegedly stated, quote, we already have the means to travel
293640	299560	among the stars, but these technologies are locked up in black projects and it would take an act of
299560	306300	God to ever get them out to benefit humanity. Anything you can imagine, we already know how to
306300	313260	to do. I'm not here to push any unsubstantiated claims to back my thesis, guys, so did you know
313260	319380	there's actually no video or audio evidence of Ben saying this? This is not to claim this quote
319380	324820	is fabricated or that Rich wasn't interested in UFOs, but these quotes are recorded by author
324820	330560	Linda Moulton Howe, who is known to take some report of liberties. However, this exact quote
330560	336940	appears to be confirmed in a 2010 MUFON article by one Tom Keller. But quite the contrary,
337100	344600	on the 10th of July, 1986, one John Alexander wrote to Director Rich to expand on his statement
344600	350940	of being a, quote, believer in UFOs. Andrew proposes that there are two categories of UFO
350940	355640	and is interested to get Rich's thoughts, man-made and extraterrestrial vehicles.
355640	359020	In a response letter, Ben Rich replies,
359500	380240	Dear John, Yes. I'm a believer in both categories. I feel everything is possible. Many of our man-made UFOs are unfunded opportunities. In both categories, there are a lot of kooks and charlatans. Be cautious. Best regards, Ben Rich. Guys, please give me a congratulations for being able to decipher that cursive. It was not easy.
380980	388240	The only discussion I can find around Rich's mentioned UCLA speech are some remarks made by MUFON director Jan Harzan,
389060	393300	who actually attended the conference and can confirm some things that Rich said.
393560	398020	He ended his talk with a slide of a black disc zipping off into outer space.
398540	400060	And he ended it with these words,
400280	403880	We now have the technology to take ET home.
404680	406520	And the entire place broke up laughing.
406520	410320	And Tom and I just looked at each other and said, did he really just say that?
410820	413700	And are these people really not getting that what he's saying is real?
413840	415200	So someone else asked the same question.
415480	418500	So finally he just said, he said, well, he said, let me ask you a question.
418620	420500	Do you think it's possible to travel to the stars?
421220	423980	He asked this of a particular engineer who had asked him a question about his career.
424620	426220	And the engineer said, well, I don't know.
426280	427520	It would just take a long time to get there.
427780	429020	He said, no, it wouldn't.
430560	434040	We found an error in the equations and we now know how to travel to the stars.
434040	445760	So we can't really confirm or deny Rich's supposed disclosure, but we can say that he did have an interest and understanding of man-made versus non-human intelligence UFOs.
445860	456180	And next we have Don Phillips, who was an ex-Lockheed Skunk Works, USAF, and CIA contractor who told his story through Stephen Greer's Disclosure Project in 2001.
457440	461740	And this is when Greer was still doing largely respectable work to push disclosure.
461740	467280	Phillips directly claimed that Lockheed has extraterrestrial technology and, quote,
467420	471600	tremendous technological advances have come from their study.
471780	479120	He also claimed in his interview with Greer the U.S. military did, in fact, acquire UFO craft from Roswell.
479280	483680	Lockheed, quote, really did put the technology to work,
484400	488180	and Lockheed was intimately involved with anti-gravity research.
488180	493820	research. All of these things Phillips claimed. But frustratingly, vetting Phillips' claimed
493820	499960	background with Skunk Works and CIA has proved to be impossible for me. The only mention of Phillips
499960	507460	I can find is a paper clipping from July 29th, 1965, which confirms Phillips' role in the Air
507460	513220	Force as well as mentions him as a graduate of Pierce College. And fun fact guys, this is the
513220	519060	same college that we can actually factually verify Bob Lazar went to. So analyze Philip's
519060	523880	statements as you will. Personally, I view his role with Lockheed from a skeptical lens.
524320	529700	I need verifiable proof that his role within the company was legitimate before I can judge more.
530200	536100	However, some of the things he says about anti-gravity, Roswell, and reverse engineering
536100	541160	UAP technology lines up almost exactly with some of the other gentlemen we're going to hear from.
541160	546880	And next we move on to a controversial but very verifiable figure, Boyd Bushman.
547500	553300	Bushman's deathbed claims of working on UAP R&D for Lockheed released in 2014
553300	560260	and have become stuff of legend for UFO researchers. In this video, Boyd states
560260	565940	that debris and materials were recovered from crash recoveries in New Mexico,
565940	572420	likely Roswell and maybe the Kingman Arizona crash. He comments on the company's work with
572420	579780	anti-gravity and states his work on UAP craft concluded that these craft contain three key
579780	587280	elements in their makeup, telluride, germanium, and palladium. Worthy to note is that these
587280	593240	materials Bushman suggests comprise UAP could be used to create a thermoelectrical slash
593240	599760	photovoltaic generator with a semiconductor and capacitor. As pure germanium was the first
599760	604420	metallic material to become a superconductor in the presence of an electromagnetic field,
605360	611060	palladium is crucial to capacitors, and telluride alloys have thermoelectric or photovoltaic
611060	616160	properties. This isn't crucial to know, you don't need to be a material scientist, but
616160	620440	this sort of material science lends some credence to what Bushman claimed.
620440	624380	named. Please feel free to view the whole testimony, of course the video will be in
624380	626600	the description, but I want to focus on Bushman himself.
627800	635460	Boyd is a verified senior specialist and top secret SCI SAP cleared employee that served
635460	642940	in Lockheed department 610-8, the special programs division. In 1999, Bushman came under
642940	649300	FBI investigation for suspicious foreign contact. Lockheed became concerned about the potential
650440	656760	sensitive information with what appears to be contacts in Prague, and it's unknown if all of
656760	662780	this contact was UAP-related or not. But from our investigation, it looks like Boyd was contacting
662780	669780	members in Prague to learn more about anti-gravity. Bushman was awarded numerous patents, including
669780	676240	strangely in 1997, a patent for a device that creates a magnetic monopole beam that emits,
676240	681500	pulses, levitates, degausses, stops electronics, and separates materials.
682520	687180	Monopoles currently are not proven to exist in the public or physics sector
687180	692500	and are an incredibly interesting topic. I recommend checking out this video by
692500	697200	PBS Space Time if you want to learn more about magnetic monopoles. But Boyd was
697200	702500	the real deal, right? Well, yeah, except for the alien bodies he showed in
702500	709540	photographs. The tiny looking gray creature can be traced back to a toy model, originally claimed
709540	717440	by an above-top-secret forum thread in 2008 to be a Kmart Halloween decoration from the late 1990s.
717860	723300	No verifiable evidence can be drawn to the toy's listing, however this is not a great look for
723300	729040	Bushman. Whether purposeful or accidental disinformation, I'm not sure, but with the
729040	734580	presence of the two we are faced with three options that some government agency had some
734580	741160	toy company that made models make up alien toys that appeared similar to the real aliens that
741160	747180	resided in area 51 or groom lake so that if photos were ever leaked like they were with bushman
747180	753020	they could leak photos of the toy as a way to discredit any whistleblower option two is that
753020	758600	the photo of the model alien was given to bushman in order to discredit him and take away from his
759040	764560	And three, of course, Boyd purposefully pushed the photo of the toy for whatever reason.
764820	771960	And now we arrive to the last and probably the best and most credible speaker with regards to employment in Lockheed, Bernard Heche.
773340	777480	PhD astrophysicist Heche performed astonishing work for Lockheed,
777560	784120	including the publishing of a paper for the Lockheed Martin Advanced Technology Center with physicist Hal Puthoff.
784280	788180	The paper focused on zero-point energy of the quantum vacuum,
789040	797280	studies specifically looked at one or more resonant frequencies that may be associated with quantum vacuum interaction for propulsion purposes.
797700	800780	I'll mention this again soon, so keep that study in mind.
801480	806940	In 2001, Heish wrote an essay titled Black Special Access Programs.
807380	811420	He had created a site called UFOskeptic.org.
811600	813660	Don't let this site name fool you.
813660	819260	He just wanted scientists to come together to analyze UAP with a little bit more of a critical lens.
819520	822600	To respect our time, I am just going to summarize this article.
822640	823740	I'm not going to read the whole thing.
823980	830080	But Haish essentially confirms the world we came to know in 2023 with the revelations of David Grush,
830240	834580	that these black special access programs on crash retrieval and reverse engineering
834580	837960	can be quite independent of any given administration.
838560	842560	And it's unrealistic to think that Freedom of Information Act requests
843740	849060	presidential administrations can penetrate and read into these programs, that over time,
849240	855280	these black budget programs become extremely independent. And to trace their origin,
855480	860340	instead of intelligence, they most likely fall under the office of the Undersecretary for Defense
860340	865960	for Acquisition Technology and Logistics. What is even more astounding, however, are the comments
865960	871420	Heche made to the public in 2018 after the existence of AATIP was revealed to the American
871420	877360	public. He said, quote, the following is conjecture. Sources tell me that this is merely the tip of the
877360	883440	iceberg. A group of four related but separate unacknowledged SCI programs tracing back to a
883440	891040	1947 Truman memorandum still exist and were housed as of the 1990s. Guys, remember the Wilson Davis
891040	896560	memo and the reorganization of SAPS in that time? In major aerospace companies such as, for example,
896560	900020	for example, Lockheed, TRW, Raytheon, Aerospace Corps, etc.
900340	904720	These would be expensive programs since the cost of secrecy can be several times higher
904720	905280	than research.
905560	911020	The AATIP program has no relation to these four, much better funded, deep, black ones.
911260	915780	Indeed, the black programs collectively have budgets in the $10 billion range and up.
916120	919900	Topics apparently include both reverse engineering and extraterrestrial biology.
920740	925900	The AATIP did find the UFO crash retrieval program via official channels, but was denied
926560	932800	to it because AATIP itself is not a SAP. Senator Harry Reid petitioned the DoD to confer SAP status
932800	938980	to AATIP, but the DoD denied his request. And lastly guys, while not a Lockheed employee,
939420	945240	let's take a look at USAF Master Sergeant Edgar Fauch. Fauch has made some astounding statements
945240	951560	on Lockheed with some really weird evidence to back it. In 1998, the Master Sergeant states he
951560	958420	temporarily worked at the Defense Advanced Research Center in 1979, which he claims
958420	964420	is a facility beneath Groom Lake with at least 10 underground stories. Fauch states he was recruited
964420	969720	to D'Arche while working at the Jet Propulsion Laboratory at Edwards Air Force Base. He claimed
969720	975720	that triangular craft had been reverse engineered by UAP, contracted by none other than Lockheed
975720	982280	Martin. The sergeant coined the now famous term the TR-3B, which is synonymous with human-made,
982360	987820	reverse-engineered, triangular-shaped craft, and states three prototypes have been reverse-engineered
987820	994040	by efforts at Sandia and Livermore, dating back to the early 1990s, and was the first attempt at
994040	1000620	a gravity-warping craft. What is truly wild here is we can confirm not only Fauch's military record,
1000620	1007460	but also the fact he was actually stationed at the famed Area 51. Look here guys, Ed was assigned to
1007460	1013480	DET-3 AFFTC, which is the organization at the Air Force Flight Test Center responsible for
1013480	1020340	operations at Area 51 Groom Lake. But of course Ed's lying because the DARS, the Defense Advanced
1020340	1026440	Research Center, is not part of DARPA, right? Well look guys, a declassified study from the
1026440	1032360	Advanced Research Project Agency shows advanced aerospace projects were performed by
1032360	1039740	Warnervon Braun's team at the Army Ballistic Missile Agency . A draft by the DoD directive
1039740	1046700	shows the ABMA was considered for a transfer into a, quote, Defense Advanced Research Center
1047240	1053320	that would be inherently linked to JPL. It's unconfirmed if DARS was actually created and
1053320	1056920	and if any advanced aerospace concepts from von Braun made their way there.
1057040	1060700	But look guys, DARS is actually a theoretical place.
1064820	1068060	As mentioned by Bushman, Heche, and Phillips,
