start	end	text
0	5800	The United States' most well-known UFO investigation panels, Project Sign, Grudge, and Blue Book,
5960	12600	ran from 1949 to 1969 and collected data on more than 13,000 UFO sightings.
12700	18280	Of this massive body of sightings, 258 cases reported UFO sightings by ships,
19020	24180	and a small percentage of these highlight unidentified submerged objects or transmedium objects.
24700	28800	Of course, as I highlighted in my last USO video, go check that out,
30000	36280	2's OpNav Directive 3820, Restricted Navy UFO Sightings, to only be shared with Air
36280	40980	Force Technical Intelligence Center, USAF Intelligence, and Director of Naval Intelligence.
41420	45520	So it is no wonder we are left wanting for officially reported USO.
45660	47860	But what about the cases we do have?
48040	52240	And what other cases that don't appear in Blue Book that span our history are worth
52240	52780	our time?
53480	59220	Hey guys, it's UAP Gerb, and join me as we take a closer look at USO sightings throughout
59220	59580	history.
60000	66940	From Blue Book to the modern day to pre-World War I, let's analyze reported cases of unidentified submerged objects.
67160	73620	And guys, today we will not just be sticking with the U.S., but analyzing global cases I find worth studying.
78260	87440	As mentioned in the intro, only 2% of Blue Book cases, a.k.a. 258 reports, involved sea sightings of UFOs.
87440	93520	And 13 of these reports can be classified as good, meeting merit standards for UFO reporting.
93740	98940	And a handful of these cases with relevant data describe USO and transmedium object.
99580	107280	Found in the annals of Blue Book indexing is a sighting that occurred in the North Atlantic from the ship Markala on August 4, 1950.
108280	115420	Shockingly, this case is listed by Blue Book as unidentified and may in fact be my favorite case I will discuss today.
115420	123800	At 10pm EDT, the shipmaster, chief mate, and third mate of the MV Markala saw an unidentified
123800	127480	elliptical object approach their vessel from the southwest heading northeast.
128800	133420	Passing within 1,000 feet of the ship, the object hovered no more than 100 feet above
133420	137720	sea level, with speeds ranging from 25 to 500 mph.
138220	145020	This object was described as ovular, cylindrically shaped, and elliptical, like half an egg cut
145860	151140	The object's appearance varied in testimony from shiny aluminum to metallic white.
151420	156440	All three witnesses described the object as having a rotary and wobbling motion as it
156440	158120	passed closely over the ocean.
158520	160520	This event lasted roughly a minute.
160840	167240	We can also hop on board the SS City of Alamaco, heading from Yokohama to LA just north of
167240	169800	the Hawaiian Islands on November 7, 1959.
169800	175620	1959. Three witnesses onboard the craft observed a bright object streaking across the water from
175620	181040	four miles north of the ship. The light emitted three flashes before submerging under the surface,
181160	185740	and remember those three flashes as they'll come up later. The Amaco changed its course to
185740	191880	investigate, but nothing was discovered. Blue Book labeled this case as a meteor, but while such a
191880	196800	prosaic explanation might be possible, the idea of a meteor taking a low pursuit angle and streaking
196800	200520	taking across the water for an extended time period warrants more investigation.
200960	204740	And if that case is not anomalous enough for you, let's investigate near the vicinity
204740	208720	of Ascension Island in the Atlantic, on the 25th of June 1960.
