start	end	text
2160	6340	Listen, we read this paragraph in here about these, quote,
6440	12040	coronal discharges that you guys were seeing, and that completely stops us.
12100	19000	Tell us how this came about and who talked to you about it and what you saw.
20380	26420	Somebody reported on one of the earlier flights that some guy up like at the letters,
26420	35340	or somewhere and they shifted down and made it to Cape about two things where the VHF radio noises would be discharges from someplace in space.
35760	41820	And the other ones were, I thought it was about Neal's flight he said, the airport is seeing flashes from a spacecraft.
42360	43900	They saw it with their eyes closed.
44240	46020	No, they didn't know it was with their eyes closed.
46060	51660	They noticed them when they were awake at night and the spacecraft was dark and they thought they were in a spacecraft.
52600	56220	But whoever this guy was said, no, that's a perfectly known phenomena.
56500	60240	You can get discharge across your eye from gamma rays or something.
60680	62640	So he added a bunch of things.
62720	67820	Would we close our eyes and face the moon, you know, when we were orbiting it,
67880	72780	because it would be more, we'd get less discharge just facing the moon than away from it.
73440	75960	But you don't have to be anywhere near the moon or anywhere.
76100	78260	The first night happening, bing, bing.
78260	84340	And if you keep your eyes closed and your waist down there and it's dark and you think about it,
84400	88520	what happens is you can straight your eyes and you can spin down and it's one eye.
88780	93320	It's not a discharge that you see in both eyes. You really see it with one eye or the other eye.
93700	96420	And you can see what kind it is. We had two kinds.
96960	102920	I guess the particle either strikes the eyeball perpendicular or a discharge in parallel.
102920	107640	and we'd get either a flag like that or we'd get a street.
109220	113040	And I don't know if they got a flag or a street.
113640	116780	And I for some reason got a more with my left eye
116780	119300	than my right eye, but I could tell which eye it was
119300	121100	when I was concentrating on it.
121280	123140	I'm trying to tell you the reason he did it
123140	126460	because where he slept was always on the left side
126460	127000	of the spacecraft.
127960	129780	That's why I've got whistlers across there
129780	131540	and I caught all the right ones in my eye.
142060	144100	They should have protected you, Dick.
144120	146100	They should have picked them all up.
146240	149600	I'm surprised you didn't hear about this
149600	153440	because we were asked to specifically experiment with this vaccine.
153780	156660	There are two pages of the vaccine.
156980	159000	We didn't bother to.
159080	160200	We were seeing it every now and then.
167560	171380	I remember their conversation about it.
171380	174980	They thought it was something, you know, penetrating the spacecraft.
176660	180240	What Pete described is the exact phenomenon of all three of us.
180320	185800	You see a light, you know, just a flash out there, or sometimes it would be on the street.
187000	193660	And I saw them in both eyes, either eye, and I can't remember if there was one of them more predominant than the other.
194060	197900	But I agree with Pete, it's a phenomenon that you're not seeing with both eyes.
197900	201140	it's not something external, maybe there's something that's inside of you.
201140	202320	Inside of you, yeah.
202540	205620	Coming across you is that one-off? Apparently they know that.
205800	208460	Yeah. Apparently it's a completely known phenomenon.
208920	216200	Well, we've been looking for cosmic rays, you know, cosmic ray strikes and heavy particles,
216460	221880	heavy nuclei that go through. You know, we started at Clearback and Mercury taking photographs of the
221880	226120	retina to see if you could see streaks across the retina and stuff. We never could find any in there,
227900	230740	that up early and well by the end of the
230740	243860	well probably what what it's doing
243860	245220	anyway it's probably hitting just a
245220	248920	single cell and yeah that's all I'd have
248920	250520	to do particularly make this flash you
250520	251460	know you hit a single cell
281460	282000	I don't know.
282400	286240	I think, hey, I'm just getting a spring-loaded from that, you know,
286260	290100	one of the, uh, I asked C.P. Cena that got, like, in the season,
290340	293600	and they said, remember the mission, you wake up at night and you say,
293680	294840	well, I think I ought to see something.
295040	297520	You close your eyes on those pages and you count about one minute.
300720	306040	Uh, let me ask you one more question about heart, uh, oh, here.
307040	309780	Were these random distribution of these?
310660	313660	Or did they seem to be apparently horizontal?
314980	318240	Okay, were these things random?
318980	321560	Or did they all seem to be in one direction?
321560	322760	Like, were they always horizontal?
322940	324000	Or were they at random?
324000	325580	They could be at any kind of angle.
325800	327480	But the streaks I saw were,
327480	329300	well, I saw them horizontal.
329720	331020	I was going to say, that's interesting.
331320	333580	Mine, it seemed to me, I had the impression
333580	336440	that they were always roughly in the same place
337040	342500	were horizontal. The horizontal streets were always, if I knew where I was looking, it
342500	346980	always seemed like the horizontal streets were a little bit above the center. And it
346980	352160	always seemed to me it went from right to left, no matter which eye it was in. The,
352160	358500	the, the discharges were more towards the center and it would be just a, it was just
358500	361720	like a pinpoint of light went, it closed again.
362680	364760	Like somebody was flashing a light at you.
365980	366600	That's right.
367580	372200	yeah it was built you're on very small yeah
372200	385800	that about the same for both of you is that the same reaction you had dick and
385800	388080	al the way he described it
397040	402340	that's pretty much it but about the same as they seem to appear about the same
402340	402760	place
427760	434700	with his eyes open and other things that he'd center his eye on, the lights on the instrument panel.
434960	440160	What I used to notice on the boat was when I was down there in that sleeping bag, I put pitch black down there in the hole.
440360	442400	And it wouldn't make any difference whether my eyes were open or closed.
442480	449600	And I could lay there for a secure time that way, say for a half an hour, and either open them or close them and wait.
449660	451660	And sure enough, after a while, I'd get one.
451660	455800	And then I'd sit there for a while and say, okay, there's a left eye or the right eye.
455800	457120	It'd take you a while to sort it out.
457880	460380	But you usually figure out which eye it was in.
461260	463780	Now you know what you're doing when you're supposed to be sleeping, huh?
463920	464280	Yeah.
468000	469640	There was a comment that...
