start	end	text
1640	9500	Again, the areas in black are the total area covered which we obtained from the mission,
9660	20760	and the areas in red are the pieces which we missed due to the deletion of the plane change and the day early return.
21080	26800	This little piece down here was an oblique pass which we had planned with the pan camera.
26800	31800	would have taken place on Rev 72 in order to get photographs of Descending,
31900	36400	which is an area of particular interest to the geologists.
37000	40060	So you can see that we did lose some data.
40320	44000	On the other hand, we did pick up some data that we would not have gotten,
44720	53780	and I think overall the effectiveness of the coverage was about 90% of what we had hoped for pre-emission.
53780	62360	I really want to express the thanks of the photo team to the flight planners here
62360	66880	and also to Ken for his operation of the cameras during the mission.
66960	72900	I know that it was very confusing to be continually changing the flight plan
72900	77700	and Ken probably wondered what the hell we were doing with all these on-offs and so on.
77700	90100	But really I think we did a very effective job of recovering almost all of the data that we had planned for the mission.
90860	92900	May I have the next slide please?
94580	100600	This is a diagram showing what the Apollo 15 coverage was like.
101200	105320	This is the planned coverage for the 16 mission,
105480	108780	and in the dotted line is the planned coverage for the 17 mission.
109000	113500	The only reason I show this is to indicate that the areas where we did lose data,
114460	120300	unfortunately, are in the areas that were not covered by 15
120300	126280	and will not be covered by 17, so that the losses, although small, were real.
126660	127780	May I have the next slide?
130600	133700	Ken, during the film recovery EVA,
133700	137640	you reported that the stellar camera glare shield was hung up on the handrail.
138400	144380	I'm not 100% clear as to exactly what that situation was.
144500	146820	This is the stellar camera glare shield,
147000	149860	and this is a little cover that comes down and covers that
149860	153320	when the mapping camera is retracted.
153700	157420	Maybe you've discussed this with the other people here at the center,
157560	158880	but for my own information,
160620	162820	this is the cover that was hung up or
162820	165240	this cover? Both of them.
165240	166420	The shield
166860	168480	at the forward end, that one. This one?
168640	171040	No, the first one you looked at, yeah. That was sticking
171040	173160	up. That was sticking up, uh-huh.
173200	175140	But the tip out
175140	176900	here was mashed against the handrail.
177100	179340	Mashed against the handrail out along here.
179560	181360	Yeah, the rail isn't in this picture.
181360	183360	The rail is not in there. It's not installed. It would have been along here.
183460	185240	That's right, and this lip was up
185240	187380	against it and bent back out of the way.
187420	189200	I see. It was not in the
190600	191440	as a partial extension.
192500	194440	Could you tell whether this was bent,
194600	196960	whether this rail was bent, this extend rail?
199000	201020	No, but I think we have a photo that would probably tell you that.
201520	202260	I don't remember.
202520	204340	The end of the shield was bent.
204600	205080	Up here.
205720	206160	No.
206360	206780	Here.
207000	209200	Yeah, in the next section of the equation.
209200	210040	The next section was bent.
210420	213120	Now, whether that rail itself was bent, I didn't notice.
214200	218580	The implication, of course, is that if this had happened early in the mission
218580	220140	and this shield were bent down,
220600	223280	we might get excessive light into the stellar camera
223280	229220	and our background density would be higher than we expected
229220	230720	and we might not see as many stars.
232020	236440	The other indication of malfunction that we had, of course,
236480	240160	was in the exposure control on the pan camera,
240960	247580	and that would indicate that the pictures away from the terminal may be overexposed.
247580	251720	that situation is also being looked at and again we're going to talk about it
251720	256160	this afternoon before we actually process the film. May I have the next slide?
257860	262340	This is the information which I have with regard to the laser altimeter
262340	268380	operation. The first row across here is what the nominal mission would have been
268380	276100	and the second row is the actual results from the Apollo 16. We had planned a
277580	283740	few minutes of operating time, we got 14 hours and a half, so that we are down about 25%
283740	292400	in the total operating time. This is the total revolutions in longitude that we had planned,
292620	302280	10.3, and we got 7.5, so again, we're down about 25% in that regard. A total number of firings,
302280	315420	3283 and 2106 is the actual number that was recorded, so we are down nearly 30% in the total number of firings.
315680	325180	Also, the number of valid elevation readings that we got was appreciably less than the total number of firings,
325180	330040	so that the actual mission, in terms of altimeter observations,
330920	335260	gave us a little bit less than half of what we had actually planned.
336900	343020	That's really not as serious a shortfall as it sounds just from the numbers
343020	347780	because the readings were quite well distributed throughout the mission.
348100	351660	The general operation that we saw on the altimeter,
351660	358000	The first several REVs were completely nominal. All of the elevation readings were valid.
358260	371220	Then it began to fall off about 75%, 65% and down to about 60% except on the last data pass on REV 62 where it was only about 10% effective.
373600	379380	Generally, what we seem to observe is that there would be one good shot, then one bad
379380	383000	shot, then one good, one bad, and then maybe several good ones in a row.
384740	392020	We can talk about the reason for that, but that's more appropriately covered in the systems
392020	392760	review tomorrow.
394060	400720	The effect that it will have on the data is simply to give us a larger spacing between
401220	402920	points. So far as
402920	405040	its effect on the reduction
405040	407060	of the photography is concerned,
407200	409180	that's absolutely inconsequential.
409260	411180	So far as its effect on
411180	413020	the correlation
413020	415320	between the tracking and gravity data
415320	417220	and the profiles,
417600	418700	it's a little bit
418700	421200	more of concern. They do
421200	423180	have a little bit more smoothing to do between
423180	424980	the data points that they got, but essentially
424980	426940	I don't think that it really hurts us
426940	428860	so far as the scientific return
428860	436740	turn from the mission is concerned. I would like to say just a word or so about the utilization
436740	445580	of the photography. It has been proceeding much more slowly than I had anticipated in reducing
445580	452900	the pictures from Apollo 15. However, the work which is being done by the ACIC in St. Louis
452900	460740	us is indicating that the photography, photographic reduction will provide positional coordinates
460740	467480	of features on the lunar surface with the accuracy of 10 to 12 meters in position and
467480	467960	in elevation.
468300	472980	And that seems to coincide very well with what we had predicted pre-mission.
473200	479860	So we are quite confident that we're getting very good information from the pictures in
479860	480420	that regard.
480420	490860	guard. The tracking data generally is consistent within an orbital pass, but we do find discrepancies
490860	499600	of up to a kilometer between adjacent photographic passes, so that the reduction of the photographs
499600	506560	is giving us a much better tie between orbital passes than we get from the tracking data
506560	514400	itself. Consequently, we do expect eventually to come up with an internally consistent coordinate
514400	520080	system, reference system, figure of the moon with an accuracy on the order of 12 to 15 meters.
520360	527760	That's highly gratifying to me. So far as the pan camera utilization is concerned,
528140	536260	there have been some map compilations done. The indicated precision of those is on the
536560	541540	of three meters, which again is about what we had expected, but that is a
541540	546100	precision and not an accuracy number because of the geometric problems with
546100	550900	the pan camera photography. However, so far as the resolution of the pan camera
550900	556160	is concerned, that has held up to just about what we had expected from one and
556160	561240	a half to three meters at the sub-vehicle point and decreasing off to
561240	564460	to about five to six meters at the limits of the film.
565800	570460	So far as our indications at the moment are
571000	573840	that the results from 16 are quite satisfactory.
574240	577080	We do have these problems that we have to resolve
577680	579120	in the processing of the film.
579460	581520	And once that is done,
581640	584020	we will be able to say exactly what we did obtain.
584420	587300	But again, I want to express the photo team's thanks
587300	588760	to you particularly, Ken,
588760	597980	Ken, for the time and attention that you gave to the camera operation and the results that we have obtained.
598980	600960	Thanks, Fred. Any questions, Ford?
601200	604340	Do you have a plot of the altimetry?
604520	610140	You know, last time someone had drawn up a rough hand sketch of the altimetry.
610380	611680	Did anyone do that this time?
611780	611820	The profiles?
612080	612420	Yes, sir.
612520	613620	No, I don't, Ken.
613680	616140	I think maybe Sjogren has one of those.
616140	623100	and, is he here? Bill? Yeah, Bill. Do you have a pot? Yeah, I thought you had one. Okay. He'll show that.
623380	632600	Okay, and these particles that you found in the mapping camera, is that handfuls or a couple of shavings?
632920	643320	I don't know how extensive they were. They were enough to concern the people in the processing lab.
643320	648940	lab. All I know, that's about all that I know about it. We're supposed to have a review
648940	656020	of that this afternoon. It could have very serious implications, obviously. One thing
657100	665440	that I seem to recall from the, during the mission is that we had apparently more film
665440	671760	left for post-TEI photography than we had anticipated. And what that could mean, of
673320	677040	was not passing film when we thought it was and things were being chewed up
677040	682120	pretty badly inside so we're going to have to look that over very carefully
682120	687740	before we go ahead with the processing of the film. We expect the camera
687740	693200	contractor to look at the shavings and tell us where he thinks they came from
693200	697220	and that may give us a better clue as to what they are actually are. Do you have a
697220	702100	processing schedule yet? I guess it's all in advance to what you do next. Everything is in a hold until this
703320	707260	meeting this afternoon. Assuming you determine to go ahead and develop it, will it take you
707260	711040	three or four days to process? Yeah. I think the
711040	715300	anticipated schedule was to have the original
715300	719280	film processed within this week and all of the duplicate copies
719280	721180	within four weeks distributed.
721860	726960	What is the accuracy of the altimeter? The least
726960	730420	count of the altimeter is one meter.
730420	744720	The accuracy is dependent pretty much upon the slope in the area which is illuminated and a little bit on the albedo in the area which is illuminated.
745460	753560	In general, I think it's fair to say that the reading that we get from the altimeter will be correct to within 3 to 5 meters.
757400	760160	Have you figured out what to do with the pan camera for processing?
760980	763340	Got a correction for the exposure?
763340	767380	For the over exposure? I don't know what has been figured out.
767420	772800	We had a group working on it last week and they're going to give us a report right after this meeting to decide what to do.
772940	774340	I could comment.
800320	803120	The situation
804420	809200	near the terminator the pictures are underexposed anyhow because we can't
809200	813520	open the slit wide enough and so on. So the camera was wide open at the
813520	818520	terminator but it was open wider than it should have been when we were away from
818520	821980	the terminator so that the terminator pictures are a little bit underexposed
821980	827740	then they become properly exposed and after that they will be overexposed.
830180	835780	So what we would really like, of course, is a variable processing through each photopass,
835880	839240	but that's probably not a feasible thing to even contemplate.
843560	844120	Thanks, Fred.
845760	848760	Next subject will be the particles and fields of the subsatellite,
848800	851640	and I think Jim McCoy is going to cover that. Is he here?
852660	853100	Yeah.
854400	855200	Ah, there he is.
866160	867480	We got a mic right over there.
