start	end	text
2260	5740	Most of my streaks appeared to be on the periphery.
6060	13780	And for the first several days, I got the impression that this direction was predominant.
13900	18880	Later on, it appeared that I don't think I could get that good a pattern.
19000	21580	But that was my first impression for the first couple of days.
23340	26960	The next question is, was there any apparent direction of propagation?
26960	32080	And could you tell it was coming from one side to the other or was it just a flash?
33340	36800	Several times you could say from the left to the right or something like that.
37020	41820	Tried to correlate it, but in my case I couldn't really correlate a pattern out of it.
42000	50700	Yeah, I would think that the time period in which we tried to report them streak by streak, flash by flash, was representative.
51520	57840	And it was my feeling that it was generally random during that time period and therefore
57840	60400	generally random throughout the time that we were noticing them.
60560	64860	No, I meant could you detect that it was moving from one side to the other?
64940	65120	Oh, yes.
65640	67840	It was moving in a specific flash.
67840	70020	Oh, yeah, a specific flash, yes.
70400	70660	Yes.
70900	73460	But you could see it as a travel from one side to the other?
73460	73780	Yes.
74020	75960	I think we tried to report it that way, didn't we?
75980	76860	Yes, you did report it.
76920	77960	That's the way the rest of the people...
77960	80660	because it happens, it has to be very fast, you know.
80760	82400	Isn't that question kind of redundant then?
83160	84300	I don't believe you.
88740	93960	Was there some character to these flashes that had some aspect of direction?
94600	98860	Were they all the same rod shape or did they have a tail on them?
100720	104900	Well, what I reported as a streak was simply that.
105800	113660	Now maybe the way we determined the direction subconsciously was that it was a ball of light
113660	120640	moving in a direction leaving a tail, but I don't, I can't say that for sure. All I reported was a
120640	126720	streak and I had the impression of it moving from one direction to the other and I reported that
126720	132360	direction and I can't clarify it much more than that. Maybe while you're asking a question,
132360	137880	we just tell us the lights I think they can see this in the dark just the idea
137880	142200	to try to see whether this is what you saw or similar to it I think you mean
142200	148220	like that bit can you see anything yeah that's what it looked like except it was
148220	154360	traveling in other words it started out and it definitely progressed across the
154360	160540	field of view action of motion for individual right yeah except you're not
163300	168020	I never did see two simultaneously either.
168240	168940	Neither did I.
169360	171880	You have two streaks on that. I never saw that.
175220	178560	At one time you said you saw a semicolon-shaped thing.
179560	180240	Saw what?
180420	184120	A semicolon-shaped object. This was in the first report.
186740	187900	I never did.
188740	191800	If I reported it, that's what I saw, but I don't remember it.
192360	193940	Did you see anything that looked like this?
196200	198740	All I can say is whatever was reported is what I saw.
199900	204920	No, I, you know, we discussed the various shapes prior to flight,
205100	209720	and I concentrated pretty hard on trying to see the shapes,
209780	215300	and I think as I reported, no, it was either a streak and just a rather simple streak,
215400	221940	or it was a flash and rather a simple flash, nothing too exotic about it.
222360	231280	And a more rare one would be maybe just a pinpoint of light for an instant
231280	236840	rather than get the idea of a flash that would just be a pinpoint for a second
236840	240000	and it would be gone, but that was more rare than the other two.
240280	242760	By a flash, you mean a distributed sort of thing?
242800	248260	Yeah, I meant like watching an explosion, just a ball
249640	252340	versus just a steady dot.
252620	252780	Yes.
254200	256160	Was it like this at all?
256740	257600	Can you see that?
257980	258420	No.
260160	261040	Can you see this one?
262320	263220	I think it's small.
264120	265120	I can see it.
266980	267700	Can't see it.
269000	270140	We're not getting any lighting.
270460	271220	I don't think it's lighting.
271940	274480	There was something just as you turned it there.
278820	279740	Okay, I can see that.
279840	283120	I mean, multiple, well, this one.
285060	288720	Okay, that to me would be the pinpoint that I'm describing.
291400	295400	The eruption, or the nova as we call them, would be more of an explosion.
295760	295920	Yeah.
296000	296680	How about this?
297320	298120	Yeah, yeah.
298600	299880	Are there more dots than that?
301020	304980	Well, you've got a very, very bright center and a diffused edge.
304980	309640	I would say that the impression I had was you would have an area like that
309640	313880	Indicating a blow up at the center wasn't predominantly that bright
315960	321820	But that's getting closer to what we would call what I would refer to as a Nova or a flash
322320	324780	That's not as bright as what I called Nova. Yeah
324780	324780	
326060	331940	Ed, was your nova an explosion like this or a discrete white flash?
332140	340060	No, it was what I called a nova was more of a blob that seemed to start with that and kind of expand.
340460	341220	More diffused.
341440	343980	Yeah, more diffused as the time went on.
345200	346520	But brighter than that.
346740	347700	Brighter than that, yes.
348180	350760	That's about what I'd call a flash or a star.
352600	358240	Here again, you've got too much contrast between the center and the diffused area there, though.
360220	364560	Also, your time frame that you're flashing, that's too long. It was faster than that.
365480	372840	Am I right, Ed, from what you just said, that when you said flash, you really meant a star and not a – not what you just described?
373120	376560	I think I almost tended to use flash and star interchangeably.
376780	377680	That's not true for you.
379460	384760	No, when I flashed, Nova to me were essentially the same thing.
384800	388500	The only distinction I make is the pinpoint versus an explosion.
389540	395480	Okay, I think what Stu was calling a pinpoint was about what I'd call a star or a flash.
395920	400240	And a Nova to me was a much bigger, brighter thing.
401680	403400	Okay, a couple of quick ones.
403460	407340	First of all, the cabin lighting, exactly, was it completely dark
407680	409280	There's some instrument lights still on.
409380	410020	Absolutely dark.
410100	410740	Absolutely dark.
411300	411660	Okay.
411700	412140	Wait a minute.
412260	413460	Well, yeah, there is.
413580	418060	You're talking about the time period that we ran this quantitative report, right?
418120	418660	Right, right.
418720	419680	So completely dark.
419860	420140	Okay.
420280	425060	And did you have your eyes closed most of the time, or were they open in the dark cabin?
426520	427160	Mine was closed.
427380	427380	
427800	428800	Yeah, I had both.
428920	431920	Even though we had the window shades on, when we'd roll around to the sun,
432000	434540	when you hit some of the windows, there'd be some light seepage around,
434600	435900	and we were aware of that ahead of time.
438680	442220	At least I made the attempt to keep my eyes closed, open otherwise.
442440	445460	And, of course, we closed their eyes when they flipped this flashlight on.
446100	447880	But generally speaking, the eyes were open.
448320	452120	No, mine was almost closed all the time.
452180	454040	I was floating down the corner of the LED,
454220	459560	but I kept my eyes closed because I didn't know when we might roll into the sun
459560	461420	and I didn't want to pick up any light at all.
462220	465960	Okay, the next question on the flashlight was when you shined it in your eyes,
466080	468460	what was the approximate duration in each eye?
468680	469500	About how many seconds?
469920	473040	Well, I just kind of moved it across for, oh, five seconds or so.
474080	475100	Five or six seconds.
475160	475560	It hurt.
475840	476760	It was vertebrate.
478860	482580	And next question on still your orientation in the LAB.
482940	485060	You said you were looking toward plus X.
486080	488340	Were you across?
489360	489920	I was.
490900	493140	Generally, you know how you have the three couches,
493140	497260	and plus X is up. I was oriented this way
497260	501180	with my head looking face up down in this corner.
501440	505060	So your head was in the same direction as it would be if you were on the caps, just rotated nicely?
505120	508700	Yes, that's it. And the next question is
508700	512860	in almost every case you did report that it was in one eye or the other.
512940	515760	At least one instance where you had both eyes.
516080	520420	And my question is, it may be somewhat redundant, but
520420	525880	But were you absolutely certain that you could distinguish that it was one odd as opposed to...
527280	530520	Yeah, I felt I was getting more on the left than the right for some reason.
530800	536080	Well, in fact, you're all heavily biased towards the right on your reports.
536320	536760	Really?
536820	537480	Very heavily.
537900	539400	Like we reported one.
539620	541640	I would have sworn that I was biased to the left.
541680	544740	You had 12 right and 6 left.
544880	547840	And, Al, you had 10 right and 4 left.
547840	555560	and of the ones you reported, Stu, you had six right and two left, and the rest were either no reports or both eyes.
555720	558120	It was all very heavily biased to right eyes.
558420	559600	That's very surprising.
559880	561020	Well, you know.
561580	571060	While we're talking about that, it seems to me that I would get a flash or a streak or whatever the phenomenon or whatever the shape was
571060	573200	simultaneous with somebody else reporting.
573520	574940	That's exactly the next question.
576100	581700	There were three, from listening to the tapes, three events, and it occurred in cases where
582700	592040	different pairs were involved, which were coincidences, where I think in one case, Ed,
592180	596940	you said flash, and then Al, you said simultaneous with him, I had a flash in the whole right
596940	597280	eye.
597580	603800	Now, my question would be, when it was simultaneous, was it after he began speaking, or was it
604940	608740	his words good enough for you to have been a mark on your flash?
609040	611960	Well, certainly within a fraction of a second, I think it was.
612640	616660	Yeah, the couple of times it happened to me, it was his mark
616660	618400	or whoever's mark it was, was good enough.
621080	624660	Same here. And the next question is, earlier
624660	628540	before the session, when you were describing some of the subjective observations,
629040	632820	you mentioned the halos that you'd seen, that you'd see
632820	634680	a flash followed by a...
634680	636760	We finally got Stu to take his halo off
636760	637300	and put it away.
643440	644700	Excuse me, I'm sorry.
645000	646280	Well, okay. Now the
647680	648820	the after effects,
649040	650820	were they present most of the time?
650840	652820	Did you see, did you have cognizance
652820	654920	of a spike and then
654920	656440	a sort of glow afterwards?
656820	658820	Only on what I call the nova or the supernova.
662860	664800	Is that true for you, too, Stu?
665700	667640	I haven't really noticed the halo effect myself.
669100	672820	I guess I'm not sure what we're calling the halo effect.
672900	675340	You mean a diffused brightness?
675980	678280	No, more like an afterglow halo.
678940	680500	Did I call any of those?
680580	681640	I sure don't remember it.
681680	683160	No, Ed described it.
683240	684960	Yeah, I don't think I saw any of those.
685080	685320	Okay.
686440	688740	And the other question we had was,
689800	692180	do you remember making any observations in lunar orbit?
693500	697820	I know there were no formal periods, but any just informal?
697860	699760	You know, I thought about that on the way back,
699860	707220	and I was so tired that night that I really don't remember seeing any flashes,
707380	708940	but I didn't look for any either.
709460	713520	So I guess the question would be I consciously did not see any,
713660	717820	but I wouldn't take that as a data point.
717940	718560	Okay, that's fine.
718560	730200	And then the final question that I have is, after our formal session, that was on, was it about 191 G.E.T., you then had a sleep period later on.
730260	733500	Do you remember whether you saw any during that sleep period closer in?
733880	736640	It's significant whether you're inside the magnetopole or not.
738180	748180	I don't consciously recall, but I don't really recall that there was any night, except on the lunar surface, that I didn't at some time or another see some.
748560	753820	You definitely didn't see any on the lunar surface? I just, no, I don't remember about the lunar surface.
754280	756340	There was precious little sleep that night anyhow.
757680	761500	Okay, well I have to settle all the questions I had. We need to douse the lights for a minute.
763180	765900	While you're dousing the light, I have one initial question.
766580	769880	Did you get the impression that light flashes could have been
769880	772940	within the cabin or definitely within your eye?
773660	775480	Definitely within the eye. Okay.
777580	782540	I want to get some idea about orientation and length of the streets.
782840	784880	Did you ever see anything like this?
786080	787380	No, I never did.
789920	795100	You used the terminology of 6 o'clock or hours of the clock.
795400	801000	Does that mean, when you say 6 o'clock, to the center, about how long the street is at?
