start	end	text
1340	3720	Secrets, cover-ups, and strange phenomena.
4400	7100	UFOs and ideas that challenge reality itself.
7600	11620	All these mysteries, all this time. Are we ever going to get to the bottom of these?
11980	16800	My name is George Knapp. I dig into news stories that others can't or won't.
16960	21380	I'm Jeremy Korbel, and for some reason, people tell me things they probably shouldn't.
22280	24500	And this is Weaponize.
24500	24900	Weaponize.
28180	29200	George, good to see you.
29340	30020	And you, Jeremy.
30600	31560	This is unexpected.
32540	36440	Well, you know, we've been asked to do a lot of podcasts over the years as guests.
36600	38580	We've been asked to host them as well.
38680	41240	And finally, we decided the time was right and go ahead and do it.
41300	42740	And it's called Weaponize.
42780	44180	Why did you come up with that name?
44280	45480	Why did you come up with that name?
45480	46360	Come on, man.
46420	47460	It's a horrible name.
47780	51160	I mean, you have used that word, that term before, and it works.
51220	53440	I mean, it's a good grabby word, right?
53560	54100	Yeah, yeah.
54500	61780	I mean, you know, everybody hates it when I say it, but it was born from, I said in some interview, my curiosity has been weaponized.
61780	63280	And that just stuck with me.
63340	64500	People were haunting me with it.
64540	65820	So I embraced it.
65940	77040	But I think the point for you and me both is there are things that just keep us up at night, things that we can't put down, like for 35 years studying UFOs, 40 years, whatever you've been doing.
77220	83800	So for me, the title Weaponized is that there are these things that we can't put down that keep us up at night.
84500	88800	And on this show, we're going to cover all the things that do that to us, that excite us.
88820	89680	That was my thinking.
89920	90180	Yeah.
90200	94740	And, you know, we are identified on purpose with the UFO subject.
94820	99060	And we certainly are going to be talking about UFOs and all of its various ramifications.
99060	101660	But that's not all that we're going to cover in this program.
102060	102560	Right, right.
102660	106800	And I want to start there a little bit for people that don't know you.
107060	109960	You know, I mean, the big question, like, who is George Knapp?
110080	112260	How do we find him, you know, sitting here in this seat?
112260	116680	So I know George Knapp as investigative reporter out of Las Vegas, Nevada.
116960	119580	And that was my introduction to looking for you.
119600	121340	It was through UFOs, trying to find you.
121380	125280	So can you give us a few kind of key points for people that don't know you?
125520	128440	I am based in Las Vegas.
128660	133080	I started in 1981 at KLAS-TV as a general assignment reporter.
133380	135580	I then became an anchor, commentator.
135740	140900	In the mid-90s, the station created the I-Team, the investigative unit.
142260	144160	I've been the chief investigative reporter.
144400	147800	And in those years, you know, Las Vegas is the best news town in America.
147860	148780	And I've covered everything.
148960	155020	I've covered the mob, organized crime, the exorcism of all the mobsters, political scandals,
155020	162180	corruption, government officials, celebrities, murders, bikers, fires, every kind of story
162180	164180	you can imagine in this great news town.
164560	168160	But since 1987, I've been known as the UFO reporter.
168360	169860	And, you know, it comes with the territory.
169940	171200	It's my own fault for that.
172260	176820	other story I've done and what other awards I've won. And I've won a lot of them, national awards,
177760	183160	Peabody's, DuPont, Edward R. Murrow, 28 regional Emmys, a bunch of other stuff. But no matter what
183160	189200	story I do, no matter how big it is, I'm the UFO guy. And it's my own fault. Because in 1987,
190400	195220	a guy named John Lear walked into the TV station. And he had a stack of documents,
195360	200600	turned out to be UFO documents. And he dropped them on the desk of my managing editor, my good
202260	208580	my running partner, Ned Day, who was the principal muckraker investigative reporter of his era.
208700	214080	Ned worked with my news director at the time, Robert Stodall, the most important newsman in
214080	219040	probably the modern history of journalism in Nevada. Those guys had a long standing interest
219040	224380	in a place called Area 51. And they had tried to get me interested in it as well. In the mid 1980s,
224380	232080	the U.S. Air Force illegally seized 89,000 acres of land around Area 51. One day it's public land
232260	237100	and then even drive up there. The next day, you'd run into armed guards. It's off limits. Only
237100	242100	months later did they ask for permission. So we all had an idea. Something really interesting was
242100	247200	going on in the desert out there. And Lear had helped Bob and Ned break a really big story
247200	253700	about the existence of a plane that was invisible to radar. Seems preposterous at the time,
253740	258420	but Lear had given information to Ned and Bob. They broke the story before any of the national
258420	264440	news organizations did. So Lear had a certain credibility with those guys. His father, of
264440	270100	course, Bill Lear, had developed the 8-track tape and the Learjet. John had run for public office.
270240	275000	He had flown for the CIA. He was a really interesting guy. Comes in the station with
275000	279400	a stack of documents, tells Ned, this is an even bigger story than the stealth fighter, Ned.
279560	284020	This is going to make your career. It's about the UFO cover-up, biggest story in history.
284020	289700	history. Here's the documentation to prove it. Ned pulls through the documents, takes a look at a
289700	295600	couple of the pages, and then pushes it back at Lear and says, look, I'm not touching this. If
295600	301340	this was true, I'd already know about it. Kind of cocky, like it was in those days. So Lear kind of
301340	305960	dejectedly grabs up his pile. He's walking out of the newsroom. I had been eavesdropping, which I
305960	310920	tend to do. And I said, hey, let me take a look at that. So he left the pile with me. I read through
310920	316620	it. These are documents obtained through FOIA. Prior to the existence of FOIA created in the
317300	323820	1970s, if you asked the FBI or CIA or Pentagon, have you got any documents about UFOs? They'd say,
323860	328500	no, and we're not going to give them to you. And they deny it. After FOIA becomes the law of the
328500	334780	land, thousands of pages of documentation were forced out of the government and into the hands
334780	341420	of UFO investigators and researchers. So that's the primary composition of that pile. I thought,
341460	346560	well, this is really interesting because we all have the same kind of level of interest in UFOs.
346880	349540	I wonder if that's true, but never really dug into it.
349600	353560	Right. But you were not a UFO guy before that. You hadn't spent a lot of time when you were
353560	359820	young thinking about this. You're just, at this point, a news reporter, a new news reporter,
359960	363440	and you're just eavesdropping on your boss. And you hear this and it excites you.
364780	370500	stories in my family that I'll tell someday, which is not today. So I had an interest in it,
370540	374380	but I had no UFO books. I think I might own one that had been given to me as present,
374480	378060	had not done any research. But I started looking at these, I thought, this is really interesting
378060	382080	because the story at the time, as told by our government, is there's nothing to it.
382200	386840	We've investigated it. It's all been explained, Project Blue Book, go on your way, don't worry
386840	391380	about this at all. These documents showed that was a much different picture behind the scenes,
391380	396100	that, in fact, military officials were very concerned about this. They recognize it's a
396100	400860	legitimate issue, that these are not ours. They're not Russians. They're from somewhere else. They
400860	405200	might be extraterrestrial. I thought, great, maybe I'll just dig into this. And at the time,
405240	411580	I produced a little program called On the Record, a half-hour public affairs show. Typically,
411580	415960	I would interview a county commissioner or a city commissioner, something like that. It aired at
415960	419680	six o'clock in the morning on a Saturday or Sunday, very limited audience. I thought,
421380	425980	on the show, see what he does. And I put him on and just wound him up and let him go. And holy
425980	431840	cow, I was blown away. I mean, that's a pretty famous clip now. You got out of nowhere, you got
431840	437440	this guy coming at you, telling you all this shit about UFOs. And I just remember looking at your
437440	442320	face in these original interviews and it was almost like disdain. You're like, you couldn't
442320	446160	believe what he was saying. You're almost like angry about some of what he said because it was
446160	446920	It was so outrageous.
447420	450420	But apparently, you changed your attitude later on.
450500	452060	So what happened after that interview with Lear?
452180	457620	He unleashes this barrage, this incredibly elaborate conspiracy theory, the Lear white
457620	462660	paper that is now known in UFO circles about we've got a secret treaty with aliens and
462660	468120	we allow them to abduct people in exchange for technology and all kinds of cover-up stuff
468120	469120	and assassinations.
469160	470680	And I was blown away.
470780	472800	I thought, well, did I make a mistake in doing this?
472920	474920	But he gets off the show.
476160	481080	thanks, John. That was really interesting. And my phone starts ringing and people start
481760	487400	inquiring, what was that about? Who was that guy? Is this real? And it kept ringing. And I realized,
487520	491360	you know, at the time, well, this, this is of interest to the public here. So I had him on
491360	495620	again. I started reading a little bit more about it. Uh, went up to see Lear. He gave me a bunch
495620	501660	of more documents from his files and I had him on again, uh, some months later. So, so, so you,
501660	504320	You realized the public was interested in this.
504400	506620	You had never had a response like that.
506700	507400	I had no idea.
507620	510140	And then the second time I had him on, the response was even bigger.
510520	515520	That's when it really set in that this topic touches the pulse of the public in a way that
515520	517280	I did not understand before or appreciate.
517600	520400	Had him on a third time with a guy named Bill Cooper.
520500	523220	And we'll talk about that at some point on Weaponized.
523320	528800	Why did it grasp the public imagination at that time, do you think, so severely that
528800	530940	Lear was saying all this stuff about UFOs?
531660	536300	think the public was going crazy for? You know, I didn't understand it at the time. I understand a
536300	541000	lot more now is that this is a fundamental question of whether we are alone in the universe. And
541000	546540	the public really is also motivated by the idea that they've been lied to. I know that that is
546540	551360	what motivated me in the beginning. The idea that these documents show that the government and the
551360	556420	military in particular have a much different opinion about UFOs behind the scenes than the
556420	560520	one that they've been sharing with the public. And it pissed me off that they've been lying to us.
561660	562620	Yeah, these are FOIA documents.
562680	570600	So you got really bit by this when you're seeing the dichotomy between these official documents from our government talking about UFOs and how they told you they were nonsense.
570760	572060	And you're like, fuck this.
572280	572460	Yeah.
572640	574440	So I had them on a third time.
574520	575680	The response was big again.
575780	581680	And in that third show, Lear hints about something that's out there in the Nevada desert.
582280	584560	Reverse engineering of flying saucers.
584620	588400	Alien craft that are being taken apart to figure out how they work.
588520	590080	And I thought, that's a pretty outrageous claim.
591660	595480	of the things that he had told us before that turned out to be true, maybe we should look at
595480	602480	it. And he hinted that he knew a guy who'd been hired to work at a place near Area 51. I didn't
602480	609060	know who this guy was. Six months go by. I'm anchoring the five o'clock news and we have a
609060	613840	five minute live interview segment every day on the news. It was, you know, newsmakers, celebrities.
614820	620840	Our guest of that day canceled at the last minute, maybe an hour and a half before the show.
622660	626380	hey, you know, you told me about your UFO guy who's going to go to work on this base.
627300	628640	Do you think he might talk to me?
628700	631060	I had no idea who Lazar, Bob Lazar was.
631240	633340	I had no idea what had been going on in his life.
633500	636040	But what had been happening was, had unfolded.
636040	639540	It was a very dramatic personal odyssey for him.
639680	644660	And he was afraid, at the time, he was going to be killed because he'd been out there and
644660	646040	had seen this amazing technology.
646600	648160	Would your guy come on the show?
648340	650540	And boom, it was not 30 minutes later.
650540	655840	Lazar, I didn't know his name at the time, was on his way to Lear's house. We set a live unit up
655840	661800	there, set up an interview. And at five o'clock, we let it spill out into people's living rooms
661800	667480	via television. And he told this amazing story. I had no idea what he was going to say, but
667480	671540	he tells this story that there was a secret program that he worked for the U.S. Navy,
671740	677560	that the base was a place called S4 adjacent to Papoose Dry Lake, south of Area 51,
677560	682680	or south of Groom Lake rather, and that built into the side of the mountain were these hangers
682680	687540	and that inside the hangers were nine flying saucers, flying discs, as if we had the variety
687540	692460	of pack and that we were taking them apart to figure out how they work. This is alien technology.
692620	696640	It's not American technology. And wow, just blew everyone away.
696860	701800	And I think you treated it from seeing those historic interviews, because that is how I got
701800	706320	interested in this subject was, we'll talk about that in a little bit, but just hearing you and
707560	712100	But what I noticed, and I still notice now, I look back, you treated it like news.
712340	715680	You didn't like everybody else just say, oh, this is bullshit.
715780	716600	I'm going to make some joke.
716840	719060	You said, okay, thank you for being here.
719080	719920	Thanks for reporting in.
720060	720740	He was in silhouette.
721080	725140	But the way you treated it made us think, wait a second, let's look at this guy.
725220	727480	Now, you didn't believe Lazar right off the bat.
727640	728500	No, no, no, no.
728540	729240	I thought it was outrageous.
729420	733960	But I thought, you know, Lear has led us down this road, and some of what he's told us has
733960	734720	turned out to be true.
734720	738060	And this guy, Lazar, whoever he was, sounded pretty credible.
738200	742460	We asked him some pointed questions about his background and who he worked for and how
742460	744940	it operated and how they're able to keep this a secret.
745100	746100	And he had good answers.
746200	748220	And it didn't seem like he was making it up.
