start	end	text
1120	5800	The very first case that they investigated was the Tic Tac.
6420	11620	The person, we can now say, the person who got that assignment was a guy named Jay Stratton.
12220	15160	The key to that hearing was a guy named Dave Fravor.
15300	19820	Now we've known Dave Fravor for a long time. We knew him before we could talk about him.
19920	27800	He oozes credibility. Surveillance of journalists and, you know, phones being listened to and things of that sort,
27800	30580	which sounds like something out of a movie, but is real.
31040	32600	It's happened to me before,
33460	38460	and I think it's probably happening to a variety of journalists and investigators right now.
38620	42800	And when that comes out, and it should come out, somebody should go to jail for it.
42940	47180	I heard one estimate of 40 whistleblowers or thereabouts in the wings ready to go.
47860	52820	What kind of state of readiness do you believe tonight those people are in?
54140	55700	Armed to the teeth.
57140	57660	Wow.
61100	67260	secrets cover-ups and strange phenomena ufos and ideas that challenge reality itself
67260	71800	all these mysteries all this time are we ever going to get to the bottom of these
71800	78040	my name is george knapp i dig into news stories that others can't or won't i'm jeremy corbell
78040	84740	and for some reason people tell me things they probably shouldn't and this is weapon weapon
90040	93800	This is Weaponized. I'm George Knapp, joined by Jeremy Corbell.
93960	98000	Jeremy, are you having stylists come to your house to deal with that beard?
98140	99000	Is that what's happening?
99460	101840	Look, man, the beard is this special thing.
101960	105160	In the morning, wake up, don't jump in the shower.
105260	107500	Just slap your face a bunch and pull your hair down.
107680	108540	That's what I do.
108900	110340	Yeah, that looks good.
110340	119680	Good. See, if you had this just barely stubble gray thing that I've got dealing with, you wouldn't have to worry about having a stylist come to the house and deal with it.
120080	124080	Don't you have a saying from all your years of journalism?
124460	130200	People would echo it in the halls of your network, which was fear the beards.
130300	132580	Yeah, that's true. There's reasons for that.
132920	138220	I thought maybe today we might talk, take a little stroll down memory lane to an extent.
138800	140920	by talking about a really special guy.
141140	145640	You know, the world is still sort of trying to absorb the meaning,
145720	151120	the impact of that congressional hearing held in Washington, D.C. just days ago.
151320	156940	And the three witnesses who appeared have generated reams of media coverage around the world.
157320	159880	Dave Grush, I think, is getting the bulk of that coverage
159880	163040	because of the sensational nature of things that he disclosed.
163180	167960	But for me, the key to that hearing was a guy named Dave Fravor.
168220	172620	And we've known Dave Fravor for a long time. We knew him before we could talk about him.
172880	180260	And I say that to me, the most important guy is him because he oozes credibility. You know,
180300	183860	I know that for a lot of people, they think the story of the Tic Tac, the Nimitz incident
183860	191040	is old news, but it's important to establish a baseline that this phenomena is real. And Dave,
191120	194380	I think, was the most credible guy of that three. And they're all three credible.
194380	205040	The story that he tells about his encounter with an advanced technology from somewhere else is maybe the most important UFO case of all time.
205100	221240	I think he is the most important witness in the most important UFO case of all time, because without Dave and his testimony, without the video of what he saw that was recorded by Commander Underwood, I don't think that this story would have nearly the legs that it does.
221240	229400	New York Times could still have broken a peace in December 2017, but Fravor was central to the credibility of that peace.
229620	237440	He is central to the credibility of the larger narrative of military encounters with unknown objects, UAP.
237740	246560	And I thought that his appearance before Congress was essential to that committee members being convinced that this is really something worth investigating.
247600	268000	Absolutely. So just to be clear to like, so Commander David Fravor is a is a now a longtime friend and a friend of ours. And the thing is, is that we're we just decided probably what was it 30 minutes ago that this is going to be the topic that we thought our audience needs to best remember and hear about.
268000	274000	out. Normally we would have Commander Fravor on here to speak for himself directly. And I'm sure
274000	279400	we will at some point. Again, he's a friend. I mean, he called me a pest on national news in front
