start	end	text
1280	3120	Right, so the goal is oversight.
3280	9020	I mean, what you're fighting for is to find out what the U.S. government is doing with this UAP issue,
9200	12120	with these exploitation programs, which we now know exist.
12500	13460	It's an arrogant bunch.
13800	17940	Some of these folks in Congress, some of them in the Pentagon and other places,
18140	21480	I mean, they pat you on the head and say, well, you really just don't need to know.
21560	23040	I mean, literally, that's what they tell presidents.
23300	27600	And with this new speaker, if it's okay if I can talk a little bit about him.
30760	33160	Secrets, cover-ups, and strange phenomena.
33820	36560	UFOs and ideas that challenge reality itself.
37040	39180	All these mysteries, all this time.
39400	41080	Are we ever going to get to the bottom of these?
41400	42600	My name is George Knapp.
42700	46260	I dig into news stories that others can't or won't.
46420	50840	I'm Jeremy Korbel, and for some reason, people tell me things they probably shouldn't.
51700	54260	And this is Weaponized.
57420	59360	This is Weaponized.
60000	60340	How you doing?
60780	61460	Good, George.
61560	62160	How you doing, man?
62580	63260	I'm dying.
63680	64440	Oh, no.
64540	65200	Tell me more.
65540	69160	Well, I traveled out of the country and I made the mistake of going somewhere without
69160	70860	you as my trusty companion.
71960	72780	I got sick.
73280	74160	I got sick.
74160	74400	Oh, you got sick.
74660	77400	What are they allowing you out of the country for?
77680	78300	Yeah, I know.
78400	80360	It was a mistake all the way around.
80760	81860	It won't happen again.
82300	83760	But anyway, people are wondering about it.
84000	84980	Tell us the curse.
85060	85760	You got to tell us.
85760	87000	Tell us a little bit about the travel curse.
87060	87500	What happened?
87840	89740	Well, I have a travel curse, as you know.
90000	91160	It is documentable.
92000	94320	I do not recommend flying into a hurricane.
94560	95440	I'll just say that.
96880	103400	I recommend that everyone take travel on luggage because if you travel with me, your luggage is going to get lost.
103800	107200	And there's a good chance you'll catch some kind of a Mexican flu as well.
107320	109400	So that's all I'm going to say.
109520	111400	But I don't think this is a vacation.
111780	114240	You were investigating UFO stuff, right?
114360	114840	Yeah, UFO.
115200	116060	This is a UFO trip.
116060	119800	But anyway, I apologize in advance of my voice is bad.
120040	124580	It gets worse through the course of this podcast, as people will learn here soon enough.
124740	127720	I got to figure that Dave Grush's ears are ringing.
127880	129940	A lot of people talking about him this week, right?
130820	132900	Yeah, man, I noticed that.
133240	136720	You know, we haven't this is we took a week off because you were traveling.
