start	end	text
2200	5760	This is not the final episode of Weaponized.
8220	13420	Join us this week for a special bonus episode of Weaponized leading up to the season finale.
13960	16940	Something profound appears to be happening to our planet.
17060	19180	Something related to an alien presence.
19560	21500	The original best evidence changed my life.
21640	27720	The only media institution in the world covering the subject and the most interesting subject in the universe.
30000	33600	We've known about this for decades and it was hidden from you.
33680	35000	Oh my gosh, that's another blow.
35400	37820	There's more than one kind of non-human intelligence.
38340	41580	And we don't even know if they're, we don't want to call them aliens because we don't know where they're from.
45300	48780	It's an easy secret to keep if it's a secret that nobody wants to learn.
49080	55680	Step back in time for an out of this world discussion with Ernest Cline, writer of Ready Player One.
82000	84940	Yes, this is UFOs, the best evidence.
84980	88500	It's the best and most conclusive UFO series of all time.
90000	93340	on VHS because George Knapp made this in, wait, here.
93600	95140	This one is 1994.
95800	97940	The original best evidence changed my life.
98240	101600	And like Jeremy's, like seeing that,
101740	103680	I heard they were showing it in movie theaters.
103820	106160	I heard bootleg, and because why not?
106360	108960	Like it's the only media institution in the world
108960	111860	covering the subject and the most interesting subject
111860	112900	in the universe.
113180	115260	The UFO mystery used to be much simpler.
115460	116320	Lights in the sky.
116580	118140	Now you see them, now you don't.
120000	120840	questions have deepened.
120920	123760	Something profound appears to be happening to our planet,
123860	125940	something related to an alien presence.
126320	128320	Today, the search for UFO evidence
128320	130760	takes us into increasingly bizarre realms.
131100	133240	I live in this small town in Ohio, Ashland,
133360	136340	and we had a little cinema that would get big movies,
136500	138900	but the VCR and video stores
138900	140840	opened up the whole world of cinema to me.
140860	143320	I could suddenly see movies made
143320	145860	all the way back to the 30s,
145860	148440	and the whole library of cinema
148440	149580	and order away for movies,
150000	156500	So even so that was big, big for me was VHS and the discovery of of cinema.
156620	159220	And so getting to make movies is, you know, a dream come true.
159280	162880	On my first book tour, I drove my dream car.
163020	165760	This is this is a version of UFO Cribs with.
166720	170380	Here we go. This is my double glory in garage.
170620	172420	The days was not enough. No.
172640	177700	Well, let me that's the story is I always wanted to own a glory.
177700	183760	I saw one in a science museum in Columbus when I was 13 called COSI, the Center of Science and Industry.
183920	188660	And they had one on display and it was the car of the future back in like 1981 or 82.
189020	192160	And I, that was even before Back to the Future came out.
192240	193600	I saw this car and fell in love with it.
193640	196600	And Back to the Future came out and my favorite, one of my favorite movies of all time.
197420	199580	And then it was, you know, a time machine.
199720	201020	And then I always wanted to own one.
201120	203760	And so when I sold Ready Player One and sold the movie rights to Warner Brothers,
203760	208740	I bought a DeLorean and started transforming it into a time machine.
208920	215100	The time machine in my book is a mashup of these four vehicles that I loved growing up.
215180	226220	The Back to the Future DeLorean, the Ghostbusters Ectomobile, the Jet Car from The Adventures of Buckaroo Banzai, and Kit, the Knight Industries 2000 from Knight Rider.
226220	231020	The protagonist in my book matches all four of these vehicles up and creates Ecto-88,
231800	234000	a combination of all four of them.
234220	239180	And then that's the car that ended up getting featured in the movie when it got made.
239240	240880	They had to take off the Ghostbusters logos.
241080	242500	I don't know if you can see if you lower the door.
243040	244920	This is a 1981 DeLorean.
244980	245820	They only made them two years.
245960	246660	And this is a 1982.
247180	248860	And this one, I...
251300	253540	Let me see if I can get our...
253540	255800	Dude, it's so low to the ground when you get it.
255800	256760	Like, I can't even imagine.
256900	257620	These both drive.
257880	259440	They were so low to the ground.
259860	261200	It was professionally lowered, that one.
261400	261900	It was.
262040	262380	Yeah.
263280	265820	I have a kit scanner here built into the.
266160	267680	So two questions.
267820	271360	One is, do your ghost traps, do they work?
271740	272280	Oh, yeah.
272400	274340	Because my mind is haunted.
274700	275340	I love my outside.
276100	278620	Well, I would like you guys to sign it if you can find a spot.
278740	281620	It's kind of hard if you find a spot in the black area.
283540	290540	to stay here one time because um he he invited he invited us to stay here and we could have we
290540	294140	could have we could have stayed here instead of the hotel well actually i'm going to show you
294140	299260	guys the coolest thing yet yeah you guys ready for this george you're not even gonna believe it
299260	306360	this is so exciting ready are you guys ready oh i didn't get a chance to find out in here but it's
306360	311320	still you know something crazy yeah this is my secret room when i was built so this was an empty
311320	318160	foundation or an old man house when I bought it and I knew I was gonna when I
318160	321020	started a little new house I realized I could extend the foundation and build a
321020	325380	secret room that's all concrete on three sides so this is kind of underground
325380	330640	here and hidden back up against the earth and when we had our big Texas
330640	335660	freeze this is the one room that stayed warm. It was like a safe room? It was like a
335660	340980	safe room and also hidden yeah but also a place to you know hide all my
341320	345960	all the stuff that gives away who I am in case, you know, like an electrician or somebody has to come over and work on the house.
346060	350200	Right. Like all the stuff that like they look around like, are you did you write Ready Player One?
350900	358920	Lose their mind. My second book, Armada, is also deals with UFOs, UAPs and video games.
359880	365180	The idea that the whole video game industry was created to train the population to pilot drones,
366060	371320	drones, aerial drones, and robots to fend off an impending alien invasion that they
371320	372080	now discover.
372320	375920	And that Hollywood and movies have been used to condition people to prepare them for an
375920	376920	alien invasion.
377120	382840	Stuff that when I was writing this book in 2015, I didn't know about the Nimitz incident
382840	383640	or the Tic Tac.
387420	391440	The problem I had when I was researching this book is I had never taken another look at
391440	392900	the UFO subject as an adult.
393660	399660	My initial fascination with it in my 20s gave way to a fascination with cinema.
399760	401080	It was not my primary focus.
402060	405680	I was really interested in writing books and science fiction and making movies.
406200	408880	But then I got interested in the subject again.
409000	410940	It was almost like...
411940	416500	This was like two years this book came out in 2015, two years before the New York Times
416500	417560	article in December.
417560	422980	you know when i found out on military really is like seeing tubes inside of spheres you know
422980	427380	off the coast off both coasts and following them all the way to the gulf when they deploy like it
427380	433720	was uh and reverse engineering ufo craft is something uh that's also in this story that
433720	439460	you know i knew and it was like an apocryphal you know thing like part of the ufo lore that i never
439460	445360	you know i was never going to know whether or not it was real uh and thanks to you guys now uh uh
445360	450500	uh i'm getting to know that it's real i was going to ask you like what you are obsessed
450500	456360	ernie with ufos i mean i'm obsessed with ufos but you're obsessed with ufos so like what was it
456360	462040	i just ufos is like the phenomenon like ufos is not an encompassing thing i'm obsessed with
462040	467260	non-human intelligence yes interacting with humanity and why isn't everyone like holy shit
467260	473640	why it's the biggest story of all time it's one of the big questions why are we here uh you know
475360	479500	and are we alone those are the three big questions and the phenomenon is related to all three of them
479500	486780	like everyone should be interested uh in it so that's the source of my what's what sparked that
486780	491200	in you though because you've been doing science fiction or writing all this and like what sparked
491200	498600	you to be like to this let's go let's go i think it was um you know i had a i remember going
498600	504920	to the library when i was a kid in elementary school and there was a ufo section um and uh i
505360	512880	I checked out every book in that section and my name, I remember seeing my name in the sign out again and again, like, because I wanted to own these books, but I couldn't.
512880	515080	So I would, I was that fascinated with the subject.
