start	end	text
0	2440	So Matt got Schumer on this subway thing,
2580	4480	and Schumer says, look, the people have a right to know.
4600	5700	That's why we're doing this.
5880	7500	You reintroduced your UAPDA.
7880	8640	Yes, I did.
8840	10280	Why? What's the importance of that?
10640	13480	Gotta let people know the truth, whatever it is.
13620	16340	To suggest it might not be just a rock,
16540	18740	it might be an alien craft, that's provocative.
19540	22680	But within the range of, hey, we can speculate what it is,
22700	23560	we don't know yet.
23960	27260	To take it to the next step, it could be hostile.
27300	29780	They could be coming here to kill us and invade Earth.
30000	31500	Where the hell does that come from?
31740	40820	You fought this other case, and you found and got them to release UAP information from a military base about a cylindrical UAP.
40840	42860	I read your article, so tell us all about it.
48000	52980	This is Weaponized. My name is George Knapp, coming to you from the Mojave Desert, Las Vegas.
53060	57180	To be specific, joined by my friend and colleague, Jeremy Korbel. How you doing, Jeremy?
57180	57320	Jeremy?
58380	59400	I'm doing good, man.
59520	60660	You're in the Mojave Desert still.
60680	61300	Is it hot out there?
61360	61760	A little bit.
61940	63120	Yeah, just a little bit.
64160	70160	You remember I was having a conversation like a month ago how I was going to take some time off away from the show and other things?
71000	72420	Let me tell you how that worked out.
73300	76080	My friend Jeremy would not leave me alone the whole month.
76240	85440	And I was ready to blame you for it, but I realized you're acting as an agent for the guy who really is cracking the whip, making us work when we were trying to do other things.
85600	86560	And that's Michael.
87180	88800	Our friend behind the scenes, Michael.
89220	91540	Am I correct in making that assumption?
92620	93120	Oh, yeah.
93180	94680	He's our intergalactic handler.
95040	98920	He's the creative producer and just producer of Weaponize.
98940	100100	We couldn't do this without him.
100140	102040	And he's saying, hey, man, you got to talk about this.
102100	103860	It's like he's excited about everything UFO.
104060	104540	He gets me excited.
104540	106140	Yeah, he's got UFO disease pretty bad.
106320	109740	And it's a good time for it, too, because there's a lot of stuff going on.
109820	115900	I mean, you know, I've had a little bit of time on my hands over the past four weeks trying to keep up with all this stuff.
116020	116440	It's impossible.
117180	131640	Yeah, yeah. So, I mean, this is kind of for me, this is the calm before the storm, because I know in September, all indications are that we're going to have a great hearing with people with close proximity to craft what we call firsthand whistleblowers of a certain category.
132160	139100	We'll see. I'm not in control of exactly who's chosen, but absolutely kind of bringing in nominations to be vetted and that sort of thing.
139200	140420	So that'll happen in September.
140420	146000	September so this month I think a lot of people Congress but also just people in government are
