start	end	text
0	5120	This new infrared video just released by documentary filmmaker Jeremy Corbell showing
5120	11020	what he says was an incident on the USS Jackson. Everybody wants to hear from somebody that was
11020	14900	there but it's hard man it's hard to get people that were there to talk especially if they're
14900	18320	current even though they're not talking for the Navy and they're talking for themselves
18960	24760	but I bet we're feeling lucky today right? I've been on the west coast of San Diego since 2002
24760	26000	2002 is when I joined the Navy.
26160	32400	To my surprise, which is something I've never witnessed, was a light I noticed on the horizon,
32520	38160	but it looked as if it were surfacing out of the water and going up.
38200	41060	They all executed at the same time, leaving.
41560	45620	It's not like three of them left and then one was kind of like a little behind them.
45700	48840	No, they were all in sync at the same time.
48920	50260	This is really, really important.
50420	51560	I want to emphasize this.
51560	58240	In the video, we see two objects and over the course of the 35 seconds of that video,
58500	62440	those two objects stay identically separated.
62600	65920	They're separated by about a half an angle, 0.6 degrees,
66120	69920	and that means they're moving in formation across the sky.
70160	72400	And that is absolutely critical to ruling out planes, right?
72500	76560	Because over 35 seconds, two planes would be going in vastly different directions.
76800	80660	And yet here we have not only corroboration of the eyewitness accounts,
81560	84940	also ruling out distant aircraft, commercial aircraft.
95640	99820	This is Weaponized. I'm George Knapp coming to you from Las Vegas, joined by my friend and
99820	102740	colleague Jeremy Korbel, who is hiding out somewhere. How are you doing, Jeremy?
103260	105400	I'm good, George. It's been a good day. How are you?
105640	109700	It's been a good week. I mean, we were able to share with the world this video
111560	119460	February 2023 involving a U.S. warship, the USS Jackson, and a lot of discussion since the video
119460	126840	came out. People trying to poke holes in it. We fortunately had some conversations and audio clips
126840	132100	from one of the witnesses, one of the key witnesses on board the ship, but people are trying to wonder
132100	139260	who was this guy who shared his thoughts with us, and maybe we need to tell him. Yeah, I think that
139260	143900	that would be exceptional. If we could get somebody who was actually there, who was firsthand witness
143900	148560	to this event series that we were able to obtain footage and put it out of, that would be
148560	152800	exceptional. Everybody wants to hear, everybody wants to hear from somebody that was there. But
152800	156320	it's hard, man. It's hard to get people that were there to talk, especially if they're current,
156740	159340	even though they're not talking for the Navy and they're talking for themselves.
160100	164520	But I bet we're feeling lucky today, right? Well, you've been working this for a while. I mean,
164560	168960	you know, I should give you credit because, you know, it's scary for somebody to come forward.
169260	171360	to agree to have their name and face out there,
171480	176400	to suffer the slings and arrows that inevitably come from going public on this.
176580	183920	But I think you've done a really good job of assuring this witness that he'd be okay if he came forward.
184140	185680	We are careful about that.
185760	187680	I mean, actually, we should tell our audience,
188240	191300	we tried to stop him from using his voice, right?
191420	193400	We thought maybe that wasn't a good idea.
193740	195380	Yeah, look, he's not doing anything wrong.
195620	198780	It's just that he was an observer to what it is we put out.
199260	204200	He knows about it. He was there. And yeah, of course, like, it's just, it's different to put
204200	209240	your face out there. And we did try to, but he's committed, man. He says, no, I know that video.
209280	211760	I know what you're talking about. I want to talk. And I'm really grateful.
212000	217200	And of course, the context, Admiral Tim Galladet appeared at that last congressional hearing,
217420	223080	made statements, shared about his own experiences in the U.S. Navy. The Navy has pushed the ball
223080	228220	down the court, down the field, saying we want transparency. We want reporting. We want less
229260	235200	Here we go. We've got an active duty U.S. Navy guy who is here to tell us what happened on the USS Jackson.
235400	236300	You should introduce him.
236440	240100	All right. So I'll let him introduce himself even. This is Alex.
240740	242220	Alex, great to talk to you.
242300	250580	Can we just start with what was in your decision making to come forward with this, both today, showing your face and your name?
250800	258520	Yeah. So I was alerted by Admiral Tim that you and George Knapp had obtained a video of the ship I was on.
259780	263440	So through Admiral Tim, he got me in contact with you, Jeremy.
263860	267840	And that's why I was able to, you know, kind of talk with you and get to where we are now.
268420	269200	Yeah, that's good.
269240	270400	You were in touch with Admiral Tim.
270440	276040	I know that his testimony in front of Congress inspired you to reach out to a Navy Admiral and say, hey, I was on a ship.
276120	276800	Something happened.
276860	277820	There's footage going around.
278640	282640	And so when George and I obtained that, we often sit on that footage for a long time.
282700	288720	But when Admiral Tim told me there was somebody who was there that would talk to us, I was really excited about that.
289260	292800	So I just want to start with you establishing what is your name?
292820	293840	What is your rank?
293920	295180	Are you currently in the military?
295680	297180	And why are you coming forward now?
297500	298360	Yeah, absolutely.
298520	302200	I am Operations Specialist Senior Chief Alexandra Wiggins.
302560	305720	I've been in the Navy for 23 years and counting.
307100	311260	And I work here in San Diego currently on shore duty.
311660	314140	And yeah, my last command was the USS Jackson.
314240	318340	That's actually my little going away present right there from the Jackson.
319260	321500	And so you're not speaking on behalf of the Navy.
321640	322740	You're speaking on behalf of yourself.
322960	323980	You're not a whistleblower.
324100	325260	You're simply a witness.
325480	330980	And it's like us talking about a common interest, which is UAP UFOs, because you've now seen
330980	333540	one come up out of the water on radar and on thermal.
333800	335240	Yeah, absolutely.
335420	341960	Yeah, I don't I don't view myself as a whistleblower because I associate whistleblowing with, you
341960	346340	know, something that is wrong and the person speaking up against, you know, something or
346340	348240	a system that is doing wrong things.
349260	362220	Nothing was done wrong here. It's just someone who's eyewitness to a video and to an experience that happened that most people on the planet A don't ever see in their lives, but don't have a way of explaining.
363380	370260	So, you know, the Navy has sort of led the charge in trying to reduce the stigma about reporting UFOs, USOs.
370620	373540	The whole government has said, yeah, we're interested in transparency.
373540	378320	transparency. We want people to come forward. We want witnesses, pilots, aviators, whatever,
378480	382660	to come forward. You're one of those guys. You're taking them at their word that you're not going to
382660	389260	get in trouble for reporting to the world what you saw. Yeah, absolutely. Yeah, I, you know,
389300	395340	the Navy knows that I definitely love the organization and everything that it's, you know,
395340	402000	provided for me and everything that I've done with the Navy. Yeah, I really don't see myself
403540	407300	uh, in the position for speaking for the Navy, cause that's not what I'm doing.
407440	412140	Uh, I'm just someone who witnessed something, uh, that was out there again in the video,
412820	418740	uh, that I, I spoke about with Jeremy and Admiral, uh, that, Hey, you know what? I was there.
418800	425140	I want to give you my firsthand and, you know, witness a testimony as to what occurred on that
425140	432320	video and a little bit after that video. Uh, and just here to, to add to anything that helps us
433540	440040	out there. You grew up in Las Vegas. You've had a chance to see 20 plus years of my UFO stories.
440120	445960	I hope I did not twist your mind too much over those years. No, not at all. Yeah, I grew up in
445960	453920	Las Vegas, then went to Cheyenne High School for graduating. And yeah, I've watched you when your
453920	461860	hair was as dark as mine. You had shared with Jeremy the fact that sailors in that area see
463540	469220	Tell us a little bit more about that. When you may have seen your first one, I suspect it's something that we know about.
469820	473640	And and how often it's seen and and how the Navy handles it.
474600	482060	Yeah, absolutely. It's I've been on the West Coast of San Diego since 2002 is when I joined the Navy.
482720	486300	So and I've I've been out of country in between that time.
486340	491920	But however, I've been on the West Coast the majority of my career and off good old San Diego coast.
493540	498180	who as in the being in the Navy, we go out there, we do our mission, we, you know, workups and
498180	503260	things of that nature. And, uh, every now and again, you know, you, we will see satellites,
503400	507200	we will see shooting stars, things of that nature. And then you'll see things that are
507200	513460	very unexplained, like the video, uh, that Jeremy released. So, um, you'll see that more often than
513460	519660	not. And, and I, I have conversations with plenty of sailors, uh, that I work with and have worked
519660	526060	with that we'll see things and it's unexplained. And we see them so often that we just kind of
526060	534520	joke about it. We'll say we can't explain it. I'm a radar operator on board the USS Jackson at the
534520	544600	time of the video in 2023. So the position is called TAC. So we were monitoring the radar
544600	550080	are and that's what we do so if there's things that we can't explain when it comes to the kinematics
550080	556340	of a contact on our screen uh then you know we'll use visual we'll use other sensors like sapphire
556340	562040	we'll you know we'll look out of the bridge wings and see what we can see to identify what's around
562040	569340	us uh and every now and again we will see things that we can't explain and when i say that it's not
569340	574880	Not as if we're seeing things that are a threat to the military, a threat to our ship.
575040	576680	They're just things that we identify.
576860	581420	There's helicopters, there's aircraft that are commercial aircraft all around San Diego,
581460	582580	the coast and things of that nature.
582620	586600	So it's my job on that watch to identify what's what.
586720	590520	And when you can't identify what's what, it makes you kind of skeptical.
590800	593420	And when you say you're not able to identify these things,
593540	595720	meaning they're in the air, in the water, both?
596680	609580	In the air, specifically for my task as the TACCOM, is to ensure the air picture is the way it needs to be in order for us to conduct our operations.
610020	619040	But if there's something that's unexplainable, I'll depend on my team in ICC-1, which is Combat Information Center for an LCS ship.
619040	625280	And I depend on them to kind of help me out and figure out what we're actually witnessing and what we're seeing.
627720	635560	So take us back to this night in February of 2023. What's going on? Where are you? How does this first come to your attention?
637000	651640	So that night, it was an evening into the night watch. We were standing and typical day underway, conducting normal operations off the coast of San Diego.
651640	660520	and there was a time that I witnessed on my radar a few contacts popping up.
660560	663960	It was northeast on the contact on the radar.
664000	665580	The radar is in true.
665900	673140	So northeast-ish looking at the radar and noticed a few things come in and out.
673360	675340	You know, I've been in the Navy for 23 years.
675380	679040	So as an operations specialist, so I know the difference between, you know,
679040	685560	So helicopters, which I'm a helo controller myself with an NEC of helo control.
686760	692600	And knowing the difference between that, commercial navigation radars, which are your typical
692600	695520	comm nav that are going to Hawaii possibly.
695920	697760	And then atmospherics.
697860	702560	So things like clouds, rainstorms, things like that.
702600	706640	You learn over the years to differentiate what's what on your radar.
706640	714040	are. So that night I noticed that I couldn't differentiate what was what at all amongst the
714040	718860	things that I just mentioned. So I decided to go out to the bridge wing just to take a look,
719340	724460	to see. I didn't think it was that far away. I think, you know, it's nighttime, so light travels.
724700	730260	So I figured, you know what, let me just poke outside, see what I can see. And to my surprise,
730360	736180	which is something I've never witnessed, was a light I noticed on the horizon, but it was
736640	742800	It was it looked as if it were surfacing out of the water and going up now seeing lights on the horizon.
742900	745680	Very typical when you're out in the water.
745980	750820	But seeing a light on the horizon going into the air is a different story.
751160	753280	So witnessing that.
754280	756280	I'm not sure of what I'm seeing.
757040	765440	What goes through my head, maybe maybe there's, you know, a military team that's out there conducting flight operations.
766660	770940	Maybe they're helos hovering, something like this, you know, but their lights blink.
771080	778560	I mean, I'm a helo controller, so I know that their lights, their running lights are going to be blinking red, green and pulsating.
778620	783760	So it's like it's going to be a solid light. And that's what I witnessed was a solid light rising from the horizon up.
783840	788620	So went back inside, looked at my radar to just kind of.
789860	797200	kind of match what I'm seeing with my own eyes. Uh, and I didn't really see what I thought I was
797200	802160	going to see. Uh, I only saw one light visually, but then I saw four different contacts on radar.
803300	810160	So seeing those four contacts on radar, I asked our, uh, CSM, I forget what that stands for right
810160	818600	now, but combat systems, uh, I forget the full title, but ask the CSM to take a look on Sapphire
818620	828340	They're in charge of managing Sapphire and moving it around to just look at surface and air contacts around our ship.
828740	835420	So they slew over to the location that I gave them, the direction in which I gave them.
836460	844180	And that's where you see the video cut into play, where you see it slew in into that target to kind of look at it.
844180	862040	And, you know, they're the operators, so they know how to zoom in and kind of see what the profile of the contact that we're looking at to kind of understand, okay, if it were a Comnav radar, which is a typical, you know, airliner, 747, then we're going to say, okay, good to go.
862160	865660	They're, you know, headed off to Hawaii or wherever, anywhere to the west.
866320	870640	But that night, we didn't witness that as shown by the video.
872380	881480	So the sensor is pointed toward land, sort of a northeastern direction? Is that what you're pointing at, you're looking at?
881480	899380	Yes. So it's pointed towards a north, north, northeast direction at the time, based on what that video shows in Sapphire. So we were fairly far away from the coast of San Diego, San Clemente area.
899380	907880	area. So it definitely was not, you know, lights on the horizon from the city, nor did I have
907880	914440	anything as far as helicopters or air traffic that I was detecting at all in that location.
914800	918740	Yeah. Let me drive something home here. So, I mean, you are from our conversations, I know,
918740	924180	like a tactical air controller, you spend your time knowing the flight routes, 360, what's around
924180	929540	around you. These were outside of all of those zones. And I think it's important to kind of
929540	934400	explain that, but also, you know, look, your words, they're going to be twisted. You know,
934400	938780	you said to me, we've talked about this, you know, you said the word horizon a few times,
938840	944380	but I want you to get really clear. Did you see one of these craft come up out of the water
944380	952640	or not out of the water? Absolutely. Absolutely. So when I say that I saw this craft come out of
954180	961800	It's nighttime. So I want to be clear when I say what I saw, I saw a light and it was a decently bright light.
962160	976040	So when you've been on the water as long as I have, you know, the difference between an aircraft carrier's lights, a difference between oilers lights, a fishing, you know, a cargo ship.
976440	981420	It's what we learn when we freshly come into the Navy, especially as an operations specialist.
981420	989620	We have to learn silhouettes. We have to learn lighting structures, things of that nature. It's just part of what our job is being senior enlisted.
991060	1007540	It's it's become part of very basic elementary things that you have to know when doing your job, kind of learning the basics first and then, you know, applying what you experience throughout your time and then kind of coming up with your solution as what you're seeing.
1007540	1023860	So watching this light emerge from the water at a distance and then go into the air with a solid light, no blinking or anything, I've never noticed that and witnessed that ever in my life.
1024420	1038260	That's kind of what triggered me to go back to my instruments, check it out, talk with the watch team and ask them, are you seeing what I'm seeing? Let's use other sensors. Let's use what we got to see what we're witnessing.
1038260	1066040	One thing I do want to add is that when I witnessed that, I wasn't feeling threatened. I didn't think the ship is going to get attacked. And why didn't I think that? Because multiple reasons. I'm not at a different level of ROE. I'm not postured in such a way off the coast of San Diego where we're receiving intel that there's a significant level threat that we need to be at a higher threat level.
1066040	1069980	level none of this is happening right we're off the coast we're doing workups we're you know doing
1069980	1077700	training things of that nature uh so nothing made me think that we need to you know trigger a higher
1077700	1084700	level of of threat warning um i indicated what i saw to the tactical action officer the tao who's
1084700	1091460	in charge of combat information center icc1 and it was just let's do more investigating let's see
1091460	1096680	what we're looking at. And that's why we got SAFIRE to look in that direction and notice what
1096680	1102380	we noticed. The series of events is you're seeing things on your radar that are anomalous or you're
1102380	1107820	not sure about. You go out to kind of investigate with the eyes and you see something come up out
1107820	1113260	of the water and at night it looks like a light, but we're imagining and assuming this is a craft
1113260	1119000	because it went into flight. And then you confirm, I believe, on the radar that there are targets
1119000	1125520	that are unidentified. And that's when you kind of jump onto the thermal signature. You said there
1125520	1131140	were four originally, but then we jump into the video and after close inspection, I think we see
1131140	1137840	two of the four, but then it pops in on one and we're not seeing what we should be seeing. I mean,
1137840	1142120	these aren't like planes that have transponders and flight paths that are known. They don't match
1142120	1146640	up with any angles of anything after we've dissected this, but like, what should we be
1146640	1151940	seeing if it were a normal traditional plane and not like this tic-tac shaped thing great question
1151940	1159480	so i'll i'll answer that question by telling you what actually happened when we were talking with
1159480	1169240	each other after the aircraft left and when i say they left they really left as one unit of
1169240	1177420	of four objects all at the same time. So there's a lot of skeptics out there. I get it. It's,
1177420	1182500	it's, we're not meant to all be the same person and think the same way. And it's no different
1182500	1189280	on board a Navy ship. So on board the ship that night, after all four of those craft left at the
1189280	1195900	same exact time, we had a few people that were on the bridge, different from combat information
1195900	1200600	information center, it's kind of like a curtain that separates us. And, you know, we're just kind
1200600	1205560	of laughing, like, you, like, you witness what you witnessed, you guys understand what you saw.
1206360	1210620	And, you know, the, I believe it was the, the junior officer of the deck was just saying,
1210700	1215880	hey, you know, that was just an aircraft. It was just an aircraft, typical, you know, 747.
1216500	1224960	And I said, sir, did you see wings? Did you see, you know, anything protruding from the craft
1225900	1232520	a silhouette of a typical aircraft. And he was like, yeah, well, it's because we're so far away
1232520	1242400	from the aircraft that it seems to look like a Tic Tac. So I said, okay, sir, got it. I would say
1242400	1250360	maybe 20 seconds pass, 20 seconds pass. And I go back to my radar and I'm just looking around
1250360	1252480	and I tell the CSM, I said,
1252560	1254980	slew over to a certain degree
1254980	1255880	and I forget the degree
1255880	1258680	and he slews over to an air contact
1258680	1260160	that I know is an air contact
1260160	1262200	and I tell him, zoom in.
1262460	1265960	Now, I just mentioned that there's a curtain
1265960	1268120	that separates ICC1 from the bridge,
1268260	1272020	but the bridge has the same monitors that we have.
1272060	1273920	So they can see what we're doing from the bridge
1273920	1276580	and you can change like channels
1276580	1279360	so they can see certain pictures
1280360	1286900	played in ICC1. So they're already displaying the Sapphire camera on one of the multiple monitors
1286900	1293580	on the bridge. So when I tell them to slew over, I say, oh, D, do you see what this air contact
1293580	1300340	looks like? This air contact was maybe five, six nautical miles further than what we witnessed
1300340	1307300	the tic-tacs. And you can clearly see the wings. You can see the propulsion. You can see the
1307300	1311400	the propulsion, like when on a hot summer day, being from Las Vegas, George Knapp, I'm sure you
1311400	1317360	know what that is. You can see that hot propulsion from the aircraft. And I told the JOD, I said,
1317460	1322360	like, what do you have to say now? You know, because it was funny to me that I was able to
1322360	1329680	disprove his skepticism, like within 20 seconds, that what we witnessed was probably an airplane.
1329880	1335760	We were just zoomed in so far that it just looked like a small tic-tac, but disproved like within
1337300	1339680	And he didn't really say anything after that. He just kind of chuckled and laughed.
1340360	1345420	So higher ups knew on the ship, knew this was going on. It's not like you would be expected
1345420	1349640	to file some sort of report or something. They knew it and they said, no, no, it's explainable.
1349940	1356220	No. And I want to be clear on that. The Navy, the ship, you know, I'm not speaking for the Navy.
1356320	1360660	I'm not speaking for the ship. I'm not the commanding officer of the ship. And I don't
