start	end	text
1320	3720	Secrets, cover-ups, and strange phenomena.
4380	7100	UFOs and ideas that challenge reality itself.
7600	9720	All these mysteries, all this time.
9960	11620	Are we ever going to get to the bottom of these?
11960	16800	My name is George Knapp. I dig into news stories that others can't or won't.
16960	21380	I'm Jeremy Korbel, and for some reason, people tell me things they probably shouldn't.
22260	24700	And this is Weaponized.
28500	31420	This is Weaponized. I'm George Knapp. This is Jeremy Corbell.
31660	34420	We are here in the belly of the beast in the heart of Hollywood,
34480	37420	and today we're going to be talking about movies with a special guest.
37800	43160	We are going to be talking about movies, but I am particularly excited to have John Long here
43160	48480	because you guys have known each other for decades, is that correct?
49160	49640	Decades.
49840	50320	Decades.
50320	55040	So if anybody on planet Earth has more dirt on George Knapp,
55200	56520	it's going to be John Long.
56740	59120	So I want to get into how you know each other.
59620	60920	That's why I'm excited.
61340	62680	UFOs, movies, that's cool.
62780	63920	I want to learn a little bit about
63920	64920	what you know about George.
65280	67800	There's plenty of dirt to dig up.
68340	71000	We have a policy of mutually assured destruction.
71760	72320	That's right.
72400	74600	That's the basis of our friendship from over the years.
74860	77300	I thought maybe we'd talk about John and his company
77300	83160	before we get into where the bodies varied. You are the co-founder of a
83160	86940	company called Buddha Jones. It's one of the biggest trailer producers in
87500	91480	Hollywood. You worked on some massive projects, some really interesting
91480	96780	prestige projects. I want to know if you could tell us how you got into writing
96780	101260	trailers and producing trailers, what Buddha Jones does, how big it is, what a
101260	105800	big player it is, and we'll talk about some movies. Well first of all, it's great
107300	114460	And I also want to say that when you look back on this episode and you think, my God, this is a ratings killer.
115060	117020	It's you guys that thought of this idea.
117200	117440	No.
118400	124420	And the other thing, to speak to your point, I mean, I'm not an expert in the stuff you guys do.
124700	125700	I love this show.
125800	126500	I love what you're doing.
126960	136360	But I do think I'm an expert in what I think is the most exotic and mysterious life form on this planet.
137420	138780	And that's George Nath himself.
140200	141760	Yeah, 45 years.
141820	142420	We'll get to that.
142520	143140	He won't brag.
143280	143880	He's like you.
