start	end	text
0	5220	Okay, but the real men in black, are we talking about humans or non-human intelligence?
5440	10600	What is the real men in black compared to just government agents being, you know, interrogating people?
12500	23860	I think there's enough evidence in the literature to indicate that the phenomenon may be associated with some cases of what we call men in black.
24580	25740	But what are they?
28200	34380	secrets cover-ups and strange phenomena ufos and ideas that challenge reality itself
34380	38900	all these mysteries all this time are we ever going to get to the bottom of these
38900	45120	my name is george knapp i dig into news stories that others can't or won't i'm jeremy corbell
45120	51800	and for some reason people tell me things they probably shouldn't and this is weaponized
51800	52140	Weaponize.
54760	56860	All right, you guys, welcome to Weaponize.
56920	58860	We had some technological problems.
58960	63440	I'm going to blame that on George Knapp, but we have a great episode with Dr. James Lekatsky,
63520	70160	Dr. Colm Kelleher, talking about the UFO programs and their new book, which is inside the U.S.
70160	73220	government, Covert UFO Program, Initial Revelations.
73380	75760	So jumping on in with all you all, here we go.
76560	81860	Jim McCaskey, it's so great to have you in column here to talk about OSAP.
81980	87840	For the benefit of our audience that does not understand the difference between OSAP and AATIP,
87900	94140	your new book, Inside the U.S. Government Covert UFO Program Initial Revelations, really draws a distinction.
94400	96420	And it's not bashing AATIP.
96420	100880	It's not going after Lou Elizondo or showing differences.
101180	104140	But there were distinct differences between those two programs.
105760	110740	audience, those who are not aware of what each of those acronyms mean, what the difference was?
111600	122120	Well, the Advanced Aerospace Weapons System Applications Program was basically created
122120	130800	between myself and Senator Reid at the Defense Intelligence Agency. It was a $22 million program.
130800	139220	program. It had the capability of going five years. We completed our objectives in two years.
139680	150600	You might say it was a test of various components of a UFO, UAP, paranormal research program.
150740	159160	Right from the beginning, it included all aspects of both UFOs and the paranormal in relationship to
161000	166180	It was a contract that was put out on the Internet.
166460	169500	It had a quick turnaround because of the funding mechanism.
169800	171580	The first year was $10 million.
172240	174420	The second year was $12 million.
176560	180780	And we gutted out.
180780	192320	We had numerous interested parties who wished to bid on the contract, but following the regulations, it first had to go to small businesses.
192660	200400	Well, the only small business, we found small businesses that were capable of bidding on it, but they chose not to.
201820	213140	Bob Bigelow's BAS created specifically, and that was so important to DIA, specifically to address our needs in this program.
213380	219820	And when I say needs, we used a new method of putting out this request for proposal.
220140	226000	We did not tell the contractor, the bidder, what to do.
226000	234800	we said this is what we wanted achieved how would you do it and that's how this program was created
234800	241580	and had specifically all the right components let me um let me back up a little bit just for
241580	247380	our listeners people that are listening and also just for the visual audience here um dr lakatsky
247380	254520	first of all in december 2017 the world learned that there was a ufo study program and that it
256000	261760	for $22 million. They heard that that program was called AATIP. But what you've told us is that,
261780	268460	no, you ran the program, the DIA, for studying UFOs, and it was called AWCEP, Advanced Aerospace
268460	275220	Weapon System Applications Program. So you're talking now about a government study, a UFO
275220	282480	program, studying all the physics and the nature of UFOs up to date. And so you're kind of coming
282480	288060	and forward with these books, with Dr. Kelleher and George Knapp, and you're laying it out for
288060	294080	people. This is what we did. This is how we did it. We don't want it to get messed up. You know,
294080	299180	we want to tell you what happened. It's a big deal. It's a big deal that you're speaking to
299180	306780	us right now as, you know, someone from the DIA who studied UFOs. So I guess the question for me,
306780	319400	For me, very simple, audience kind of might want to know, is that when that came out in December 2017 and didn't see your program named there, I mean, what does that feel like?
319460	322320	Are you doing this because you want to clarify the record to the public?
323040	323600	Exactly.
323640	327700	And we stated that clearly in Skinwalkers at the Pentagon.
327700	329660	We want to clarify the record.
329740	332840	Now we're giving the details of the record.
332840	344820	Now, the thing is, is AATIP, the name itself, I did not create that name, but it was created for a specific reason.
344920	346820	I don't think that's ever been printed.
347780	352540	It was done, yes, in Senator Reid's letter asking for a special access program.
352700	355800	That's been out in the press for, what, five years now.
356860	361360	But where did the need for a different name come from?
362840	371040	took me by surprise when I saw the funding, someone, in other words, the notification of
371040	379300	funding that, yes, DIA was getting this money. It was on a piece of paper that had highly classified
379300	388020	programs listed on the rest of the paper. And someone in Congress put secret on the program
388020	396880	name and its very abbreviated contents that were on that document. I did not want to get
396880	405220	us crossways with any security considerations. I wanted a different name. Now, I believe that
405220	413140	who we called Axelrod or perhaps Luella Zond or perhaps some of their cohorts, and maybe all of
413140	421360	them came up with the name AATIP. That name would have been a great problem for DIA because OSAP
421360	429880	routed the money to the defense warning office of DIA, period. It had to be that name.
430180	437420	So the contract may have been called that too because that's what we put at the open
437420	441020	open solicitation that can still be found on the internet.
443840	448120	And I've repeated in Skinwalkers at the Pentagon, you know,
448120	452360	a concise amount of material as to what we requested.
452820	456340	But that's where the name AATIP came from.
456400	466040	AATIP was something that was necessary to be proceeded with on military cases.
467420	473380	that I was not privy because it was mainly spun up as I was getting ready to retire.
474060	483060	I will say this, though, that when I left, all of our references were electronically,
483960	491400	specifically scanned in electronically at DIA. Now, I can't say what happened in the years since
491400	497620	I retired in 2016, it could have been that they're purged, but they weren't physical records.
497920	506060	So I don't see why there is a problem in people asking for them, except for the fact,
506220	512280	and this is why these books are required. Most of them were proprietary. Remember,
513860	518480	they were monthly reports from the contractor and specialized studies.
519420	531760	They had people's names, contractor names, the facilities that were being bought and constructed.
532600	535140	They had security information.
536140	538060	They had all of this.
538180	545220	And I have already told, I wasn't asked to have these documents cleaned for release.
545220	553460	lease, but the proprietary information is so much, I said preemptively, I wouldn't take on that job.
554360	562920	It's just too much. We're doing it in this manner so the public knows what went on in that program
562920	570340	within the constraints of security. I hope that answers your question because AATIP was a
570340	577880	a specialized small program. It had access, I'm sure, to funds that I also had access to,
577920	585900	but not use on this program, of where we can go out and, let's say, review facilities at DIA.
586280	593660	I used them to review missile contractors, in other words, so I could learn the nuts and bolts.
593660	597080	but money I'm sure was available for AATIP
597080	599560	nowhere near $22 million.
600420	601380	That's really helpful.
601680	603380	So George, we're talking about that,
603420	605120	like how AATIP kept its legs
605120	608600	because it was heroic in an attempt to kind of continue it.
608660	611040	The fact there was money available
611040	612840	wasn't out of the 22 million.
612920	614140	And we're making that clear.
614280	616340	It was misreported in the New York Times.
616780	619960	However, it is nice to know that somehow
619960	623160	how they got any funding to do the work they were doing.
623660	630480	Yes, and I was aware of some of the programs, the cases that they were looking into.
630680	645100	And I can say without going into detail, because it's a classified endeavor, I was fascinated by one of their cases because it was a repeat from the 60s.
645100	656140	And if you go through our databases, you're going to see cases where people claim, wait a minute, I saw the same UFO when I was 20 years younger.
656340	659240	And those cases kind of fascinate me.
659300	661200	How can that be?
661400	664560	At least, are we talking about time machines?
664860	666640	What are we talking about?
666640	674200	out. But you will find that another fascinating point of our huge database is it would be the
674200	680960	equivalent of us going out for a drive in our car. And every car and truck we meet on the road
680960	688480	is of a different design. I mean, to me, that's an interesting insight, because when people make
688480	695660	up charts and we have a nice one of all the configurations of UFOs and those are
695660	701600	main configurations like triangle they're very many variants of triangles
704300	709980	it's like how can this be I mean it's like certainly we're doing things
709980	714060	exactly the opposite in the auto industry every SUV looks like every
714060	722780	other SUV. You have to look at the name badge in order to tell what brand is that. I like it or I
722780	731840	dislike it. But right now, I like them all mainly because they all look like UFOs, totally the
731840	739520	opposite. There's one particular UFO design that gets discussed in the book that you reveal.
739520	742700	and if you blink, you'll miss it.
742820	749900	But it's maybe the most controversial and important piece of information that this book conveys.
750260	756140	You say something at the beginning of Chapter 9 about a craft of unknown origin
756140	759780	that our government finally accessed the inside.
760160	765120	Can you share with us what's in the book, and is there anything else you can add to that?
765120	778560	Well, what's in the book is an exact statement of the event that occurred in the, let's say, in a congressional facility.
780580	788400	There was more to it, considerably more to that discussion about what this situation was.
788400	798880	was. We can't go into that because it's, and when I mean, Colm and I, yes, we know about it.
799280	805520	People are interested in it, I'm quite sure, but security has to trump everything else.
806520	811840	A lot of things can be said. This was, this book, as with Skinwalkers at the Pentagon,
811840	818880	Pentagon, I keep flashing book, basically was reviewed by the Department of Defense
818880	822340	for released and approved the wording that's in it.
822420	823360	The wording.
823540	829000	If we varied that wording, we'd get back, this was a seven month review.
829180	830120	This was quick.
831580	837720	DOD on Skinwalkers at the Pentagon took 14 months to review that book.
839400	840980	and there was
840980	844880	I agreed with all of the changes on both of these books
844880	846780	except for one
846780	850860	I made the fatal mistake of complimenting
850860	853180	the help from a non-DOD
855140	856600	organization and it was
856600	859080	whoa we can't do that we've got to
859080	862080	align that out and so that was
862740	865320	the only thing that was a straight line out
865320	870680	The DOD helped us reward things by their security regulations.
871220	873700	And so you're getting as much as we can say.
873760	874100	Jeremy.
874140	874480	Okay.
874480	875180	Hold on.
875180	875560	Hold on.
875560	875900	Hold on.
875980	881020	So for our audience that's listening, George has dropped an atom bomb because it was dropped in the book.
881140	882340	So audience is just listening.
882460	883640	I'm going to read you something.
883640	888880	beginning of chapter nine, at the conclusion of a 2011 meeting in the Capitol building
888880	895360	with a U.S. senator and an agency undersecretary, Lekatsky, the only one of the book's authors
895360	903040	present, posed a question. But this is where it gets good. He stated, meaning you, Dr. Lekatsky,
903220	909040	that the United States was in possession of a craft of unknown origin and had successfully
909040	917020	gained access to its interior. This craft had a streamlined configuration suitable for aerodynamic
917020	925660	flight, but no intakes, exhaust, wings, or control surfaces. In fact, it appeared not to have an
925660	931840	engine, fuel tanks, or fuel. Now there's a next part, which I'll read in a minute. But what this
931840	937500	is, is you're officially allowed to tell us that the United States government has in its possession
939040	941500	and you were able to access the inside.
941800	942760	Is that correct?
944100	947700	The wording that you read is correct.
948080	950520	Ah, you're going beyond the wording.
950740	951480	No, I'm not.
951540	951780	I'm not.
951820	953660	I'm asking you, did that meeting happen?
954420	955460	And is it true?
955760	956640	And it's true.
957400	959580	Okay, you're telling us,
960200	962560	you told us because you were allowed to tell us
962560	965300	that our government has a UFO in its possession
965300	968060	and has been able to access the inside of it, right?
969500	969860	Yes.
970780	971840	Well, that's what I know.
972480	973980	I was allowed to tell you.
974000	975180	Let me show the back of the book.
975360	976320	This is what I know.
976480	976740	I know.
976840	977500	Hold up.
978060	980080	George, will you translate, George?
980180	980360	All right.
980360	981520	Let's try another tack.
982140	984620	How do we know it's a craft and not a doorstop?
984700	985800	We accessed it.
985840	986660	It has no engine.
986800	988660	It has no wings, no fuel.
989660	991800	It doesn't, we don't know that it travels.
991900	994320	Do we know it's a craft or it's just a rock?
995340	1000320	George, you're going into the further discussion that occurred that day.
1000540	1001260	All right.
1001500	1003460	We can't go there.
1003760	1008600	But let me tell you, we're going to try to cover that in the future.
1008800	1010920	But it's delicate.
1012580	1019960	It makes the technology described in here look primitive.
1020280	1021680	Why is it delicate?
1021680	1026920	Why is this topic that the United States government has a UFO in its possession and we've been reverse engineering it?
1026960	1027860	You've done admitted it.
1028060	1029180	Why is it delicate?
1030880	1032040	The details.
1034180	1035300	I'm old school.
1035600	1036780	I'll use the term.
1036840	1042700	I won't use the term adversary, competitor as the way we describe.
1042700	1052180	We are surrounded, maybe not surrounded, but hopefully not so, by our enemies.
1053180	1057340	And our enemies, you can be sure they're listening to this show right now.
1057500	1061100	You can be sure that they were monitoring OSAP.
1061100	1076280	You can be sure that perhaps they had employees, hopefully not in GIA, but in the contractor part, that was, were giving out information.
1076740	1080980	I am, I know that.
1081940	1087420	So the thing is, is we can't say anything more than what we've been approved to say.
1087420	1096140	and there's insight to this, but I want to shift it just slightly, but it shows my point.
1097620	1102280	Skinwalkers at the Pentagon and Initial Revelations, if I might use the shorter title
1102280	1111740	on this new book, has not what I would call zingers in it, but has some interesting doors
1111740	1115500	that have not been even mentioned.
1115820	1118780	One, why was this program started?
1120740	1123800	Two, why was this program ended?
1123920	1125580	And we've raised this partially
1125580	1127760	in Skinwalkers at the Pentagon.
1128060	1129160	Did it end?
1130680	1134240	Also, we had a chapter in Skinwalkers at the Pentagon
1134240	1137500	where we met with a high-level Brazilian official
1137500	1141180	at a meeting, started introducing some of our cohorts
1142200	1149240	And no one ever asked us, why did you have that meeting? What was so important about that meeting?
1150220	1163800	You know, there's a lot of material in there that as Kit Green, Dr. Kit Green, one of our consultants on the OSAD program said, read between the lines.
1163920	1171120	That applies both to skinwalkers at the Pentagon and initial revelations. Read between the lines.
1171740	1173400	You may come to the wrong conclusions.
1173500	1180560	And I can tell you on the topics I just read, you don't have enough information to come to the correct answers.
1181900	1182300	Okay.
1182320	1183680	So why – sorry.
1183740	1184100	Go ahead, Jeremy.
1184140	1184840	Go ahead, Jeremy.
1185040	1185340	Go ahead.
1185400	1185780	So why?
1185940	1190780	Why did the – you're asking – one big question people should ask is why was the UFO program started?
1191380	1193800	Maybe you can't tell the full story, but give us a hint.
1193900	1195540	Why was the UFO program started?
1195680	1196400	You said that's important.
1198340	1203680	I can't do that without without documenting more and getting approval
1204900	1211080	I mean can I assume you just can't do that I know Jeremy you and I have met previously
1211080	1217980	several times and you you want the bottom line but the bottom line may not let me just give you
1217980	1225860	the bottom line may not be what you anticipate in other words there may be no bottom line there
1226400	1235580	be multiple bottom lines. And we've got a lot of work. You know, if Arrow is going to move forward
1235580	1243540	from this point, they've got a lot more work to do. Why? One of the questions that you posed to us
1243540	1250400	just now was, why was the program started? Okay, you can't answer that. But another question you're
1250400	1256400	saying people should ask is why did you do all the defense intelligence reference documents?
1256760	1261380	So can you answer that? Why did you do all those defense intelligence reference documents?
1261900	1269260	And the answer is no, I can't answer that because that would be an answer that would just
1269260	1272340	floor people. Really?
1272340	1272580	Really?
1272800	1273520	Yes.
1274120	1275940	The real answer.
1276320	1285900	And by the way, I don't know whether there's ever been real criticism, but there kind of has by the nature of some of these topics.
1287720	1300040	We solicited the input for the topics for the 38 papers from Air Force Intelligence, CIA, Naval Intelligence, and Ground Intelligence.
1300040	1310640	intelligence, those are the topics they chose to do, but they were completely legitimate at the
1310640	1316760	time. And by the way, they're pretty close to state of the art right now. Okay, so that's one
1316760	1326500	thing I would like to say about the timeliness of our program or the timelessness. If this program
