start	end	text
0	4000	This is the biggest government secret of all time.
4120	6240	It dwarfs the Manhattan Project.
7180	9920	Presidents have not been let in on the secret.
10300	13820	In part two of our interview with former New York Times reporter Ralph Blumenthal...
13820	19000	Explore elements of his psyche under hypnosis, by the way.
19060	23540	And he did realize that there was some kind of paranormal world out there that he couldn't explain.
23960	27880	You go down the rabbit hole, you think you're chasing flying saucers from other planets.
27880	29940	that leads you to other things.
30060	32720	Taken together, these phenomena tell us many things
32720	34360	about ourselves and the universe
34360	36940	that challenge the dominant materialist paradigm.
37420	40080	As we now know, you don't have to believe in...
40080	40640	They exist.
41540	43260	You don't believe in the moon.
43320	44580	You don't believe in the ocean.
45140	46900	They're there, and UFOs are there.
46960	48200	The question is, what are they?
59080	64840	John Mack had a woman on stage reliving her abduction, screaming, and it was at Harvard,
64920	69540	and he didn't care what they thought. And he was kind of surprised when they called him in
69540	74520	and said they were going to investigate him. He actually went in first without a lawyer,
75240	80580	thinking, again, naively, that he would just answer their questions. And his nephew
81320	102260	My nephew told me he actually confronted John and said, you got to be out of your mind. You can't go into a procedure like this without a lawyer. So then John got himself, you know, a wonderful pair of lawyers, including one guy who had broken the priest abuse scandal in Boston.
102260	111380	Boston. So anyway, so he got himself good lawyers, but Harvard was very concerned about
111380	118400	its reputation. They were hearing from alumni that this was very bad for Harvard. It was making
118400	128460	Harvard into a laughingstock. And so they convened this, I call it an inquisition, because they told
128460	133760	told John when they called him in, this is not an inquisition. So being a psychiatrist,
134260	139580	he said, well, why are they using a word that they're not doing? So he fastened on that. And
139580	145600	it was an inquisition. They were inquiring into his finances, into his beliefs. And it was all
145600	157400	secret. And by the way, to this day, Harvard has never laid out the documentation for this
158460	164480	I was able to document it through all the emails and the reports back and forth, which were never made public.
166600	170240	But they called him in for a bunch of sessions.
170320	178000	They called in his colleagues and some colleagues supported him and said he's a very good scientist and he's pursuing this the best way he knows how.
178160	185540	And others were saying this is a crock and John is ridiculous and he's making Harvard into a laughing stock.
185540	205460	So he had, you know, people testifying for him and against him. But so Harvard put this together for, as you said, you know, over a year, two years. And and in the end, they had to conclude that he wasn't really doing anything wrong.
205460	228900	He was a little too enthusiastic, which Mack admitted. Yes, I was. I was a little intemperate. But he went at it in a very rigorous way. He brought together these groups of so-called experiencers, people with stories about abduction, and he interviewed them at length and studied them.
228900	232560	and he did what professors at Harvard are supposed to do,
232640	236260	go into uncharted terrain and look at it.
238280	241360	Harvard, as you said, Harvard had been doing this for ages,
241540	243940	looking into things that were controversial.
246780	248920	But this, they couldn't really stomach.
249840	251760	He rubbed Harvard the wrong way.
252680	255960	He was provocative, and they cracked down on him
255960	258280	until the end when they basically said,
258900	264120	didn't really do anything wrong just stop doing it whatever you did don't do it anymore he said
264120	269140	okay there was a leak right was it sheen who leaked uh the inner workings of this inquisition
269140	277540	and well danny sheehan yeah danny sheehan uh who was one of john's lawyers uh with a distinguished
277540	284300	background really in investigating the clan and around contra uh but he was kind of a loose cannon
284300	294580	Danny, and you know him, I'm sure. And he kind of jumped the gun. What he did was he saw John
294580	304400	being railroaded by Harvard, by the medical school establishment. And he sent out an emergency email
304400	312280	appeal to friends of John and others in the field and said, John is in danger. We got to rally to
312280	316560	to his support. Well, this was supposed to be a secret inquiry. So when that got out,
316660	323980	it became kind of public that John was under investigation. And Harvard said that John
323980	331820	really broke the secrecy of the procedure and, you know, had violated the agreement to keep this,
331880	337020	you know, kind of quiet. So Danny did that and John fired him, basically said,
337020	344860	said, I can't have you doing this. And, you know, he, John respected what Daniel Sheehan had done
344860	352300	for him. He was a very good lawyer and real activist, but he was out of control. So it did
352300	359500	leak out, but the whole investigation didn't leak. I mean, I had the actual reports that the
359500	365340	committee put together and the emails back and forth. That part never saw the light of day,
368340	371740	So, you know, that's really what happened there.
371940	374100	Did the leak help, do you think, in a sense?
374160	380060	I know Dr. Mack was horrified, but did it in fact put Harvard on its heels, didn't it?
381320	387720	Well, yes, I guess it did, because Harvard was counting on the fact that this would remain secret
387720	392240	and they could kind of do whatever they want, you know, hold this inquisition and subdue Mack.
392480	395880	And now suddenly it was going public, which is the worst nightmare.
397640	403860	So I guess you could say it did help Mac, although Mac, as you say, was horrified that this was coming out.
403900	405320	He didn't want to leak it.
405380	406120	He could have leaked it.
406120	407040	He didn't want it to leak.
407180	408580	He wanted to keep it quiet.
411620	422620	But I guess, you know, in a way, it did put a little scare into Harvard that they couldn't get away with the secret inquisition.
425560	425960	Jeremy.
427580	454900	Yeah, I'm just curious. So you've spent so much time working on the John Mack story and seeing it kind of just directly through his eyes. What do you think the implications have been now that he has kind of – he broke the mold back then. He made it something – he was on Oprah Winfrey. He made it kind of pop culture. Do you feel that this is all happening now in the same way? Do you think there's anybody that can pick up where he left off or was he kind of one of a kind?
454900	470080	He was one of a kind. I mean, people have asked me, is there anyone doing what John Mack did? And I find it hard to find anybody like that. I mean, there were Stanton Friedman, there were others certainly who came forward.
470080	478140	but Mack, first of all, he had the, you know, the ability as a psychiatrist to approach this in a
478140	484200	mental way and say, we don't recognize this phenomenon at all. It's something going on that
484200	490700	is totally foreign. He was, plus he had won a Pulitzer Prize writing about Lawrence of Arabia.
490840	498460	So he had, you know, the cred, the academic cred, although he had a lot of jealous academics also
500080	507140	it that he was they won a Pulitzer Prize and they didn't um uh so it's hard to imagine um also
507140	514320	remember this was a little a different world uh now UFO news is coming out of Congress there are
514320	520920	hearings uh you know it's become a mainstream uh subject which it was never then it was always
520920	528640	kind of fringe when when John was uh you know championing it so um uh but it's hard to think of
530080	535200	who's picked that up. By the way, I want to say that to his everlasting regret, John Mack never
535200	545400	saw a UFO. So he, you know, he couldn't speak from experience. And in a way, he realized that
545400	550360	kind of helped him because it was not like he was, you know, talking about something that happened
550360	558940	to him. He was always a little jealous that he hadn't seen a UFO. He had not had an abduction
560260	564320	It would have been great to have him experience it firsthand.
564600	566640	He had some weird experiences, by the way.
571600	578940	He put himself under hypnosis for various, for professional reasons, and he was kind of curious.
579480	586920	And he did explore elements of his psyche under hypnosis, by the way.
586920	591420	And he did realize that there was some kind of paranormal world out there that he couldn't explain.
592840	603120	He always had feelings that his mother, who died when he was eight months old, that he could imagine himself in the womb struggling to be born.
603300	611220	And he was able to tap into this paranormal world to some extent.
611280	612380	But he never saw a UFO.
