start	end	text
0	2180	Right now, I think it's about the data.
2320	6560	And I want this information out and see what people can figure out and find out.
6700	9700	Yeah, folks out there, let us know what you find out.
9800	12840	And if you file a FOIA and get a response, let us know.
12960	16180	If you were on the base at that time two years ago today
16180	18940	and have additional information, we're all ears.
20360	22600	Those are not alumarounds because alumarounds fall.
22780	24580	No, you can see like an outline or something.
24880	27280	Of course, I thought it was flares at first.
27400	29520	A bunch of Marines started coming to me.
30000	31560	to find them within 36 hours.
31880	37040	All the witnesses say they saw a huge triangular shaped craft.
37460	39880	The Marines, they insist they saw a craft.
40300	42500	The internet has dismissed the Marines
42500	45160	and saying this must be flares.
45360	47040	So the truth is in there somewhere.
47360	50360	Is this case a UFO or is it flares and light?
50460	51660	This is an open case.
51920	53400	These are specialists, and that's
53400	54940	why I'm taking this seriously is I'm not
54940	57240	going to dismiss what the reports that come
57240	58940	from the actual people on the ground.
60000	62680	Are you getting people who are contacting you about that?
62720	62740	Oh, yeah.
62740	65820	I'm being blown up right now for more and more people that saw this and say they saw
65820	66760	the body of a craft.
70020	72260	Secrets, cover-ups, and strange phenomena.
73060	75620	UFOs and ideas that challenge reality itself.
76120	78260	All these mysteries, all this time.
78480	80140	Are we ever going to get to the bottom of these?
80500	81660	My name is George Knapp.
81780	85320	I dig into news stories that others can't or won't.
85320	89920	I'm Jeremy Korbel, and for some reason, people tell me things they probably shouldn't.
90880	93320	And this is Weaponized.
98220	102040	This is Weaponized. We're using a different format this week.
102100	103960	Jeremy, I look better when there's no video.
105760	106760	That's great, man.
106960	111920	You know, you've been on camera more since we began the Weaponized podcast
111920	114720	and I think in probably your entire career,
114820	117220	as far as hours wide, is that fair to say?
117400	119940	Yeah, I am the only TV reporter in the country
119940	121280	that doesn't like being on TV.
121520	123560	And the older I get, the less I like it.
123600	124680	But here we are.
125620	126600	So what's going on?
126660	127600	Any news this week?
127660	128300	Anything happening?
128420	129480	Kind of quiet out there, right?
129560	130000	Or not?
130260	134380	Oh yeah, UFO Twitter is super quiet from what I hear.
135200	137420	Finally, people are kind of like sending me stuff
137420	139440	and I'm looking at it.
139440	147020	man, people are pissed. It's like, just got to speak freely right now. You and I
147620	153720	put out a case we couldn't resolve. We were putting it out to get more video, to get more
153720	157980	photos. Without those videos and photos, we wouldn't have anything. We wouldn't have any way
157980	165240	to look farther into this case. But it was like a UFO crime to not have had a case completely
165240	170000	completely solved. But from my perspective, well, first of all, it's not solved yet. And I want to,
170000	174780	you know, provide more information that we have here. There are some great hypotheses that people
174780	181600	have brought forward, but we were putting this case out to get more information. And that worked,
181720	186920	not only from the public, but mainly for me, from military individuals who were actually there.
187960	193840	So we'll recap a little bit for people who may not have heard last week's episode. You know,
195240	202300	shared some information provided to us by U.S. Marines who were at the massive 29 Palms base
202300	208660	for training exercises back in the spring of 2021. The videos, several videos were sent to us and
208660	214740	some photos. And the videos show strange lights in the sky that hovered for approximately 10 minutes,
214920	220100	possibly much longer. Dozens of Marines saw it. Many of them recorded videos or took photos.
220100	226100	photos most of those who have spoken to us directly think it was strange it was out of
226100	231480	the ordinary many say they thought they could make out the shape of a craft a solid object
231480	237960	attached to lights triangular in shape and we you know what sold it for me that it was
237960	243480	interesting is the photos taken with low light features that really do look like they substantiated
243480	249100	triangular form you remember last week in that show where we declared our belief that this is
250300	252560	an emissary from the planet Krondak, right?
252620	253460	Was it you who said that?
253640	254980	Oh yeah, definitely.
255120	257800	If you rewind, I'm definitely saying
257800	260980	that we have a spaceship and everybody should get on board
260980	264400	and go to Joe Rogan's mothership and watch a comedy show.
264580	266840	No, I fucking didn't say that.
267040	269940	And I'm not, I'm also not saying I know what it is.
269980	271840	What I'm saying is you got trained military individuals.
272180	274560	This should be a highly documented case
274560	276460	other than just cell phone imagery.
276880	278700	So here you go, time to investigate.
280100	286580	comes out of it. I was very clear. And I agree with you. This was something that we felt was
286580	291660	worthy of investigation. And we figured doing it this way, we're going to get more information.
292100	296280	I don't think I could do it this way again, because it's so exhausting because we got
296280	302140	so many more people coming forward, videos, photos, interviews, that kind of thing.
302300	308360	So whether this is a prosaic case or not, this is the kind of thing that we were expecting maybe
310100	315980	is look into the experiences of military service people and try to do data analysis,
316020	321620	analyzation. You know, we don't have the full hardware of our military. So we have the media
321620	326940	and we're trying to figure this out. Look, I'm grateful for the public participation,
327520	334580	you know, just in general, obviously some people have agendas and I, and I clearly saw that. I
334580	337920	mean, there, there are some, there are some bullshit things people are saying, cause they
337920	339540	They love to kind of attack.
339800	341740	Really, honestly, they like to attack us.
341900	343020	And that's cool.
343240	344100	That's fine with me.
344140	350240	There's a lot of great public participation, but mainly, again, the Marines and the way
350240	353440	that that started spreading the word, hey, you really can talk to this guy.
354040	356340	George and Jeremy want to really find out the truth for us.
356400	358300	That was really positive so far.
358340	362300	Now, we haven't gotten to that point where I am satisfied, and I don't think you are
362300	366580	either, on what the absolute truth is about this.
367920	374640	through that today, but here's the basics. The basics are that the Marines have been saying that
374640	380300	they believe they saw a craft, that it was not indicative of what anything they've seen before.
380540	387860	And they had some pretty compelling ways to describe that. The internet says, oh, case closed,
388000	394380	it was flares because there is dissent. There's a few things we'll go over. And that is not how I
394380	399180	I feel. I feel like let's find out, let's go deeper, and let's show you. I just want to show
399180	404880	you everything that was said to you and me. Before we dive into specifics, I want to touch
404880	409580	on something you mentioned in passing there a minute or so ago. You know, we've released images
409580	415460	a bunch of times now, both on Weaponized and other kinds of platforms, KLAS-TV, and we kind of become
416040	421160	adept at gaming it out. We know how it's going to play out in UFO world, and this time we decided
421160	425880	I did to sort of use that for our own benefit. We always know that, you know, the one guy is
425880	430280	going to automatically quickly come up with an alternate explanation, anything that sticks.
430400	434760	And we know that there's another guy who will go running to mom at the Pentagon and get her
434760	440360	to issue a statement that debunks the whole thing, sort of. You know, we know that a lot of people
440360	446600	will pound their chest and get all over our cases. But this time we figured we could make use of that
446600	452060	that inevitable sequence of events, and to rely on debunkers, in essence, to help spread the word
452060	458380	far and wide, debunk to your heart's content. In doing so, we have finally been able to hear
458380	463560	from people that we were not able to hear from before. We had worked on this for two years,
463720	468280	and that's not working every single day on one case. It's over a period of time,
468380	472900	talking to witnesses, see if we can find more people to send us information, to give us
472900	477980	interviews, statements on and off the record, and also to send more videos and photos so we can
477980	482500	get a definitive answer about what this thing might have been. So, and this time it worked,
482540	488300	as you said, we got a lot of information. We got a lot of folks to come forward. Some of them
488300	492840	we've already heard from last week. Some we're going to hear from today for the first time.
493380	500180	Yeah. So like the Mojave Triangle UAP, you know, so it's like just unidentified, you know,
500180	504780	At first, if you remember, George, it's like we get one image.
504980	507120	Well, that's not enough to go off of.
507180	515500	So it took those years to start calling around and getting people that could retrieve that footage and give it to us and go on record.
515780	518060	And so then having those multiple angles.
518140	524100	Look, the debunkers would have nothing to do if I didn't get all of these multiple, multiple videos and images.
524360	526460	So it's kind of interesting to me.
526520	529080	But I want to stay positive about it.
530180	538600	grateful for the genuine analysis and interest. And there is power in crowdsourcing. But for me,
538600	544600	it was kind of like, you know, selfishly, I also wanted to kind of make inroads to get a deeper
544600	550500	story, the deeper story here. What is it that we're seeing with the Mojave UAP? You know,
550500	556760	is this just flares? Or did the Marines really see something, you know, that they believe,
556760	562280	believe, you know, most believe, and you'll hear from them, everybody that went on record with me
562280	568980	believes that they saw a craft or that's what they, that's where they are now. And I'm going
568980	572560	over some of the evidence with them, trying to figure that out. But so check it out. Let's
572560	578560	talk about real quick, some of the accusations against us, because it's so sad. If you put
578560	585340	something out and people create fake accusations, then it kind of makes it difficult to bring out
586880	590680	better studied in the future. So let's go through them. So George, first of all,
591420	596660	there's like four major accusations that we hid information that there was a training exercise
597180	602580	out at the base during the time that these Marines were there training. What do you think about that?
602920	607760	Well, that's probably the biggest surprise for me is that reaction to the Mojave Triangle,
607800	612120	the allegation that we somehow tried to pull a fast one. I mean, we hid the fact that they
612120	616400	train at this base and they blow up flares. And why did you do that, Jeremy? I mean,
616760	622060	There's this massive base. It's a thousand square miles. It's gigantic. They train all over the place.
622180	628380	That is the base was created to do training, blow stuff up, shoot off flares and mortars and artillery pieces.
628480	633640	They train there every single day. The Marines we spoke to were there for training.
633780	637060	They told us, you know, do they think we're going to hide this?
637160	641340	By the way, there's there's gambling in Las Vegas and McDonald's serves burgers.
642140	667540	That's right. And look, you know, I'll tell you, I mean, living out in Pioneertown, you know, which is right by 29 Palms, you hear those bombs, you feel bombs going up. There are trainings all the time. There's trainings every day. Whenever there are Marines there, there's trainings. And so, yeah, that was really strange to me. I think that was more of like a personal attack to try to, you know, go at people's credibility reporting the news than anything else.
668160	672780	it's ridiculous if you talk to any of the marines there which i did and you'll hear from some of
672780	679620	them there are trainings all the time they see flares all the time they do live ordinance training
679620	686140	all the time so i think honestly that's just a try to a personal dig to try to get at people's
686140	691420	credibility um our job is is to report the news and to get information out there and if we learn
691420	696520	new stuff we'll report on that i know that when we first saw those videos the first videos we
697540	702960	flares. I mean, we both thought that. And now we know that there was video posted by the Department
702960	708880	of Defense on the same date that shows an array of supposed flares that looks very similar to this
708880	714640	configuration. I think that that is a valid point to be raised. But look, I don't think it's
714640	719680	definitive, regardless of what the critics have said, because we don't know a whole lot about that
719680	725780	video clip, do we? Right. Yeah, that's interesting. Let's dig into that for a second. And a lot of
727540	731380	know, kind of new to me. I don't read social media, but now I've kind of been informed about it.
731400	737640	I see it. That's cool. So there is a training video that is up on a military website and it
737640	745860	shows a compilation of footage and it was filmed at, I think it was range 210. And on the 20th,
745880	751180	there was a training exercise, like there is a bunch of training exercises and it did show five
751180	756100	lights that are, you know, kind of in configuration from flares, but it's, it's an infrared and you
757540	765700	up. However, there's mishmashes of footage on other dates. So we're the only way we could prove
765700	769460	that that is what the Marines saw. And look, they would, they would love to know Marines are
769460	774880	straight shooters, no bullshit. They'd love to know if, if what they saw was some sort of mass
774880	784200	hallucination. So what, what we need to do is get that exact location and make sure that's correct.
784200	789380	and then get the metadata. And if those things were up in the air at the right orientation at
789380	795540	the exact time, case closed. Super cool. But we don't have that information. So we have to get
795540	798700	that. And there's a few ways that we are, you and I are going to be able to get that.
799400	804940	Are we going to mention something about when that video was actually recorded? Because it was posted
804940	810160	on the same date, people assume that it was shot on the same date and it's the same object. Do we
810160	811320	We know much more about that?
811720	816880	Well, it was actually, I think it was posted on the 23rd, and it was talking about an exercise
816880	822520	they did at Range 210 on the 20th, which would have been the same night as the sightings.
822660	824640	The thing is, is we don't know for sure.
824800	829140	And if that's the answer, you know, if that is the answer, that's great.
829220	833340	The only issue I have is that I did a quick look at Range 210.
833820	837720	A buddy of mine named Michael, who's super cool, kind of tipped me off on how I could
837720	838580	look at this better.
840680	842480	Anyway, it's 18 miles away.
843220	849940	So if the range that had these exercises, it's a little fake town they have there.
850020	851300	It was 18 miles away.
851480	858700	So my question is, these Marines, the closest or the farthest, sorry, that they said it
858700	862180	could have been was like four to six miles.
862320	864740	I said, like, give me the absolute farthest.
864800	868360	When you see this thing that looks like it's got a body of a crap, how far could it be?
870400	875520	much closer than what they're saying. But again, maybe it's an optical thing. George, I just don't
875520	881380	know. And the whole point is, is you and I, we, as we get information, we report it, but we don't
881380	887240	parrot stuff when it's just weakly analyzed, right? You have to know for sure. And that's
887240	892340	what we're trying to do. So that was a good one. That was a good one. There was questions about
892340	897640	the number of witnesses that we've talked to. How do we come up with the figure of perhaps 80 Marines
897640	904080	witness this thing? Well, yeah, we know that for sure. So, so over, okay. You're asking me
904080	910060	rhetorically or something. Okay. So check it out. So at Camp Wilson, there were 50 plus,
910100	916280	I have talked to so many of the people that are there and some of them have gone on record.
916800	922100	You know, it's hard. A lot of people don't, if they're still active or they've got super serious
922100	925540	jobs, they don't, they don't want to be, they just want to know the truth. They don't want to be in
925540	932080	the media. So from all accounts and because of who is deployed there, deployed, who is training
932080	938480	there at Camp Wilson alone is 50 plus. They were watching this. And then you have the whole response
938480	945800	that happened after this. So, you know, they say about 50 to 60 five ton carriers, which carry
945800	952000	multiple Marines and then also Humvees. And then you have helicopters and you have planes just
952000	959200	Just tearing, trying, what they say is like trying to see what was going on, what that was, what was there.
959300	967160	There were two more kind of criticisms, George, that my mom reads UFO Twitter and sends me really mean stuff that people say.
967940	969320	So check this out.
970380	974640	People said, like, well, they never debunk cases.
974640	983540	Can you tell me, George, what your daily life has been like for the last 35 years as the go-to guy for news reporting?
983740	985780	Do you ever debunk UFO cases, George?
986460	987580	Every single day.
988240	993760	We don't put out cases that we don't think are legitimate or have at least a question mark around them.
993820	996740	I get videos sent to me every single day.
997960	1000800	Lights in a sea of inky blackness kind of a thing.
1000840	1002040	Something they saw in the backyard.
1002040	1008080	yard, videos of strange objects, things that move really fast. And every single day I try to respond
1008080	1014620	to those. And often it is to explain to people why I don't think it's a legitimate unknown. And they
1014620	1019040	don't like it very much when you tell them that. I try to find a way to gently tell them that their
1019040	1026560	million dollar UFO video has a prosaic explanation. We've had videos sent to you and I, both of us,
1026560	1032880	that show, and by some pretty credible people, that show bugs flying towards a camera, or they
1032880	1038040	show planes, or they show clouds, or things of that sort, prosaic objects. I mean, the starting
1038040	1045040	point in ufology is 90 to 95 percent of all cases are explainable, if you dig into them enough. And
1045040	1050040	this one might be too. But we debunk stuff every day. We just don't put it out for people to take
1050040	1054240	a look at it. It's why we thought this is a legitimate mystery, because of the credibility
1054240	1058140	of the witnesses and because of the videos and the photos that went along.
1058460	1064600	Yeah. So I will use a different word. I don't debunk cases every day. I try to provide
