start	end	text
780	4960	NASA did something fairly incredible. It created a UAP study committee.
5220	6440	Mr. Gold, for five minutes.
6960	10460	For my introduction, I'm currently the Chief Growth Officer at Redwire Space,
10760	13160	and I've had several leadership positions at NASA.
13520	18740	Mike Gold was, for a long time, Bigelow Aerospace's point man in D.C.
18820	22360	He was a lobbyist and is a vice president of Bigelow Aerospace
22360	27020	during the period when Robert Bigelow built these inflatable space habitats.
27020	31080	So NASA has a huge amount of archival information.
31560	38700	We could create an AI or a machine learning program to review those archives for anomalous phenomena.
39340	46340	Redwire, SpaceX, Eclipse, commercial and payload services, missions, companies like iSpace, Intuitive Machines.
46460	52980	As we see all of these companies move out, Blue Origin, their Blue Moon lander, Jeff Bezos, is doing amazing things.
52980	57820	we are going to produce data that I know, I know will impact UAPs.
57840	62940	When it comes to the NASA UAP Independent Study Team, I think there's some misperceptions
62940	65960	relative to what the purpose of the group was.
66360	71780	My colleagues at the UAP Independent Study Team, while I knew that there would be difficulty,
72220	76280	I didn't think they'd be facing threats, like actual threats.
83440	89560	This week's episode of Weaponized features congressional UAP witness and former NASA administrator Mike Gold.
90000	96580	This is Weaponized. We're coming to you from Uncle Jeremy's old country store here, as you can see, out in the middle of nowhere.
97100	101320	It's better than two reporters and two ferns. We've got a fireplace.
101320	105780	In this episode, we're going to talk about space, space and its connection to UAP.
105780	111180	In the fall of 2022, NASA did something fairly incredible.
111240	116360	It created a UAP study committee, which, you know, if you know anything about NASA's history,
116520	121220	traditionally, historically, they've been fairly hostile to the UAP UFO topic.
121420	122740	They don't want to talk about it.
122780	126420	They're not cooperative when there are public information requests, for example.
126760	129840	If there's any statement at all, it's pretty much hostile.
130680	134940	Astronauts get asked about things they may or may not have seen in space, and they always deny it.
135780	140940	certainly been pretty hostile. So it was fairly amazing to see a guy with strong NASA connections
140940	147960	and strong UAP connections be appointed to this commission, this committee, and then to appear at
147960	155740	this UAP hearing in the fall of last year. That's where I first saw and met Mike Gold. It sounds
155740	161060	like you had a run in with him long ago. But I mean, look, so much of that hearing for me, which
161060	162900	which I think people kind of understand my perspective.
163220	166360	It was a positioning of ordained people
166360	168840	that are supposed to represent what's going on.
169080	171640	But then this kind of side, you know, swipe,
171820	174440	there's this guy, Mike, and his son sitting next to me,
174460	176380	really cool kid, proud of his dad.
176480	177620	I'm like, this isn't a setup.
177720	178760	This guy's like actually interested.
179100	181420	So that was my first thing is, who is this guy?
181500	182640	Why is he up there?
182760	184240	Why is he testifying?
184360	185860	Did NASA tell him to testify?
185920	187620	I had all these questions going in my mind
187620	188640	because I don't know the guy.
188640	194880	guy. So that's why I thought it would be so cool to hear from him, because if I didn't know who he
194880	199380	was, other people didn't. Well, I knew his name because of Bigelow Aerospace. Mike Gold was,
199620	206220	for a long time, Bigelow Aerospace's point man in D.C. He was a lobbyist and is a vice president
206220	211780	of Bigelow Aerospace during the period when Robert Bigelow built these inflatable space habitats,
212080	216680	put hundreds of millions of his own dollars into building this amazing plant in Las Vegas.
218700	224820	spacecraft in space. Two of those launches took place from Kazakhstan aboard these former ICBM
224820	230560	missiles that would have carried nuclear weapons that bombed us. The third one, the third spacecraft
230560	236100	is attached to the ISS, the International Space Station. One of the problems in space is there's
236100	242660	not enough space in space, that is, space to work. So this thing was attached to the ISS. It's still
242660	248200	still there now. Bigelow Aerospace built it. Mike Gold was involved in the negotiations with NASA
248200	254440	to make that happen. And he was very much a part of the Bigelow Aerospace adventure for several
254440	260620	years, I think 13 years. He was not so much involved in the UAP aspect of it, though he has,
260680	265440	there's a lot of spill over there. You know, he is obviously somebody who has an interest in the UAP
265440	271500	topic. He was there at this hearing where you were speaking about the importance of studying that.
272660	276160	And its relationship to understanding what else is out there in the universe.
276380	279980	I should have known who he was because you had actually told me all that.
280020	280840	Was it called Beam?
281120	281520	Beam.
281660	284520	Yeah, so you did this original reporting.
284840	286720	You were educating me at the time.
286760	290560	You're like, oh, Bigelow's putting this big attachable onto the International Space Station.
290620	291260	It's called Beam.
