start	end	text
0	1940	In this episode of Weaponized.
2040	5960	It was one of the film crew maybe that went, what the hell is that?
6360	15880	It's interesting to me that in Congress, when asked about our underwater capabilities of reconnaissance, that people would say closed session.
16320	20880	I believe it's the British Army who've been sent out there now to help patrol the perimeter.
20980	24280	They've got police all around the area.
24640	26000	Locals are totally spooked.
26080	27920	Press has shut up about it in this country.
27920	32160	No one's talking about it, despite the M.O.D. being on an emergency footing.
32480	33620	What are you doing in London, Lou?
34460	35820	I don't know, just loving.
37220	43600	You told the truth. I was like, Congress lied, and I'll talk to you more about that later, Lou, but you told the truth.
45460	47740	Secrets, cover-ups, and strange phenomena.
48540	51140	UFOs and ideas that challenge reality itself.
51640	55660	All these mysteries, all this time. Are we ever going to get to the bottom of these?
56260	60860	My name is George Knapp. I dig into news stories that others can't or won't.
60960	65420	I'm Jeremy Corbell, and for some reason, people tell me things they probably shouldn't.
66360	68840	And this is Weaponized.
72620	79640	This is Weaponized. My name is George Knapp. I'm joined by what looks like a WWE star, the masked Avenger of some kind.
79780	80640	Jeremy, is that you?
80640	81660	okay
81660	83400	taking off all masks
83400	84120	today George
84120	84840	do you remember
84840	86240	when we used that mask
86240	87400	I do
87400	87820	yeah
87820	89140	what were we doing
89140	89760	who were we with
89760	90360	what was going on
90360	90840	I miss you
90840	91640	Halloween
91640	92700	Hollywood Bowl
92700	93700	David Gilmour
93700	94700	oh
94700	95560	who's that
95560	96500	who's David Gilmour
96500	96920	Gilmour
96920	97580	he was the
97580	97960	he's the
97960	98960	in my opinion
98960	99380	the best
99380	100920	rock guitarist
100920	101400	in the world
101400	102700	and was the
102700	104180	one of the mainstays
104180	104780	of Pink Floyd
105360	106480	and has continued
106480	107760	to produce great music
107760	108960	after that band
108960	109820	split up
109820	110080	and
110640	111720	It was a terrific event, wasn't it?
112200	118480	Yeah, I've been accused of being musically stunted specifically by you probably 11 years ago.
118660	123000	So you've kind of had me on this journey of like learning about this thing called music, you know.
123360	124360	And, you know, I did.
124460	127220	I was in a band, you know, played the whiskey, the Roxy.
127300	128260	I was a horrible drummer.
128880	130340	My band was called Table 20.
130500	131880	So I know about music.
131940	133500	I'm just like horrible at it, apparently.
134700	136740	You took me to Pink Floyd.
136980	139120	I believe it was on Halloween.
139160	140000	That's factual.
140640	146700	Also, George, it was at the Hollywood Bowl outside with like amazing tickets.
146900	148260	And we went with friends.
148700	149380	Admit it.
149440	151060	Who are your friends?
152260	154800	I'm not sure that anybody wants to be on record for that.
156080	163680	We met up with Ben Schneider, our friend, the singer, songwriter, mainstay of Lord Huron.
163800	164300	Great band.
164580	167340	We've been to see him a bunch of times as often as we can.
167460	170260	And Ben just happened to be in town, not on tour.
170640	176460	night and we reached out to see if he wanted to go with us and uh and damned if he didn't uh didn't
176460	180860	help out quite a bit i mean tickets are not cheap at the hollywood bowl and we had some pretty
180860	187100	decent ones but ben knew the guy who was sort of organizing that whole event and um he reached out
187100	193700	to him and suddenly we're in a box in the middle of the hollywood bowl directly looking at david
193700	195860	gilmore i mean it was it was awesome
201360	207520	man it it was it was so awesome now ben schneider is from lord huron he's been a friend of yours
207520	213200	you played his music on coast to coast am which obviously you know you host a few times a month
213200	220100	but um ben has played the hollywood bull and so it was just so surreal i kept turning to him i was
220100	224860	like dude what is it like to be on this side compared to that side what you know it was really
225860	229920	Um, also Ben, um, we were with other people as well.
230000	233320	And that was kind of fun for me because I don't get to hang out with some really good
233320	234400	friends very often.
234440	238620	And, um, these other people were really good friends.
238800	241020	And so one is Ryan Gall.
241240	245620	So Ben was on Weaponized and people should go watch that Lord Huron Weaponized episode.
246180	252060	But, um, Ryan Gall has never been, but Ryan Gall is a guy I've been in war zones with
252060	253320	on the ground.
253320	257200	I mean, I've known him for more than 20 years with my good friend, Captain Brian, Ryan Gall.
257280	259100	Ryan Gall is a music guy.
259140	262520	He puts on this event, a kind of small event you might have heard of.
262840	267500	He actually produces it in, what's the park in New York, George?
267800	268180	Central Park.
268620	269340	Central Park.
269740	273960	And the festival's called like the Global Citizen Festival or something?
274180	274900	Something like that, yeah.
274980	276440	Global Citizen Alliance, maybe?
276660	277420	I don't know.
277440	278360	It's like Global Citizen.
278380	279280	I think it's a festival.
279600	281000	And he's invited me every year.
281060	281640	They've done it.
281700	283200	And we've done so much together in our lives.
283320	288320	I've never gone, but you see he has these huge artists like Bono and shit.
288500	290460	So I got to go one year.
290560	291440	But that's Ryan Gall.
291560	294640	And he also showed us a jacket, which I stole right off his back.
294740	295620	Do you remember what it was, George?
295920	296620	No, I don't.
296620	296820	No.
296900	297300	Okay.
297360	299540	It said something from John Lennon.
299640	301560	It was like a Beatles thing.
301720	302360	Do you remember about that?
302680	304940	I do, but I don't remember which clip it is.
305980	307760	Something come together or something.
307880	309060	I got the jacket over there.
309380	312640	Anyway, so Ryan, because I hope he comes on Weaponized sometimes.
