start	end	text
1360	3720	Secrets, cover-ups, and strange phenomena.
4420	7120	UFOs and ideas that challenge reality itself.
7560	11640	All these mysteries, all this time. Are we ever going to get to the bottom of these?
11980	16800	My name is George Knapp. I dig into news stories that others can't or won't.
16960	21380	I'm Jeremy Korbel, and for some reason, people tell me things they probably shouldn't.
22300	24800	And this is Weaponized.
28380	30220	This is Weaponized. Welcome back.
30660	33040	Yeah, it is. It is Weaponized again.
33360	38440	Oh my gosh, back by popular, back by unpopular demand.
38680	44000	I thought maybe we might take a walk, a stroll down memory lane.
44160	47620	And we're not talking about memories of millennia ago or decades ago.
47740	54400	Something fairly recent that you and I were involved in that I think is probably about 90% your fault.
54800	56840	10% Joe Rogan's book.
57040	58180	Oh, shit.
58700	59760	Storm 51.
60080	60620	Okay.
61560	63000	Really want to do this right now?
63400	63960	Okay.
65980	67280	Storming Area 51,
68040	71140	where conspiracy theorists think the government has aliens on ice.
71400	74400	It appears the U.S. Air Force is taking these threats seriously.
74680	78120	A Facebook post and a vowed fake designed to get likes
78120	81080	announced a plan to raid the Air Force Base in Nevada
81080	83160	known as Area 51,
84800	90320	of UFO and alien conspiracy theories for decades. More than one million people have signed up.
90380	97520	It's been enough to spook the Air Force. Air Force officials don't want people to trespass
97520	102920	on the base. They are worried some might be killed. Quote, any attempt to illegally access
102920	108480	military installations or military training areas is dangerous. There has been renewed
108480	113480	interest in UFO sightings since it was revealed earlier this year. The military has spent
114800	121280	to research UFOs. It's not clear the 1.1 million Facebook followers who said they are going to
121280	130060	storm Area 51 are real and not Russian bots. First of all, George Knapp, storm Area 51
130060	137300	is your fault and it's Bob Lazar's fault. So I'm going to just step back and, okay,
137360	143080	for our audience, check this out. Everybody should remember there was a big cultural event,
144800	149500	based upon the idea of storming Area 51, which is a horrible idea.
150300	154380	And how that came into being, in my understanding,
154600	158360	was that in 1989, you did an interview with Bob Lazar
158360	164640	and told the world, with Bob, that there were UFOs at Area 51.
165000	168860	So that is really why it got on the radar, from my perspective
168860	173480	and probably popular perspective, that the storm thing happened.
174800	183220	story here, how that occurred. So look, man, people knew that at Area 51, there was this
183220	187400	potential, this idea that Bob Lazar might be telling the truth. And there's reverse engineering
187400	193160	and exploitation of propulsion systems of alien spacecraft. I mean, just wild, right?
193900	199940	So what happens is, and I'm so tired today, so I'm just going to take this easy, okay? It's been a
199940	211200	a long month or so. What happened was, in my perspective, is that I released the film,
211260	218840	Bob Lazar, Area 51, and Flying Saucers. That was the first time, and that was the point of my film,
218960	226400	was to allow people to see that Bob Lazar was a person that makes coffee, has dogs, and a wife,
226400	233240	and is a human being and they can't dehumanize somebody and dismiss what they've said, they
233240	236940	should dismiss what they said based on the evidence of what they said.
237840	243420	So I did the movie, which was not easy to make, and I was very happy and excited.
243620	251140	And I remember coming to you and saying, I think I'm going to make this, I think I'm
251140	253000	going to be able to make this movie.
253000	259840	movie, I need from you, because we've worked on this so much, but I need from you full attention.
261160	269240	I need full clips. I need video. I need background. I need to find out if... I just wanted to know if
269240	274360	Bob was telling the truth, but at this point, it was just, let's see who Bob really is. So I came
274360	280420	to you and I have this picture and it's in your living room. And it's all these images of scenes,
280420	286180	like what I think I should how I should lay this out and thank you because you were like
286180	291680	Check it out, man. You're jumping ahead. You got to go back to the beginning so people can get caught up
291680	295540	So so this is moving towards the storm area 51 thing
295540	302020	Well, the seeds of storm area 51 started as you said in 1989 we did unleash this series about
302880	309620	UFOs the best evidence and the heart of that series was about Bob Lazar his allegations his outrageous stories
310420	313000	outrageous claims about what was hidden out there
313660	314380	in the Nevada desert.
314520	316400	And then they exploded like an atomic bomb.
316800	320420	My fellow journalists, many of whom are still at this,
320600	323740	picking and nitpicking and complaining about it
324340	327440	30-some years later, really hated it.
327680	329260	The public ate it up.
329400	330740	Public couldn't get enough of it.
330820	332380	They wanted more, and I gave them more.
332520	336460	But other reporters felt I was somehow bringing
336460	338580	the profession into disrepute,
340420	345580	their own credibility for taking this stuff seriously, I tried to approach it as just
345580	346420	another news story.
346740	349060	And it was an explosion.
349400	354420	I mean, you know, there had been one or two stories about Area 51 in the years since,
354540	355420	but very few.
355560	360320	I mean, KLAS-TV, a colleague, friend of mine, Richard Urey, had done a series about the
360320	361180	history of the base.
361260	365740	Bob Stodall and Ned Day had done some reporting on it and secret projects out there.
365860	368340	But the public had no idea around the world.
368340	370060	They had no idea that such a place existed.
370300	376040	Once that story about Bob Lazar came out, the whole world beat a path to Area 51's
376040	376260	door.
376480	382040	And although, as I said, journalists gave me the worst time about it and were the most
382040	388020	critical about it, every major news organization in the world beat a path to Area 51's door.
388160	393500	To sit out there to photograph and record on video cameras whatever was flying around,
