start	end	text
0	10320	Former government officials who worked in these investigations programs, supposedly investigations, that explained it all away, discredit witnesses, discourage whistleblowers.
10560	15080	Usually the easiest people to manipulate like that tend to be intellectual elites.
18040	21620	And then that just sort of trickles down to the rest of the population.
21960	27140	Like that Wall Street Journal thing, you know, you didn't need any evidence to debunk it.
27200	29280	You could just read what they wrote and go, that's crazy.
30000	39940	Who would believe that thousands of intelligence operatives were hazed into believing that there were UFO programs?
40420	46580	And they somehow managed to retire without ever being disabused of this prank.
47660	52600	And live their lives in fear of incarceration or death.
52600	60140	Jeff, as a comedian, one thing I know about pranks is they're no good unless you tell the person you pranked.
61140	64400	That crazy Area 51 story was a good one, too.
64500	70260	That was a good prank, is that an Air Force officer handed out some fake UFO photos to a bar owner,
70460	72400	and that's what started that whole story going.
72600	79280	Yeah, and everyone knows the reach that a bar owner in the middle of the desert learns.
79280	87260	I saw them trying to set up the foundation that anybody that comes forward as a whistleblower now can't be trusted because they were just hazed.
87320	88300	That's what I saw.
88560	93320	I'm also curious, how did they go around hazing military officials in every other country on Earth?
93460	93960	Yeah, exactly.
94240	95040	Yeah, Russia.
95600	96340	Yeah, yeah.
96400	96760	Brazil.
96960	97800	Brazil, Chile.
98520	98960	Congress.
99080	100800	I mean, that's what's happening in September.
101020	102740	And there's been a lot of stuff going on.
102760	104240	I've seen little posts here and there.
104680	106920	And I do want to bring up a couple of things.
106920	116220	So first and foremost is Senator Rounds should ask to see Lockheed's Plant B6 complex in Burbank, California, 2300 Empire Avenue.
116360	125180	And then I would like them, you know, maybe he should go ask to see Northrop Grumman's Plant 42 in Palmdale, which is 3520 East Avenue M Street.
125320	127500	I mean, look, the addresses are there.
141900	146440	This is Weaponized. I'm George Knapp, joined by my friend and colleague, Jeremy Korbel.
146600	147340	Jeremy, how you doing?
148000	149080	Pretty good, Matt. How you doing?
149520	153040	Well, good. You can see I'm lounging on the beach in Fiji.
153380	156220	I'm waiting for them to deliver me a Mai Tai.
156740	158460	I told you I was off this month, right?
159200	160460	You did. Here I am.
160780	161680	Yeah, here I am.
161680	163160	You were telling me you were off this month.
164060	166360	Yeah. Yeah, I'm having a great vacation.
166920	170220	doing Weaponized. Fiji looks a lot like my office, doesn't it?
171560	174880	You can get one of those backgrounds, so at least it looks like you're in Fiji.
175060	179040	Yeah, man, look, you know what you signed up for. You made friends with me,
179160	181940	and I'm going to pull you when I can. So here we are.
182600	189540	Just when I think I'm out, you know that line. So a lot of stuff percolating. Going to be a
189540	194280	big September. So we thought we might get together and talk about a couple of things that are going
194280	199320	going on and people we've been talking to sort of in advance of, I think, as you described,
199480	204060	before the storm. What is going on? What do you want to talk about? Yeah, so there's just been
204060	209060	a lot that's been going on. The last time we were kind of doing a, you know, more of the current and
209060	216140	up-to-date episodes, you know, I want to remind people we obtained and released Air Force footage.
216380	222940	It was a passive capture of what they called a disc UAP that is now out into the public. People
224280	232740	analyze it, do FOIA requests, that sort of thing. Again, this is still currently classified as a UAP
232740	238120	and a DISC. And it was just one way for us to show people what our government sees as a UAP.
238260	244820	And then lo and behold, the next week, to remind people, Dustin Slaughter had this huge win. The
244820	251100	journalist Dustin Slaughter, he had done this. He basically sued the United States Air Force and
251100	252780	and sent calm and all these people.
252860	255580	And he's like, give me footage of UAP.
255600	258460	And sure enough, he got the Mosul orb.
258560	260640	And it was exactly like you and I described.
260780	262140	I mean, people said it was a pothole
262140	263100	and all this weird stuff.
263300	266720	But, you know, clearly what we described was correct.
267200	269320	And now the public gets to have it
269320	270660	and gets to analyze it.
270680	272380	And I've seen a lot of analysis on it.
272420	275660	Again, it's defined UAP currently to this day.
275880	278220	And that is why they gave it to Dustin Slaughter
278220	280020	when he asked and sued the government
281100	285160	military film UAP footage. So those things happen, which was kind of neat.
285440	290220	It's great to have a FOIA warrior who is willing to go to the mats. Finally, we got somebody who
290220	294220	knows about FOIA who will go all the way to get this kind of information. It's great, huh?
294320	300700	Yeah. Litigation, man. And you know what? It's the tip of the spear. I do believe that within
301120	306780	about a week, you're going to hear some more success that Dustin Slaughter has had. And it's
306780	311840	just a game of inches, you know, inch by inch. I really think he's doing it right. He's exemplary.
311940	317400	He's helping other people that get kind of stuck in the FOIA process that I've connected him to.
317560	323920	So I'm really looking forward to see what fruits that yields. Yeah, I got a lot of people who
323920	328220	reached out and said, hey, I want to join the effort. And I sent those on to Dustin. I hope
328220	332640	he's putting together a good team who can help him. I know that there are hints of some other
332640	339240	object, a spectacular kind of an incident that is being pursued. How far do you want to go and
339240	344760	describe that? Oh, it's not my position to do it. We'll wait for Dustin to get there. And I'm sure
344760	350120	that we will interview him about it. Again, it's a new piece of evidence that Dustin will go forward
350120	355940	with. So one of our favorite people in the world, you and I, is Dave Foley, an actor, comedian. He's
355940	361460	been around. He was initially pretty skeptical about the UFO topic. And then he kind of came
362640	368720	change things. We got to spend some time with him at that infamous event up near Area 51, Storm 51.
369060	374920	And actually, I've interviewed him on this program before. Longtime listeners of Weaponized
374920	380040	might recall that we interviewed him one time from the set of this TV show where he was wearing
380040	383200	an eyepatch. He was getting made up at the time we talked to him. Remember that one?
383620	385180	I do. It was great. Yeah.
385280	392080	We had a chance to sit down with him up at the Weaponized cabin, way up in the snow level up
392640	398020	a couple of weeks ago. It was right after all the unrest in LA and around the country. A lot
398020	402720	of things were going on. Sat him down to sort of catch up with him, what's going on in his life,
402820	408760	and talk about UFO issues, where his head is on some of the current events, and we recorded.
410460	414500	I think we should play that, and then I want to get back to what's going to happen in September.
414740	419000	So let's play the Foley interview and come back to what's going to happen in September.
419600	426260	This is my good friend and brother, the infamous David Foley, who was a UFO skeptic.
426260	430440	And he talks so much shit about UFOs in his comedy.
430540	432820	He thinks he's funny in his comedy.
432960	437700	That, you know, after he saw one, then I said, you've got to repent.
437880	438460	You've got to repent.
438620	440580	This is part of his repenting process.
441000	443260	Dave Foley, do you have UFO fatigue?
443340	444120	What's going on?
444160	446420	I wrote one anal probe sketch.
446420	455060	sketch in 1990 and you're still paying for it yeah yeah and I yeah and I was not a skeptic
455060	459900	about UFOs I just wasn't as deep as I am now I believe they were real would you say the ball's
459900	465500	deep now uh now oh my god I'm drowning will you will you introduce the actual guest of why we're
465500	472980	filming all the real yeah sorry everybody this is uh Joey Ramone uh uh he's a he's some sort of a
472980	474920	dog. Science is
474920	476780	mystified by what kind, but
476780	478880	this is my dog, Joey. Does Joey
478880	480860	believe that the L.A. riots are
480860	482640	as bad as they say? Well, Joey and I
482640	484380	have been out reporting on the streets
485660	486460	for Instagram,
487280	488860	and we are recovering just
488860	490900	how horribly dangerous it is out there.
491140	492460	On the day we are recording,
492640	494300	L.A. is in flames, am I correct?
494640	496420	It looks like their bomb exploded there.
496600	497520	Yeah, you know, I mean,
497580	500440	a lot of this stuff is going on in my old neighborhood
500440	502240	downtown. I used to live fourth and main,
502980	504100	down the street from City Hall.
504480	506100	And I'm looking at it and I'm going,
506140	508180	I can't recognize that neighborhood.
508480	509380	You're being sarcastic.
509500	510660	Yeah, because when I lived there,
510740	513880	there was not three Waymo cars on fire.
514820	516440	So yeah, it's a disaster.
516620	519540	It's beyond any human understanding.
521500	524180	And I guess I just want to say to the people
524180	526720	who own the company Waymo,
528060	529200	my heart's with you.
530040	534480	So they're lying about this LA situation and they're lying about UFOs?
534600	535780	They're lying about, yeah, yeah.
535860	540440	There's no, yeah, there's like, I said like, man, when the Lakers won the championship,
540680	544940	there was far more damage in downtown Los Angeles than this.
545020	550780	And I've been in pretty much every huge protest in LA going back to the Clinton administration.
551880	558380	I've marched against, when Clinton wanted to bomb Iraq, I went out and marched.
