start	end	text
0	2320	Coming up in this special episode of Weaponized.
2580	5260	Not one witness came to them and told them,
5360	9180	I saw UFOs stashed in a hangar run by a program called Kona Blue,
9340	10840	because the program never existed.
11200	14520	It was a prospective special access program,
14640	17800	and we know some of the people involved with that.
17860	19120	It never got off the ground.
19260	21360	I did know about Jay Sands.
21480	24100	You know, I've talked to him many times back in the day.
24200	26860	It's not something I could personally report on,
26860	32240	because there's, you know, what is the difference between verifiable information and not verifiable information?
35460	37800	Secrets, cover-ups, and strange phenomena.
38500	41200	UFOs and ideas that challenge reality itself.
41540	43820	All these mysteries, all this time.
44040	45700	Are we ever going to get to the bottom of these?
46060	47240	My name is George Knapp.
47340	50900	I dig into news stories that others can't or won't.
51040	55400	I'm Jeremy Korbel, and for some reason, people tell me things they probably shouldn't.
56860	58860	And this is Weaponize.
64120	67680	Highway 93, this looks like the road less traveled.
67760	69940	Sort of it is, but not for us.
70340	74200	Chief photographer Matt Adams, we're headed to Area 51 country.
74280	76560	How many times have you and I made this trip, do you think?
77520	81080	It's got to be over 60 at least.
81160	83700	It might be closing in on 100, though.
83700	89320	And this, our vehicle, the white steed known as Shadowfax, it knows the way without any help, right?
89380	90620	Yeah, I don't even pay attention to it.
93160	94980	Okay, you can see where we are here.
95180	96140	Familiar territory.
97320	100820	Mailbox road, although the mailbox itself is gone.
101980	103500	And what do we have here?
107920	110060	Wait a second, I've seen that before.
116100	118260	Hey, everyone. This is Weaponized.
118300	120940	Jeremy, I'm going to call this the Michael Corleone edition.
121460	124440	Just when I think I'm out, they pull me back in.
124540	126280	You know, we've been crying for a while.
126580	127520	Why are we doing this?
128200	129780	You know, man, I missed you.
129860	132580	You know, there's so much going on in the UFO world.
132780	136240	And, you know, sometimes I like to just step back and kind of look at it.
136280	140920	But you and I have these talks on, like, weekends where we're just going over everything, what we think about it.
140980	142440	I figured, let's record it, man.
143700	146800	We're not in season two yet, but let's talk about it.
147100	151160	You know, I haven't engaged a lot on social media on UFO topic.
151300	156180	Other things may be things that I'm interested in, but I've noticed it's sort of a downward spiral.
156400	163400	People are in kind of bummed out since that Arrow report came out, since Sean Kirkpatrick took a big dump on all things UFO related.
163540	168340	And people are a little bit demoralized and they've lost their their will to go on.
168440	172500	And some of them say they're dropping out and and some have said that they think it's hopeless.
174120	178460	we've seen this before. You and I have talked about this before. There are always peaks and
178460	183680	valleys in this topic. We've been on a roll. You know, the UFO community in general, the topic in
183680	189240	general has been on a roll since 2017, since that New York Times story kicked things off and all the
189240	194860	other things that have come out as a result of that. It's been mostly a peak, but, you know,
194880	201440	this was going to come. It was going to happen that the dark empire strikes back and tries to
201440	206140	to dissuade the public, the media, and Congress from taking this seriously.
206260	207420	And they did a really good job.
207660	212120	I mean, as we talked about, I think, in our last episode, the last one of Weaponized,
212580	214780	this was a body blow, and it was serious.
214940	216280	But it's not a death blow.
216420	218080	It's not the end of everything.
218940	219700	It happens.
220260	227340	So to people who are demoralized and a little bit out of sorts because of what the government
227340	233540	has done in response to all this interest, don't give up. You know, you and I, we were kind of in
