start	end	text
0	9640	The Intercept, a media organization set up to protect whistleblowers, to be a safe haven for whistleblowers, who then adopts a position of pummeling.
9880	16820	They had none of the other side of the coin. Dave was at a low point. He got treatment. He got better.
16820	18560	What are you trying to say with this article?
18700	20640	There is nothing tactile.
20880	22200	There's nothing tangible.
22380	25860	There's nothing valuable other than you trying to smear this person
25860	31340	to discredit their testimony under oath at Congress.
31480	37460	It's kind of a telling thing who this reporter now is hanging with.
37620	39360	You know, birds of a feather.
39460	42560	Good job for those of you that want to slime job him.
42740	44600	However, it's not going to work.
47820	50560	secrets, cover-ups, and strange phenomena.
51200	53940	UFOs and ideas that challenge reality itself.
54420	56560	All these mysteries, all this time.
56800	58480	Are we ever going to get to the bottom of these?
58780	59980	My name is George Knapp.
60080	63640	I dig into news stories that others can't or won't.
63780	65920	I'm Jeremy Korbel, and for some reason,
65960	68220	people tell me things they probably shouldn't.
69080	71360	And this is Weaponize.
71360	71780	Weaponized.
76200	77780	This is Weaponized.
77880	81560	You know, when we launched this project about six months ago, Jeremy,
81640	86100	we had this goofy idea that maybe we'd cover things other than UFOs.
86100	91580	We'd have fun people, creative people, people we respect and like that we wanted to hear from.
91680	95800	And we'd talk about things other than flying saucers and conspiracies and cover-ups.
96480	98960	And the universe has other plans for us.
98960	103040	So, you know, we had other ideas what we'd like to do this week.
103920	104880	History intervened.
104880	107700	So last time our viewers saw us, we were in D.C.
108280	113620	We had just come out of this hearing, a historic event in front of Congress where they heard
113620	119180	direct testimony from three key credible witnesses about astonishing events.
120140	125680	And in the couple of weeks since then, some dramatic things have happened that we need
125680	128260	to talk about regarding our friend Dave Grush.
128960	134900	you bring up to date our audience who may not have covered this or followed this in great detail,
135040	142280	who Dave Rush was and how we know him? Okay. So I'm emotional. I have a headache,
142520	147080	a migraine. Bob was our migraine. So don't ask me anything too hard. Like Rogan asked,
147220	154300	you know, fucking Bob. We had an episode after that, after we got back, and that was about
154300	160960	Commander David Fravor, but now we're going to focus in on David Grush. So with the,
161680	168420	everything said that I got a migraine right now. Here we go. We met David Grush
168420	178040	in Huntsville, Alabama. He came up to you at a bar. It's so funny. Our greatest moments are like,
178100	183480	somebody just comes up to us, had heard about Dave, had not met Dave.
198700	200180	Dave comes up to you.
200200	201560	I happen to be filming.
202020	204980	That moment is caught on camera.
205160	212900	That is the first moment David Grush talked to anybody outside of the intelligence community or government.
214300	215920	has never stepped over a line.
216180	219080	But that moment, I can only imagine what you were experiencing
220160	223180	when he tells you, I'm going to tell something.
224540	225980	It is bombshell.
226720	229660	You don't know me, but we knew about him.
229700	230800	But you don't know me.
231720	233480	I can only imagine what you're thinking.
233800	238340	And I would like to hear that before I proceed to tell the factual events that occurred.
238480	239380	So what were you thinking?
239520	244080	So this is the SCU conference, Scientific Coalition for UAP Studies.
244300	250260	They were formed in Huntsville, Alabama, Rocket City, which is a pretty amazing place.
250440	261120	It's got an amazing concentration of UAP UFO people that fly under the radar, as well as defense contractors, NASA, a lot of high tech stuff there.
261300	269660	So we go to this conference because we had aims to interview somebody else who happens to live in Huntsville.
270080	274180	And we had no idea exactly what was going to happen.
274300	278320	we knew it'd be at the conference and we were told that somebody might show up and introduce
278320	282520	themselves. And the guy who showed up was Dave Grush. And I happened to be sitting there. I think
282520	286860	I must've been drinking iced tea at that bar. And Dave Grush walked up and introduced himself
287360	292660	and started telling me some things. And then we spent more time with him away from that event and
292660	298280	got to know him over the course of the next couple of days. Has Dave Grush ever said anything to you
298280	303320	that was classified? Has he ever said, showed you anything that was classified? Has he ever talked
304300	306680	from what Dobser has allowed him to say.
306760	307920	If people don't know what Dobser is,
308040	309940	it's basically what he has pre-pubbed.
310020	311320	He has been able to say,
311400	312940	this is what I'm going to talk about.
313000	314340	Has he ever, George Knapp,
314500	315920	said to you anything outside of that?
316020	318420	No, he has never crossed a line that I know of.
318600	320820	The things that he did convey to us
320820	322080	were absolutely astonishing.
322460	324340	I mean, gobsmacked is the word for it.
324340	325060	And were they true?
325460	326220	They are true.
326540	327260	They're accurate.
