start	end	text
0	6200	I never expected to see this kind of progress made on this subject ever in my life.
6940	14600	It is undoubted that our government and our intelligence agencies have sequestered UAP or UFO technologies
14600	18620	and have been exploiting them for derivative technologies for decades.
18900	23320	Abizar back in the day, what he said is becoming much more relevant these days.
24660	27140	Secrets, cover-ups, and strange phenomena.
27140	30560	Phenomena UFOs and ideas that challenge reality itself.
30880	33160	All these mysteries all this time.
33380	35060	Are we ever going to get to the bottom of these?
35380	36560	My name is George Knapp.
36680	40240	I dig into news stories that others can't or won't.
40380	41320	I'm Jeremy Corbell.
41500	44800	And for some reason, people tell me things they probably shouldn't.
46200	47920	And this is Weaponized.
52900	54080	This is Weaponized.
54080	54600	Welcome back.
54600	58580	You know, Jeremy, we had a plan to talk about UFO, UAP news.
59240	60820	Unfortunately, there's nothing happening.
60940	62640	So this could be the shortest podcast ever.
63000	64200	Yeah, man, nothing's happening.
64380	65340	What a week.
65460	66820	What a couple of weeks, man.
67000	70620	I mean, this has been really enlightening, I think, for the general public, right?
70680	71440	What a week.
71460	72140	What a month.
72300	73040	What a year.
73080	74180	What, five years?
74320	78660	The last, I mean, we've said it many times that I never expected to see this kind of
78660	82060	progress made on this subject ever in my life.
82060	88900	and the the story is just flipped over completely yeah we we saw members of congress come out
89580	95140	and drop some bombs this past week um you know we've heard some senator gillibrand we've heard
95140	102200	from representatives burchett and gallagher and uh marco rubio stepped up to the plate this week
102200	107380	in an interview on news nation and dropped some absolute bombs so we want to start with that
107380	124620	Yeah, for sure. He absolutely did. So, you know, some of what Senator Rubio said, I think for the general public was like really shocking. Right. This is right after new legislation was kind of proposed, passed bipartisan. You know, it's got some more steps to go before it's signed into law.
124620	130540	law. But some of the things that he said that were so powerful to me was that, first of all,
130580	135460	there are witnesses that came forward of high class. He said very high classification that
136000	140740	don't that are not public yet. These are people you haven't heard from. So these are not the usual
140740	144500	suspects. These are people that are worried about their jobs. They're worried about their
144500	150940	clearances. They're worried about personal safety, he even said, which is which is something you and
150940	154980	and I know about, but it's not something that is real public, is that people are actually worried
154980	159800	about their safety. Members of Congress have stepped up to the plate, have done a great job
