start	end	text
0	2200	In this week's episode of Weaponized.
2340	8380	One of the overwhelming positives, in my view, is confirmation that there is something to hide.
8560	13640	You don't have this kind of opposition in getting Congress people to oppose this legislation
13640	18400	without ever really explaining why they opposed it, unless you've got something to hide.
18580	23920	House Republicans are also attempting to kill another common-sense, bipartisan measure passed by the Senate.
23920	30140	Senate Majority Leader Chuck Schumer making early incredibly inflammatory remarks about House leaders,
30380	36160	calling them out, in essence, by name, and talking about UAP disclosure on the floor of the Senate.
36300	39760	Which I was proud to co-sponsor with Senator Rounds as the lead sponsor,
40000	47180	to increase transparency around what the government does and does not know about unidentified aerial phenomena.
47660	52620	Where is the New York Times? Where is CBS News? Where is the Washington Post?
53920	62460	And I would also mention as well, the DOD cannot deny that the Arrow has in its possession material of unknown origin.
63300	64340	They cannot deny that.
67440	69900	Secrets, cover-ups, and strange phenomena.
70500	73280	UFOs and ideas that challenge reality itself.
73760	75880	All these mysteries, all this time.
76140	77800	Are we ever going to get to the bottom of these?
78140	82980	My name is George Knapp. I dig into news stories that others can't or won't.
83920	90720	bell and for some reason people tell me things they probably shouldn't and this is weapon weapon
90720	98080	this is weaponized coming to you once again from an undisclosed location
98080	103640	that looks like a bordello it's like the movie the shining how many times i say that
103640	108760	yeah man this is a non-disclosed location um you know we're on the road sometimes when we
108760	110160	We are doing our work.
110200	111360	We have to travel for that.
111680	115660	We're excited about everything we're doing, but this is the situation we find ourselves
115660	115940	in.
115980	119860	But we wanted to talk this week with everybody because a lot's been going down.
119940	128460	I've seen all over UFO Twitter, the death of UFO transparency, the death of the legislation
128460	129760	is kind of what everybody's saying.
130040	132920	I feel bad because I don't feel that same way.
133260	137140	And, you know, I'm an eternal optimist, but let's talk about that for a little bit.
138760	145280	people are disappointed because the NDAA, the Schumer Amendment, the various incarnations of
145280	151260	this legislation that would have moved disclosure way down the road, you know, we all had very high
151260	156380	hopes about it. And people are disappointed that the most substantial parts of that legislation
156380	161060	were gutted at the last minute due to opposition from some key players that we will mention.
161300	167080	But I don't think it's a total loss at all. I think it represents a lot of progress in that,
168760	173640	off-camera with some of the people who were involved in that legislation, and their take is,
174280	179420	this would have been impossible. Five years ago, it would never have gotten this far.
179660	185060	Two years ago, it would never have been discussed on the floor by the Senate Majority Leader,
185180	190580	Chuck Schumer, who advocated openly for UAP disclosure and called people out, called out
190580	196800	key members of the House for their opposition to this. So it's moved the goalpost way, way down
198760	203640	just a few years ago, the fact that it was even discussed and got this far is amazing,
203760	209100	given how much opposition there was from the Pentagon, from the intelligence community,
209440	215040	from defense contractors who spread around a lot of money. It's incredible that it was even
215040	222620	possible. Right. So I think people kind of forget. So we had UFO or UAP legislation in the National
222620	227200	National Defense Authorization Act and also in the Intelligence Authorization Act.
227440	231760	What happened was, we call it the Schumer Amendment, but hold up a second.
231880	235660	It's Schumer rounds, Mike rounds, Senator Mike rounds.
235840	238840	I mean, we just got to give credit where credit is due.
239160	244000	This is a dude that has personally championed everything we're reading.
244160	247380	So Schumer is working with him, but he's a co-author on it.
247460	250920	And I'll say behind the scenes has been kicking ass on behalf of UFO transparency.
252620	258720	call it the Schumer-Rounds Amendment. But what it was, was like an additional, very powerful set of
258720	266980	language to try to go against industry and rip this UFO UAP technology out of their hands. That's
266980	272320	what it was trying to do. Now, not all of that language was killed. There are certain things
272320	277720	like imminent domain, which we hear has been excluded from it, but some of it did make it in.
277720	281620	And so there were additional whistleblower protections that were taken out.
281780	287000	However, the whistleblower protections that were already in there are powerful and vital.
287840	289860	A lot of this is symbolic anyway.
290420	294440	When you say, this is what we want, and people say, no, no, no, we don't want to give that,
294940	298060	it's an omission in a sense that, you know, they got some goodies.
298120	298660	They got the goods.
298720	302120	And you've been saying this all along, which is that the closer you get to actually getting
302120	303980	those goodies, the more pushback you're going to get.
303980	307620	We could vilify people, Mike and Mike, et cetera.
307720	308900	We can vilify people.
309180	311540	But I don't know if that's the right path to do.
311640	312340	I'm not sure.
312480	314060	Sure, we know who our enemies are.
314200	319220	But really, we're just seeing this pressure cooker of the whole world looking at UFOs
319220	323140	and being like, this is now language that is being put forward in legislation.
323720	325540	That is huge to me.
325660	331560	So even if we didn't get every detail of what we wanted, we fought super fucking hard to
331560	332800	get as much as we could.
332880	333040	Yeah.
333980	338780	it's really significant that it was proposed in the first place, that the Senate majority leader
338780	345160	and Senator Rounds were out in front trying to get this on. And much was accomplished. As you said,
345240	349380	you know, you smoke out the enemies. That's exactly what we were told is that now we know
349380	354380	where the opposition is. I mean, you could figure the defense contractors who supposedly have this
354380	359760	stuff stashed away in hangars were going to rear their heads. And it appears they did. Now you know
359760	366200	know, who's working with them to oppose this kind of disclosure and who the opposition will be going
366200	370520	forward. That's, that's a major, that's major progress. And a lot of that is, is industry.
370720	375260	We've talked to some folks that said, this is the first time that we are going against industry and
375260	382000	trying to get, you know, this information out and Boyd was their pushback. So, so I understand why
