start	end	text
4860	13900	I'm John Lear. Today is my birthday. I'm 71 years old and everything you think you know is an immaculate deception.
14320	18640	Flying saucers, flying disks, that are out there of extraterrestrial origin.
18900	24340	John Lear, son of the famed aviation pioneer and a world class pilot in his own right.
24340	29840	As many of you may know though, Lear the son is best known for his research into UFOs,
29840	35360	a phenomenon described by some as a worldwide hoax, described by others as the most important
35360	36500	issue of our time.
36720	41460	I was approached by a government theoretical physicist, employed by the government, who
41460	43360	works on the saucers up at Groom Lake.
43500	46800	He has seen the aliens, he is tired of the cover up.
46800	55460	The problem is not only just the fact that there are five to do five and as many as ten different civilizations visiting us
57320	61180	Apparently and this is from the research that I've done at least
61860	63520	90% of them are hostile
65100	70100	Spending time with him. I just wanted to get to know him and try to suss out. What is true?
70280	76620	What is not true really is any of this Bob Lazar madness is any of that true? That's something I wanted to know
76800	83080	All I can tell you is that when you find out the truth a month from now, a year from now, two years from now,
83240	86740	you'll look back and you'll say, my God, the son of a gun was right.
89620	91920	Secrets, cover-ups, and strange phenomena.
92660	95280	UFOs and ideas that challenge reality itself.
95760	99800	All these mysteries, all this time. Are we ever going to get to the bottom of these?
100140	104980	My name is George Knapp. I dig into news stories that others can't or won't.
106800	112900	some reason, people tell me things they probably shouldn't. And this is Weaponized.
116900	121680	Here we are, Weaponized, and today we're going to do a little exercise in time travel of sorts.
121780	126620	We're going to go back through the mists of time to explain the evolution of a guy who became a
126620	132940	major figure in ufology and who was, in essence, the gateway drug for both you and I into UFO world,
132940	140100	John Lear. Yeah, man. I am so excited to do this episode because I spent so many years filming with
140100	146200	him, a movie that never came out. People are so curious about this. So John Lear, the godfather
146200	151680	of conspiracy. He loved hearing that. He loved that title. You bequeathed that to him, right?
151860	158000	Yeah. One time we were doing a talk and he started cracking up with a laugh that only John
158000	162780	John Lear has. I don't know if people know who he is though. So we have to kind of tell people,
162880	167640	explain who he is, who is John Lear. So it's possible to cover him, mention him,
168280	173600	explain his history without necessarily endorsing everything or anything that he said.
173700	180260	One of the most iconic images of John Lear that really, to me, describes his personality is there
180260	186480	he is kicking back on the floor by a couch and he's reading a playboy, but it's upside down.
188000	192920	Remember, Lazar gave that photo to us, I think, to be released after John's passing.
193200	193500	Yeah.
193600	198840	So John Lear had so many, I mean, I didn't give him the term godfather of conspiracy
198840	199400	for nothing.
199540	203360	He was this ominous figure in this world of UFOs.
203520	208540	And some of the stuff he said was just sound absolute lunatic style, right?
209140	212140	However, there were things that he said that ended up being true.
212240	215920	So it's just kind of this guy you got to take in both hands, right and left hand, and try
215920	217800	to figure out the truth about John Lear.
218000	224940	Well, people view him with considerable skepticism today, and that is appropriate because some of the things he said are completely outrageous.
225240	234180	And as we learned over the years, sometimes he would make claims that seemed to be designed to provoke a reaction as opposed to making a cogent argument.
234380	240580	Yeah. Sometimes I think he would tell me stuff just to see if I would buy it, you know, and how far he could take it.
240620	245040	So it was really, you know, with him, it was really sifting, you know, what is true.
245040	246640	It's like mining for gold, man.
246780	248940	You know, you're trying to figure out what is true, what is not true.
249000	251600	And maybe he was doing the same in his life.
251820	256840	Well, I've told the story before on Weaponized and in other interviews how he came into my
256840	262760	world is that in 1987, he walked into the TV station with a stack of UFO documents and
262760	266660	dropped them on the desk of my managing editor, my mentor, Ned Day.
266820	269020	And he said, Ned, this is the biggest story in history.
269100	270060	You got to take a look at this.
270140	271540	It's about the UFO cover up.
271960	272760	Read this.
272820	274480	It'll be the biggest story in your life.
275040	280600	looked at the documents, read a couple of pages. A lot of them were UFO documents squeezed out of
280600	285480	the government through FOIA. He pushes the pile back across the desk and says, this can't be true.
285620	290600	If it was, I'd already know about it. And I was eavesdropping, as I've said before. I said, hey,
290620	295680	John Lear, let me take a look at this stuff. And that was my entry point to the UFO topic.
295980	303040	John had credibility with KLAS, with my boss, Bob Stodall, and with Ned Day because who he was and
305040	309960	father, Bill Lear, had developed the Learjet, the eight-track tape. He was a brilliant man,
310020	316100	an industrialist who was incredibly well-connected in military industrial circles,
316340	324320	had researched anti-gravity technology for a lot of years. And John himself was an incredibly
324320	331900	talented pilot. We both walked around in his study in his home before he passed away a year
331900	335480	or so ago and the photos on the walls are incredible.
335660	337260	What an amazing life he had.
337340	338720	He flew basically everything.
