start	end	text
880	2820	In this week's episode of Weaponized...
3800	8560	This phenomenon, like, we know it's global, but I don't really know if people appreciate just how
8560	12060	much this phenomenon blankets the earth every single day.
12480	16280	The final three episodes of season one of Weaponized begins now.
16500	20420	They've taken our nukes offline, they've done that in Russia and other places in the world.
20660	21160	Oh yeah.
21220	24000	You know, again, we don't know what their time frame is,
24120	27120	what the ultimate goal of this long-term surveillance is.
27120	35100	I hardly ever hear asked by anyone, forget the mainstream, but even in our community, what are they doing?
35700	40740	Are they still abducting people? Answer, yes, they are still abducting people. They are.
43160	45520	Secrets, cover-ups, and strange phenomena.
46200	48900	UFOs and ideas that challenge reality itself.
49340	53440	All these mysteries, all this time. Are we ever going to get to the bottom of these?
53440	58620	My name is George Knapp. I dig into news stories that others can't or won't.
58720	63180	I'm Jeremy Korbel, and for some reason, people tell me things they probably shouldn't.
64120	66440	And this is Weaponize.
71280	76960	Millie, I'm joined by Vanilli. No, Jeremy, of course. We've been away for a couple of weeks, as you might have noticed.
76980	83020	Me slaving away in a salt mine and Jeremy basking away on a beach somewhere drinking pina coladas.
83440	85420	We are back and we have a special guest.
85900	91580	Richard Dolan is a gifted historian who came into the UFO topic, I think because of studies
91580	95160	he was doing about U.S. national security and the Cold War.
95480	100240	And I hope I'm characterizing this correctly, but he kept running into bits and pieces about
100240	104120	the UFO mystery and what looked like attempted cover-ups and secrecy.
104240	110140	You know, when people ask me, as they often do, what UFO books I might recommend, Richard
110140	112560	Dolan's books are always right there at the top of the list.
113440	119200	meticulously researched. It's incisive writing. There's no fluff. Among the many books on my
119200	126480	bookshelf, UFOs in the National Security State, Volume 1, UFOs in the National Security State,
126660	132460	Volume 2, mandatory reading if you're serious about the topic. There's a fun book called UFOs
132460	138500	for the 21st Century Mind, and a really cool one that he co-wrote with our friend Bryce Zabel,
138500	145060	AD after disclosure, imagining an informed imagination of what the day after disclosure
145060	151180	might look like. He is a voice of reason and a wild and wacky topic. Both Jeremiah and I are
151180	155060	big supporters of his work. And Richard, we're just thrilled to have you here on Weaponized.
156020	161040	Thank you so much, George. That was a lovely introduction. And I am equally thrilled to be
161040	166300	on this excellent program that both of you have been just really helping to elevate the
166300	173060	conversation in this field and provide breaking innovative information for people that we need
173060	180160	to hear. So I'm happy to be part of this with you guys. And yeah, I'm super, yeah, I'm super
180160	184980	pumped because like, so look, I'm, you know, when I came into this after you guys, you guys were the
184980	190220	touchstones for me when, you know, when I would saw that the three-part series that you did with
190220	195500	with your books, Rich, Richard, it was like, it was awesome. So kind of coming into it,
195720	200440	you know, I kind of learned from the things that you wrote. I heard you on Coast to Coast.
200600	205860	So over that time, we've developed a friendship and a relationship, and I've really respected the
205860	211640	way that you've approached the topic over the years. This is a very unique time for us to get
211640	217440	together because I've seen now from the trailer, there's a new show coming out. Actually, it's a
217440	226340	a three-night event, a three-part series on Tubi in partnership with TMZ. And it's a really hardcore,
226500	233620	hard-hitting documentary or documentary series. And there you are talking as kind of the historian,
234000	240440	the historic, the Akashic record for the UFO topic. So my experience with you is that as I
240440	245020	was getting into this, I really looked to your work because I felt like you were a straight
245020	251220	cheater with all of it. And so here we are many, many, many years later, and we have this series
251220	256020	coming out that you're highly featured in. And I think for people listening, that's coming out
256020	264480	tonight. So you can go check that out on Tubi. You've said that the US has intact spacecraft.
264920	270280	You said that the government has alien bodies or alien species. Have you seen the spacecraft?
270620	273500	What I personally witnessed myself was very disturbing.
276640	283520	It has been since the inception of the UFO problem, nothing to see here, all of that,
283600	285220	all of that has changed.
285560	290240	A multi-decade UAP crash retrieval and reverse engineering program.
291080	298180	A genuine disclosure of the UAP UFO subject would be the most earth shattering thing imaginable.
298360	301580	It would be the biggest story in history, the biggest story period.
309580	312840	Here was a phenomenon that the government couldn't protect us from.
313000	316740	The greatest superpower the earth has ever known basically admitted there was no way
316740	317620	they could defend themselves.
319780	323240	I don't trust the US government and I'm a United States Congressman.
323580	328200	They told me that I'd kicked a hornet's nest and I needed to get some bodies around me.
331060	335000	This information is the most deeply held secrets in the entire government
335000	337460	And that includes the President of the United States
337460	341680	Do not talk about these things or things will not go well for you
341680	342780	This is like the mafia
342780	344720	Have anyone been murdered?
345000	346840	I have to be careful asking that question
350880	355880	The attacks on you, is there any moment where you've regretted speaking up?
356040	357740	You know, I don't, yeah, regret it
359200	364000	when there's stuff like this that's being hidden from the world populace.
366780	371680	Past the foot of my bed there were two gray non-human beings.
373340	377460	The aerospace defense companies, these are people who understand how to play
377460	381520	high-level chess. Somebody's gonna walk out of one of these labs with this
381520	385540	information and puts it out on the internet before they commit suicide by
385540	388120	by shooting themselves in the back of the head five times.
388380	391240	The footage was captured by our military.
391480	392020	It's in Iraq.
392320	396540	It was treated with just spectacular secrecy.
396740	397820	Just be careful.
397940	399320	Don't step on the wrong toes.
402540	404600	So I've got a still image of something
404600	407280	that I have learned to be called the chandelier UAP.
407620	408980	Does that ring a bell to you?
410260	410980	It does.
411660	413920	Do you think Chuck Schumer
415700	417520	about UAPs and disclosure.
417820	420920	Putting the reputation of the entire Senate at risk
420920	422960	with the upcoming election,
423120	425340	I mean, I don't know how much more one needs.
425780	428720	This subject is a problem.
429000	430540	It's a problem they can't control.
430940	433740	I know for a matter of fact that the UFO topic
433740	437540	is considered more important at a higher level of security
437540	439640	than weapons of mass destruction.
440000	443040	This is potentially world-conquering information,
443040	445860	Information. Technology that can change the course of mankind.
451300	456220	A society that has lived a foundational lie for an entire human lifetime.
456560	457920	I don't know what gets bigger than that.
458060	462540	To keep things secret, people are silenced.
465180	467540	I don't know how better to say that.
470660	475120	I think the cool part about us being together is we talk behind the scenes.
475640	480320	We've kind of followed each other's paths as we go through this.
480440	484480	And we all come to these conclusions of like, what do we think is going on?
484580	486480	And this is such a unique time.
486560	488720	The show is titled UFO Revolution.
488720	494120	revolution and I really do think we're living in a revolutionary time when it comes to acceptance
494120	499560	and confirmation of whatever it is that's going on so it couldn't be better time to have you
499560	507980	I'm super super pumped to have you on man thanks yeah me too absolutely what can we do I think for
507980	513140	our audience with this you know unique opportunity right now to kind of talk before a lot of stuff
513140	519920	is coming out over the next few days, what is it we can do? I was thinking your historical look,
519980	525380	we need a historian, right? We need somebody to say, look, we've been here, we've been here,
525520	529880	but this is a unique moment. So I think I'd love to open with just talking with you about
529880	537180	what do you see is going on right now today that is different than what's been going on for the
537180	543020	the last couple of decades in the, or further in the UFO field, why is it different today
543020	546160	with everything that's happened over the last 12 months?
546460	547240	Yeah, great.
547380	551340	I want, I would like to address that, but I will want to start by when you talk, we
551340	552860	talked about the history just a moment ago.
553440	558340	One thing that people need to know, they need to absolutely know this without any question
558340	566960	is that when we talk about UFO, now UAP, and the Arrow office through the Pentagon,
568320	574300	people need to understand that there has been longstanding United States military interactions
574300	581640	with these UFOs, UAP, since the 1940s at a minimum. Let's just start there. This is absolutely
581640	586860	take-to-the-bank documentary evidence. We're talking dramatic. We're talking, in many cases,
588520	593540	types of encounters that not just the United States military, but really all militaries,
593540	599220	but let's focus on the U.S., have been having throughout its entire history post-World War II.
599840	604260	And so I just think it's very important for people to understand when we get statements from,
605060	610420	you know, whether it's people like Dr. Sean Kirkpatrick or any other representative from
610420	615320	the Pentagon, and when they make statements to the effect that, well, we are going to look into
615320	621220	to these UAP. We will get back to you. I just think people need to understand. They know full
621220	626000	well what's going on. They have known full well what is going on. And if their spokesperson doesn't
626000	631540	know, that doesn't mean that the other elements in the hierarchy don't know. They absolutely
632320	638840	are very much on top of this because this has been a problem for them for full on 80 years.
638980	644200	And a problem that in many cases, I don't think they really know fully how to deal with because
645320	649840	Well, these objects do have very superior capabilities, superior technology.
650100	660740	They have been, if you want to get technical, they've been violating sensitive national security, airspace, and let's say water space and space for a long time.
660840	666300	And the U.S. military has limited resources to be able to deal with it, in my view.
666540	669000	And so that's that's problem number one.
669040	671100	Now, you ask what's different about today?
671100	677340	day. Well, I think what's different about today is that we are, this is something that I've been
677340	683080	looking at and looking into for well over 10, 15 years. Like many of us looking at the transformation
683080	687300	that the world has been going through, the web and all of the digital communication.
688300	692540	I have felt for a long time that the moment we're having has been somewhat inevitable
692540	699060	in the sense that we had kind of a critical mass in our society, in our ability to share
699060	706700	information, shared data. It's an interesting fact that when the internet began in the 1980s,
706720	714080	the first major subject to blow open the internet was UFOs. It was UFOs back in the late 80s.
714140	721900	So there's always been this groundswell of public interest in this subject, despite the fact that
721900	725800	we've been hit over the head with a propaganda hammer for years and decades to say, nope,
725800	727760	nope, this is a silly topic, don't get into it.
727820	730020	But people know we've got an instinct.
730100	730980	We have a nose for this.
731100	734220	And so I've always reasoned that by the time
734220	736120	we hit enough of a critical mass
736120	737760	in our global infrastructure,
737960	740580	our ability to share important information,
740720	742080	that something would break through.
742200	743540	And I think that is what has happened.
743720	747100	I believe that over the first decade of this century,
747220	748840	and then think about what happened.
748940	751440	You had Stephen Greer's press conference in 2001.
751700	753500	You had Steve Bassett pushing through the,
753500	757800	the X conferences and the citizen hearing on disclosure.
758140	762040	You had the press conferences by Robert Hastings
762040	763640	and a lot of the other folks dealing
763640	765400	and Leslie Kane, James Fox.
765900	769040	All of these are part of a public initiative
769040	772760	that over the course of this first 21st century
772760	775000	did help to raise awareness.
775120	776120	It did happen.
776860	779840	And then you get 2016 and John Podesta
779840	781260	and Hillary making the decision.
781260	787400	decision. UFOs is not the death sentence for a political candidate. That was key. And then you
787400	795940	get TTSA. And I think all of this is the end result of a cultural movement that essentially
795940	801740	reached critical mass. And that includes behind the scenes, that includes in front of the scenes.
802180	807120	And so that's what I think has happened. So, you know, when TTSA was going full guns,
807120	824920	I encountered many, many people who said, ah, that's a CIA op. That's a lot of BS there. I always fought against that interpretation. I never believed it. I always felt that those folks were, some of them are a little more establishment oriented than myself. That's true.
824920	830560	too. But understanding their motivations, I always felt that those were legit motivations. I still
830560	835920	believe that. And I think, you know, what really are we looking at? You had Chris Mellon behind
835920	840780	the scenes bringing Eric Davison to speak to members of Congress a couple of years ago. That
840780	846900	clearly had an impact. A lot of the work that you guys did behind the scenes had an impact. And what
846900	857600	What we're seeing now, I think, is enough of this toothpaste is out of the tube that people now are permitted to talk about it.
857820	862680	And what we're now seeing is a battle, a war within the national security establishment.
863120	864240	That's really what we're seeing.
864300	865120	It's a factional war.
865300	868380	You have the old what the old O.G.
868400	871280	Donald Keogh decades ago called the secrecy group.
871660	872700	They're still around.
873000	875520	But you have what I like to call the insurgency.
877140	879000	And we're all part of that insurgency.
879160	880380	You guys are very active in it.
880900	883140	David Grush now is part of the insurgency.
884220	886620	Ralph Blumenthal and Leslie Kane are part of the insurgency.
886720	891620	Chris Mellon, Tom DeLonge, Hal Puttoff, they're part of the insurgency as well.
891920	896480	And they've made their push, and we are now seeing the result.
896600	897700	We've had congressional hearings.
897880	900460	We have the promise of more hearings in the future.
900900	904800	We had a bit of a battle over the UAP Disclosure Act.
904980	905880	Not a surprise.
906900	924840	And so this is where we are. We're at a we are at a turning point. Whether this will result in a genuine, honest disclosure is a whole other question. But we're at a point where in the history of this phenomenon, we've never been here before.
925460	931780	There were moments in the 1960s where people thought this could break open.
932000	934840	You know, the old Condon Committee.
934980	939660	Will the University of Colorado give an honest scientific conclusion on this?
939720	942080	And we now know that was a rigged game.
942380	947860	And there have been a variety of moments in the past where things briefly look like they could break open.
947940	948820	But nothing like this.
948920	949660	This is a different.
949800	951740	I feel this is qualitatively different.
951740	958220	So I think it's the end result of a long standing technological cultural transformation. That's what I think.
958220	969180	You were, you know, as I mentioned, you started looking at the Cold War as an historian at national security issues, where it eventually leads, what it means to our republic, excessive secrecy.
970040	982740	Looking back on that now, are you sympathetic at all to the U.S. military and its extreme paranoia about keeping a lid on the UFO issue at the time when the start of the modern UFO era?
982740	990180	And has that changed for them? Or is it always going to be inextricably intertwined with national security concerns?
990700	1006760	I have some sympathy for them. Yes, always kind of have. But I also don't. I mean, let me qualify it. So if you are in the military establishment, your duty is to protect your national security. That's your job.
1006760	1019380	And these objects, although they haven't done an Independence Day scenario, they haven't blown up anything overtly, they have at times caused problems, which maybe we can discuss some of that.
1019440	1028160	But there hasn't been an obvious destructive attack, a systematic destructive attack.
1028420	1031800	There have been negative encounters from time to time.
1031800	1037360	there's been damage done and interference done to U.S. military weapon capability,
1037760	1041900	communications capability. That's all happened. But it hasn't been like they've been out there
1041900	1050240	on the attack so much as seemingly observing. So on that basis, ordinary people might just think,
