start	end	text
1000	4640	Jeremy, you helped organize some of the witnesses for this hearing next week.
4720	5760	You say it will be historic.
6080	8460	Why is the military and the government not just being honest with us?
8500	10540	Why are they overclassifying it? Why aren't they being transparent?
11040	16780	UFOs have been a part of the human experience since before there was even a Pentagon or a
16780	23220	Department of Defense. It was easy and still is to discredit a civilian. Much more difficult
23220	28560	to discredit a military man. But many of the reports come from highly, highly credible,
30000	30340	Oh, you see.
30720	32740	Convincing, confirmable evidence.
32860	34280	We're done with the cover-up.
34480	40140	And finally, I'm pleased the NDAA will include my amendment on increasing transparency on UAPs.
40260	44880	And all of a sudden now, Congress and Senate, they realize they've been lied to.
45100	48660	It leads me to believe that they are indeed hiding information.
49120	54480	Commander Chad Underwood, he's the man that actually filmed the Tic Tac UFO.
54480	60360	Commander Chad Underwood, you know, the world has heard from you once or twice before.
60720	66680	Some of these phenomena we know have already had an impact on our training ranges.
66680	83080	Wouldn't it be neat if a journalist exactly like George Knapp had, let's say, a huge document detailing a lot of the blind spots that you might have just being the man that filmed the Tic Tac UFO?
83460	84880	An intelligence report.
85060	88460	George, would someone like you have something like that?
89860	94180	I wish I could get a hold of that because if I did, I'd probably share it.
94240	94840	With who?
96680	105140	for one. Secrets, cover-ups, and strange phenomena. UFOs and ideas that challenge reality itself.
105600	109640	All these mysteries, all this time. Are we ever going to get to the bottom of these?
109960	115920	My name is George Knapp. I dig into news stories that others can't or won't. I'm Jeremy Corbell,
116080	122520	and for some reason, people tell me things they probably shouldn't. And this is Weaponize.
126680	146300	This is Weaponized, and at the time that most of you will be seeing this episode, we're mere hours away from what we hope will be the first of many legitimate congressional hearings aimed at getting to the bottom of the UAP UFO mystery, and specifically about what our government might know but has been unwilling to share.
146300	169340	You know, a national security subcommittee in the House will be the host organization for this hearing coming up on Wednesday, July 26th. Representative Tim Burchett is the ramrod for this event. He's joined by four of his colleagues, bipartisan, by the way. And Jeremy, you and I had talked to Representative Burchett about this, the importance of it being bipartisan. And it is a big deal, I think.
169340	174560	something that I think a lot of people in the UFO world who are not politically savvy don't really
174560	179660	realize. But, you know, the congressman did make a point to reach out to some Democratic colleagues
179660	184060	of his. They held a joint news conference, answered a lot of questions a couple of days ago
184060	188160	that sort of set the stage for what's about to happen. What did you think about that event?
189460	196420	Yeah, Representative Burchett is a warrior for UFO transparency. He's learning as he goes about
196420	202200	the UFO phenomenon and has seen stuff that the public hasn't seen. But he has stayed true to
202200	207440	his word. That was our original discussion was, look, if I'm going to reach out to people,
207500	212160	if you and I, George, are going to reach out to people, then what the people they want,
212300	217380	then the deal is, it's got to be bipartisan. And boy, did he pull through. But I haven't,
217380	222840	we haven't been there yet. But you can tell he's made a commitment to that. I got to imagine you're
222840	225900	You're in politics and you have completely different views than other people.
226060	229480	And all of a sudden you're like, this one, we're on this together.
229740	230940	I'm not political, so I don't know.
231020	232280	But that seems like a big deal.
232460	237680	It is a big deal because there's so little in Washington these days on which you can
237680	239560	have bipartisan agreement, almost nothing.
239720	243420	I mean, you know, there's a lot of big stuff going on right now, which makes it all the
243420	246440	more amazing that they'd have the subcommittee hearing coming up.
246560	249360	You know, there are thoughts that they're going to shut the government down.
249360	252940	There's disagreement about spending and budget and just about everything.
253160	258280	But on this issue, there is at least an appearance of bipartisan interest, both in the House
258280	259660	and in the Senate.
259780	260980	And that's pretty astonishing.
261180	268480	We did hear from them during this event last Thursday that they are experiencing some pushback,
268580	274220	that there's been opposition from within Burchett's own party, that there has been opposition
274220	280360	from the larger committee and some of the staff that they faced a blowback from the Department
280360	285780	of Defense, from intelligence agencies, even ran into a little bit of a problem with NASA that we
285780	290620	could talk about. But they made it very clear, I think, in this that there really is blowback,
290720	296100	that not only are they, are their attempts to head off this hearing, but their attempts to
296100	301520	intimidate witnesses, all kinds of things going on behind the scenes from people who do not want
301520	304980	this to happen. We've had a heck of a lot of pushback about this hearing. We've had members
304980	309380	of Congress who fought us. We've had members of the intelligence community and also the Pentagon,
309640	314380	even NASA backed out on us. There are a lot of people who don't want this to come to light.
315160	321360	That is absolutely correct. And I'm going to walk a fine line right now. It's not my story to tell
321960	329680	or yours, right? This is we have to walk a line here. But look, there are great interests
331520	335360	have this information about UFOs be public.
335540	336960	We know that to be true.
337280	339720	And you can look at it from the point of national security,
339980	340980	weapons of mass destruction,
341220	346800	but you can also imagine that there are financial interests
346800	350060	that people can keep what they have kind of thing.
350300	353400	So the infiltration of that can go all the way
353400	356140	from the top secretary of defense,
356220	359060	all the way down to staffers that have been compromised
359060	361020	and trying to torpedo and sabotage
361520	368000	work that some of us have been doing just to have people's voices heard. So that is a real thing.
368200	372860	I was looking at, you know, congressional Twitter compared to UFO Twitter, and dang,
372980	378820	it's as nasty as UFO Twitter with the lies and the obfuscation and the trolls. It's pretty crazy.
379640	384700	You know, we all, of course, have already heard gripes from UFO World about the witnesses who
384700	390060	are lined up. Three great witnesses, by the way. And, you know, we've already heard from those
391520	397700	news. And there's one prominent debunker, critic, skeptic who whined that, quote, you know, the
397700	402960	world has already heard from Fravor and Graves countless times. Countless. Let's count them.
403000	408000	Let's see if we can count them. I mean, Dave Fravor spoke to you and I. He spoke to me at KLAS.
408300	414740	He spoke to with us. We interviewed him at McMinnville because we twisted his arm. He spoke
414740	419300	to 60 Minutes. And I think maybe he spoke to CNN. But I don't think that's countless. We just
419300	426080	discounted him. We spoke to him behind closed doors. We believe he spoke to Congress behind
426080	431840	closed doors a couple of years ago. We know that Ryan Graves is a terrific witness. He's done way
431840	437580	more media appearances than Dave Fravor has, but that's part of the organization that he set up.
437640	442240	He's actively recruiting pilots who've had experiences and wants them to come forward
442240	449140	and share information. But neither Dave Fravor, nor Dave Grush, nor Ryan Graves,
449180	455800	none of the three of them have ever spoken in a public hearing before Congress about what they
455800	461180	know. I mean, this is different from giving an interview to 60 Minutes or the New York Times
461180	465660	or to us. It's different. It's a different setting. You're giving an interview in front
465660	469300	of Congress, on the record, to the world, to the whole world.
469380	469600	Under oath.
470300	472020	Yeah, about UFOs.
472020	473560	And it's much weightier.
473680	474520	It packs a punch.
474960	478540	It was not easy to get to Dave Fravor to do this, and you can tell that story.
479340	484480	I'd love to hear what he's learned since we heard from him in 2017 about the Tic Tac
484480	484840	encounter.
485120	486320	What's happened to his life?
486440	488020	What else has he learned since then?
488140	489780	Has there been pushback from the Navy?
489920	493680	Has his career suffered any consequences as a result?
493740	494860	I'd like to hear that stuff.
495660	498680	Well, we'll have to get him on to talk with him at some point.
498720	499080	But yeah.
499840	506020	You know, UFO World is going to gripe no matter who the witnesses would have been, given that that's what they do.
506220	516240	You know, an alien overlord from the planet Meepzorp could come into the house chamber and lay his bony three fingered reptilian hand on a stack of Bibles and be sworn in.
516520	522780	And someone in UFO World would complain, why couldn't we get any of the alien Nordics instead of the reptilians?
522900	524680	You know, somebody gripe about it, wouldn't they?
525660	528420	Yeah, but like, I love UFO World.
528520	529980	These are my friends.
530400	532380	I mean, the griping, I get it.
532400	539440	That's a very small minority of vocal people who try to twist the truth with mental gymnastics,
540680	545940	obfuscating the reality with absolute disingenuous intent.
546160	547600	I don't even care anymore.
547800	549520	This is so much larger.
549520	555740	larger, the world at large has not heard in this setting, hopefully, and we pushed for it,
555780	563260	under oath. Everybody wants to be under oath. We have Lieutenant Ryan Graves. Now, some people are
563260	567940	saying, well, he didn't see a UFO. Well, hold up now. Hold up. I have had private conversations
567940	573540	with him where he was like, it was on my radar, solid lock. It was on the ASA, shared by everybody.
573740	578820	We have it on multiple systems. One of the things about UFOs is low observability. Sorry,
