start	end	text
1300	3720	Secrets, cover-ups, and strange phenomena.
4380	7100	UFOs and ideas that challenge reality itself.
7600	11620	All these mysteries, all this time. Are we ever going to get to the bottom of these?
11980	16800	My name is George Knapp. I dig into news stories that others can't or won't.
16960	21380	I'm Jeremy Korbel, and for some reason, people tell me things they probably shouldn't.
22260	24700	And this is Weaponized.
28900	30760	Weaponize. We're back. What's on your mind?
32000	38500	Oh my gosh, so much, man. Well, I guess we should start with a number of weeks ago,
38600	45040	the new anticipated UFO report, official UFO report came out from the government.
45660	51420	And, you know, there's been a lot of reactions from, you know, dismissals in opinion articles
51420	55120	articles in the New York Times to other people that got it right. But this was anticipated.
55280	62300	It was supposed to come out on Halloween, right? 2022. Here we are in 2023 now. And finally,
62340	70120	it's out. So they call it the 2022 annual report on UAP, unidentified aerial phenomena. It's
70120	76680	actually the 2023 report since it did not come out in 2022. And looking at it, the first impression
76680	80800	you get is nobody's going to wrench their back picking this thing up. It's only a couple of
81420	87960	a title page and a table of contents page and a couple of index pages at the back and terminology,
88380	93640	not much report here. I'm reminded of, remember when light beer first came out, the slogan was
93640	97520	taste great, less filling? That's what comes to mind for this.
97700	104520	Yeah. In defense of the depth of the report, it is a report of a classified report. It's a report
104520	108960	that they did a classified report. But there are some really sneaky things that you brought to my
108960	113020	attention that we're kind of done in this and I'd like kind of people to know about this from a news
113020	117520	standpoint. Well you know I think there is a difference between this report and the one that
117520	125260	came out in 2021 the UAP task force report to congress it had 144 cases it said 143 were
125260	132760	unidentified this one has a lot more cases they added it's a 510 cases so there's the good news is
132760	138400	that the reporting system that has been implemented is working they even got reports from the U.S.
138960	143900	says in here and the U.S. Navy primarily. We don't know where these incidents happened. There's
143900	149120	almost no detail whatsoever. We don't know if they were in space, whether they were under sea,
149360	154560	whether they're over U.S. airspace or the military encountered them somewhere around the world.
154720	160000	Don't know what the size or shape or capabilities of these are. We know that there's an indication
160000	164420	that at least some of these cases are advanced technology that had capabilities that were really
164420	169960	intriguing, but really no details at all. I think the UFO public was prepared to be
169960	174620	underwhelmed, maybe not quite this underwhelmed, but I mean overall there's
174620	177700	some good stuff. The fact that they reported it at all, that they're getting
177700	182500	better at identifying what's truly unidentified and anomalous on what isn't
182500	189100	is pretty good. But we know, we know that this is all domain. We know that these
189100	193960	cases span from space, air, to sea. Now that's not something obviously that's
194420	199000	the public but that's why it's called you know all domain that's why it's called transmedium
199540	207480	so um i think people got this this title you know based on their bias like wrong i think the title
207480	212540	is right in the report there's a top of it i think page five can we read that i want people to hear
212540	219660	what they said you know continued reporting and robust analysis are providing better fidelity
219660	224540	on UAP events, but many cases remain unresolved.
224660	225900	That's right in the report.
226240	227300	That's the headline.
227560	229180	That is the important part.
229440	231100	And then people try to cherry pick
231100	234080	and say all this stuff that we know is false,
234220	236060	and they put it through major publications.
236280	239620	You know, the mass media needs to look at
239620	242240	and read everything to be informed.
242340	243080	It doesn't always happen.
243260	245760	It seems like there was a concerted effort
245760	246740	to water it down.
246900	248720	I mean, this is the most exciting topic
249660	255040	It's the biggest question in human existence in the history of civilization, are we alone?
255240	260340	It would change the world once we get a confirmation that there is another intelligence somewhere,
260460	262560	either out there or living among us here.
262720	263380	It's huge.
263600	272860	And they do their best to add this bureaucratic jingo-type language that junk it up and to
273500	278500	dilute how interesting it really is, to make it as least interesting as possible, it seemed
279660	284580	they use. And also you think about like, you know, who are they that are doing this? If you just look
284580	290420	at who writes certain types of articles, you get a sense that they're, this is not reporting. These
290420	298800	are people that are inserting certain types of topographical, you know, premises that they come
298800	306240	up with, biases they come up with. So if we just report the news, the line I just read, that's the
306240	306560	That's the news.
306780	307520	That's what's important.
307740	310600	So look, I don't know what UFOs are.
310720	311320	I don't.
311320	315860	But I know that it's unexplained and that there's a mechanical aspect to it.
316060	321320	Well, they made a point of adding in a bunch of cases that I think were taken out
321320	322700	of the original report.
322980	323900	They said that in this-
323900	324440	You think or you know?
324540	330180	Well, it says that they added in a hundred and some cases that had been left out.
330300	335560	So adding these back in increased the total, but it allowed them to say, oh gosh, heck,
336240	341540	are balloons. A heck of a lot of these are drones. A lot of it is trash, which is, you remember the
341540	346920	New York Times had this pre-bunking piece where they predicted that's what this report is going
346920	351780	to show. It's a bunch of drones. It's a bunch of balloons. Yes, drones exist. Balloons exist. We're
351780	359740	aware of that. We're aware that birds fly in the sky. That's not anything new. I mean, UFOs 101,
360200	365520	you learn that 90 to 95% of all UFO cases are explainable. If you get enough information,
366240	369880	They are drones, they're balloons, they're planets, they're clouds, things of that sort.
370040	372080	That is the starting point for this conversation.
372320	374820	We're aware that cases can be explained.
374960	380260	We're also aware that while 90% are explainable, nine out of 10 are not reported at all.
380440	381620	Hold on, just back up.
381720	382920	Fucking record scratch.
383680	384120	Okay.
384540	390200	They excluded a bunch of cases because they were explainable, so let's now work on the
390200	390800	ones that are not.
