start	end	text
0	1840	In this week's episode of Weaponized.
1980	8560	The Federal Aviation Administration has now issued bans on flying drones in multiple cities across New Jersey.
8700	17040	I don't know what to make of the entire drone situation because what I do know is that people defending our critical infrastructure,
17960	24360	contacts of mine, I guess aerodynamic craft drones that are coming over some of our sensitive installations.
25840	34580	However, it is reported to me that they are filming non-aerodynamic, like really non-aerodynamic shaped objects.
34880	46720	You know, we've heard from pretty reliable people, Jeremy and I, that there have been all manner of mechanisms and systems that have been used and aimed at drones over different military bases, and none of them have worked.
46860	52640	George, you've spoken about it, and it's the most controversial aspect of this, mimicry.
54360	56900	an article about it, a paper about it for NIDS
56900	59060	talking about the Cash Landrum case
59060	61060	where he didn't believe they were actually helicopters.
61160	64900	They were actually NHI mimicking helicopters.
65020	67840	I think the phenomenon for 80 plus years
67840	69940	has been engaging in plausible deniability.
70440	73040	Some people perceive this as just happenstance.
73140	74380	Oh, it's just coincidental.
74380	75620	Oh, it's just the propulsion system.
75820	80240	But if you really look at the full array of UFO history,
80520	83920	it seems to me that there's some kind of social engineering going on.
84360	88260	been going on for decades. There's internal communications and there seems to be a tapering
88260	93360	off. So it's as if it's just going to stop and then we've been conditioned again and then we're
93360	99100	just going to wake up after the new year and be like, well, that was weird. Secrets, cover-ups,
99100	105140	and strange phenomena. UFOs and ideas that challenge reality itself. All these mysteries,
105280	110380	all this time. Are we ever going to get to the bottom of these? My name is George Knapp. I dig
110380	113300	dig into news stories that others can't or won't.
113420	115580	I'm Jeremy Korbel, and for some reason,
115620	117880	people tell me things they probably shouldn't.
118760	121280	And this is Weaponized.
124400	128760	This is Weaponized, end of 2024, a tumultuous year.
128860	130920	I'm George Knapp, joined by Jeremy Korbel.
131040	132520	Jeremy, how's your holidays going?
132900	134200	It's pretty great, man.
134300	137520	I've got one ornament, and it's a flying saucer.
137560	139280	It's disco-looking, it's pink,
140220	146500	cactus. I got a CIA globe for the Christmas tree because, you know, you and I do work for CIA,
146800	154200	steep cover guys. That's what we've heard many times. 2024 was a pretty tumultuous year for this
154200	159300	topic. And we thought we'd do a sort of an end of the year wrap up. What was big? What was
159300	163700	significant? What was ridiculous during the course of the year and what might be coming in 2025?
163700	166260	and we've invited some friends of ours,
166920	169240	very astute observers of the UFO scene.
169700	171500	We used to call them the young guns.
171580	172400	That was years ago.
172440	173900	I'm not sure they're young guns anymore.
174020	174520	What do you think?
174940	177560	Yeah, look, it's always exciting to have these guys on.
177620	179440	They really have voices in this community
179440	182620	and they kind of take very different perspectives.
182700	188600	So we're talking about Ryan from Post Disclosure World.
188840	192040	Ryan Robbins, UFO Jesus, right?
193700	196940	And he's always got this really cool and very positive perspective.
197060	198760	I like the way that he deals with conflict.
199460	203040	We then also have Danny Silva from Silva Record.
204180	208080	He's kind of been quiet for the last year or so by design.
208440	212580	I think Danny, who's a good soul, a good observer of the topic,
212660	215780	feels guilty when he comes down too hard on people.
215960	217760	So he's just kind of resisted.
217760	220680	You can't help but do that sometimes in UFO world, as you know.
220680	238860	The third guy is Joe Mercia, UFO Joe, who was a prolific writer, puts out these gigantic synopses and collections of material on different topics via X and Twitter, really does some good in-depth work and catches a lot of grief, of course, because of it.
238860	244460	yeah well you said to me the other day like he he says it as he sees it and he gets himself in
244460	249080	trouble sometimes for saying it as he sees it but i do appreciate that it's very raw straightforward
249080	254380	and you better remember what it is you said verbatim because joe's always in there getting
254380	259060	your exact words being like this is what he said and sometimes you gotta explain yourself further
259060	264960	when you didn't you didn't want to yeah did i say that really uh yeah i know i know yeah he he
264960	266940	He holds your feet to the fire for sure.
267000	270120	All three of them do in different kinds of ways, you know.
270540	272880	So we've been in contact with him for a long time.
