start	end	text
1300	3720	Secrets, cover-ups, and strange phenomena.
4380	7100	UFOs and ideas that challenge reality itself.
7600	9720	All these mysteries, all this time.
9960	11620	Are we ever going to get to the bottom of these?
11980	13140	My name is George Knapp.
13260	16800	I dig into news stories that others can't or won't.
16960	21380	I'm Jeremy Korbel, and for some reason, people tell me things they probably shouldn't.
22260	24520	And this is Weaponize.
24520	34180	weaponized. This is round two, Dr. Colin Kelleher. This is weaponized. We have a special guest,
34360	40860	a longtime friend of ours, Dr. Colin Kelleher, an eminent scientist and investigator. And we got a
40860	46020	lot of ground to cover. One of the reasons why I'm stoked you're talking with us like openly here
46020	52340	like this, man, I've heard you guys talk. I know what's going on to a high degree is that you ran,
52340	61400	like you ran the largest acknowledged UFO program in the history of our
61400	66760	military that's acknowledged and and that was called OSAP hired through the
66760	71720	DIA contract but you were the principal who ran the day-to-day the
71720	77880	investigations is that correct you oversaw it all well the OSAP was the
77880	84700	the acronym for the Advanced Aerospace Weapons Systems Application Program, which was a 24
85480	92380	that morphed into 27-month program run through DIA, funded with $22 million.
93180	99300	Robert Bigelow formed an organization called BAS to execute the OSAP contract.
99720	104300	I was the program manager for the OSAP contract in Las Vegas.
104300	112920	I had a counterpart on the East Coast, a guy called Dr. James Lukatsky, who is a ballistic
112920	115300	missile physicist and engineer.
116120	123060	So he was running things from the East Coast, and I was the coordinator project manager
123060	124620	in Las Vegas.
124620	133440	we hired about 50 different people within a space of seven months of
133440	139960	activating the OSAP contract which was activated in September of 2008 so you
139960	145900	know that the idea was we were hustling to get to start hire people with
145900	151860	security clearances if possible we hired PhD and master's degree engine
151860	159700	scientists, we hired engineers, we hired database analysts, counterintelligence people, security
159700	167120	officers, translators to translate documents. So within seven months of starting this program,
167360	176260	it started in September of 2008, within seven months we had a team of 50 full-time people.
176260	184140	These people were not doing this part-time on their spare time. These were tasked 40 hours a week plus
184900	192660	to execute the OSAP program. The OSAP program, its only remit was to investigate
193360	199840	UFO activity and specifically to assess whether or not there was a threat associated with the UFO.
200140	204140	Right, so I want you to take us there because this is how I understand it.
204140	217480	I want to see how you go from, you know, NIDS at that point, National Institute for Discovery Science, and you're working on all this, to like an official DIA request to study UFOs, building out this whole thing.
217520	222340	I understand that Dr. Lekatsky was from the DIA, and he's your counterpart there.
222520	226460	And then you're running the show here under the contract.
226640	227640	You're the head guy.
228120	231180	And now you can talk about all of this, which is interesting.
231840	234540	So, George, can you set us up to where he goes from?
234540	236520	Well, there's a big chunk of the story we're missing.
236640	243040	So we went from NIDS 96 and Bigelow buying Skinwalker Ranch to the creation of OSAP.
243080	247680	In between, there was this long study by the NIDS team at the ranch.
247840	248800	They set up shop there.
248900	250720	They had a command center.
250900	253180	They put cameras all over the ranch.
253640	258920	And it was primarily interested in the high level of UFO activity that had been reported there,
259020	260460	but a lot of other stuff too.
261180	266280	mutilations that have been happening. And as you were later to learn, a lot of other weird things.
266380	269520	That wasn't why you were there, but that's what you learned about it, right?
269720	274780	Right. Yeah. I think that's a pretty good summary. And as you also mentioned,
275700	281820	you and I wrote a book at the very end of that whole procedure that came out in 2004, 2005.
283060	289740	And the purpose for writing that book was to see what other ranches were around the country and
291180	296520	other UFO hotspots might exist. And we actually have had a lot of feedback. That book came out,
297220	303740	what, 2005, which is what, I don't know, 17 going on 18 years. We're showing our age here.
304080	308620	But, you know, the really interesting thing was that when this book came out,
309460	316520	it attracted the attention of people on the East Coast. We know that Jim Likatsky,
316520	322320	who was a ballistic missile physicist working for the Defense Intelligence Agency, and the
322320	328700	other guy we call in the book Axelrod, who was also at the time seconded to Defense Intelligence
328700	329280	Agency.
329540	335440	Both of those guys read Hunt for the Skinwalker back in 2007.
337740	343620	Likatsky, which was a stroke of genius on his part, and obviously he had permission
343620	349200	from the Defense Intelligence Agency, he writes a letter to Robert Bigelow saying, you know,
349240	357540	that as an official Defense Intelligence Agency matter, he would like to visit the Skinwalker
357540	364860	Ranch. And so in July of 2007, Robert Bigelow immediately agreed after checking out that this
364860	370760	was a real deal. This was not some guy sort of masquerading as a Defense Intelligence Agency guy.
370760	377460	guy. He was real. And so, um, Lekatsky and Bigelow arrived on the ranch in, in, in July
377460	384660	of 2007. And they were talking with the ranch manager and his wife in their small little,
384700	390580	uh, what we call homestead one on the house, uh, on the ranch, which is a small homestead
390580	395160	that is very close to the entrance of the ranch. Uh, Bigelow was talking to the, the
395160	403060	the two ranch people, and Lukaski's standing in the kitchen behind Bigelow and the ranch
403060	412000	manager and his wife, this metallic-looking twisted object suddenly appears in the kitchen
412000	418820	right in front of Lukaski, and it's shrouded in this yellowish mist. And, you know, it's a sort
418820	426220	of curved cylindrical metallic looking object, but it appears out of nowhere in thin air in the
426220	433200	kitchen. And Lukatsky is sort of a physicist, an engineer, and he's looking at this apparition,
433920	441400	wondering what the hell is going on. He looks away, looks back, still there. So it's not sort
