start	end	text
5180	8240	This is Weaponized. Where the hell are we, Jeremy?
8940	13960	We are in a non-disclosed location because we got a party tonight.
14300	17300	I'm going to, you and I are going to, I know you hate these,
17440	23420	but we're going to do a Q&A for the premiere of a three-part series
23420	26340	that if people haven't watched, they should watch. It's on Tubi.
26940	29260	I got followed for almost a year
29260	31100	trying to fight for these hearings
31100	32100	and seeing where it's going
32100	33100	three part series
33100	35640	the whole UFO world is talking about it
35640	36700	debating about it
36700	37700	complaining about it
37700	39100	whining about it
39100	40100	cheering for it
40100	41340	as usual
41340	43020	and I've seen it
43020	46320	and gosh I can't let you out of my sight for one minute
46320	47180	you're stirring up trouble
47180	49500	you go to Washington and stir up a whole bunch of trouble
49500	51060	I'm super threatening apparently
51800	52840	yeah man look
52840	54720	people need to watch it
54720	55880	and decide for themselves
56340	61260	they're seeing. I think there's a lot of information in that series to the best of my ability. I'm
61260	66320	telling it like I know it, like I understand it. There's a lot of great things that happened at the
66320	72340	hearing. You know, having Lou Elizondo under oath so the American public can decide, do we trust him?
72380	77420	That was important to me. I trust Lou. I think when he goes up there and tries to tell you how it is,
77520	84400	I believe that's how it is. So I think having him under oath was important. And I did fight for that
86340	93800	wasn't easy, there are some shenanigans. And they're very disturbing to me, having experienced
93800	101980	it. I am concerned that the UAP truth has been controlled for so long, and now we're at a point
101980	107560	where we're admitting it. You can't take back that David Grush testified. You can't take back
107560	111520	that Commander Fravor testified under oath in front of the American public. But that was a
111520	117860	a sneak attack. This hearing was not. It was controlled. It was managed. It was a setup in
117860	123900	some ways. And it's not all bad. But why I'm concerned is because if you have something that's
123900	129660	out of control, we now know UFOs are real. They're here. A lot of questions coming. Then what you
129660	134980	want to do is shape it. You want to control it. I am very concerned that people are being put into
134980	141160	position of authority so that they can shape the narrative again. And that is really my biggest
141520	143300	If people watch this series, they can judge for themselves.
143600	144580	But that is my concern.
144700	146040	I'll be very clear about it.
146100	150840	All the king's horses and all the king's men are shaping the UAP narrative again.
151260	156180	That's the thing is that, you know, for 75, 80 years, the problem has been the limited
156180	163160	amount of credible information has been controlled, stigmatized, dribbled out, twisted and turned
163160	167840	by the people who control this stuff, the keepers of the secrets.
167840	171720	Now, at a moment when it seems that the stigma is reduced,
171940	173220	that Congress is interested,
173520	175080	major media are taking it seriously,
175360	177080	academia is digging in,
177260	179000	suddenly there's a new control system
179000	180960	that's about to be imposed on it.
181060	183340	And although it may look like transparency,
183640	185320	a congressional hearing, an open hearing,
186060	187160	it's something else.
187300	189700	And I know we're gonna get into this a little bit later.
189760	192920	We're gonna hear questions from the public in this episode.
193160	196080	At the end, I wanna come back to a couple of things
197840	202200	social media, our usual critics, and address some of the remaining questions.
203200	211120	Yeah, look, people being ordained and put into position for you to go to as a whistleblower
211120	216240	or direct firsthand knowledge about UAP, you have to make sure you trust them.
216360	217520	They can't be bought.
217740	219000	They can't be influenced.
219340	221340	They need to be pure reporters and journalists.
221340	227600	panelists, I am very scared that people are being ordained and put into position as filters
227600	228280	for information.
228720	230600	I think that's dangerous for whistleblowers.
231360	236440	I absolutely directly saw that that is dangerous for the author of the Immaculate Constellation
236440	241920	documents, who I walked into congressional offices for meetings so they could see eye
241920	246360	to eye months before, months before the hearings, before that was known to the public.
246360	254440	I did that not only to vet the witness, the author of Immaculate Constellation, but also to have that person show their face.
254500	256680	Here's my information. This is coming out.
257580	263460	And then to see the way that when I submitted that onto congressional record by design,
263560	268800	I made sure that I got right there at that morning was the final copy that would be distributed.
268900	275760	To see how bureaucratically that was twisted by the people controlling that narrative.
276360	280780	If they'll lie about that, Houston, we got a big fucking problem.
280980	285220	Let's hear the question, the Q&A from the public and from our journalist friend,
285360	286320	and then we'll come back.
286340	289580	There are a couple of loose ends that I want to address and tie up with you.
311320	313400	Jeremy said, hey, we're going to record a podcast.
313620	314940	I got a couple of friends coming over.
316620	317560	I underplayed it.
317680	319300	Yeah, well, thank you for having me.
319400	320940	Thank you for everybody for coming out.
321060	324560	And I have so many questions after finishing that.
324720	326780	But the first one I want to start with is,
326880	330200	what was the difference between the first congressional hearing
330200	331900	and the second congressional hearing?
332100	335140	You've used the word controlled to describe the second one.
336360	340700	anything happen in between those two hearings that changed the layout of the landscape?
343620	350500	Well, the first one felt like a genuine, sincere effort to gather information to do what Congress
350500	356540	is supposed to do to look into this. And it was sort of a opening curtain for what we hoped would
356540	363420	be a long and fruitful investigation for Congress to do its duty and find out where billions and
363420	366040	and billions of dollars of legitimate national security
366040	367940	dollars have been spent over the years,
368040	373300	and to ferret out secrets that have been kept
373300	377420	under the wraps for a long time, it felt hopeful.
378420	379440	This one didn't feel hopeful.
379560	381680	I was encouraged by what Lou said.
382780	385900	You know, Jeremy and I, it wasn't really in that episode,
386000	389100	but for months talking to congressional staffers
389100	391800	in setting this up, and Jeremy did a lot of,
393420	397860	to help members of Congress and their staff make this happen, getting Lou there.
398100	402660	We were also involved in the earlier hearing, you know, to line up witnesses that would really make an impact.
403260	409720	And it wasn't an ego thing. It wasn't for a TV show. It was really to move the ball down the field on the UFO issue.
409920	412800	This one had a different feel. I wasn't able to be there.
412920	416160	Jeremy and I were in contact the whole time, and he was telling me what was going on.
416240	418020	It was hard to believe what had happened.
418020	424500	I don't know if you can get the importance of that whole document, the Immaculate Constellation
424500	424880	document.
425120	429220	It wasn't a matter of Jeremy needs to have credit for submitting it to Congress.
430200	433760	It was, you know, I almost think it's a lucky break that it happened that way.
433820	434300	Yeah, yeah.
434660	435720	Because it was a tell.
435900	439240	It was like flipping up your whole card to show what was going on.
439400	446080	And maybe we can get into what it meant, but it was a lesson in the new reality for the
446080	446720	UFO topic.
448020	449740	What's happening is a changing of the guard.
450980	457080	We think, and I think Danny Sheehan would agree to us with this and other people that might be in the audience,
457140	465500	that there really is technology, non-human technology and bodies stashed in hangars or bunkers,
465540	467100	and it's been there for a long time.
467220	471240	And aerospace companies have been trying to figure it out, and they haven't mastered it yet.
471380	472220	I don't think so.
472360	474080	They haven't got anti-gravity.
474080	474700	They've been trying.
474700	484940	But because the secrecy and, you know, these stovepipes, they can't let enough people know that where you could really have some serious progress.
485440	488020	And it's, you know, maybe their time is up.
488040	501300	But what's happening, I think, what came out of this hearing is the changing of the guard is there's a push to move that technology wherever it's stashed into the hands of other companies, other individuals.
502300	503800	Do you want to go further than that?
504700	506540	Look, the hearing thing, here's the deal.
507100	508400	George and I were talking.
508460	512000	I was calling him for a pep talk before the thing.
512400	514720	The first one was authentic.
515020	516040	It was David Grush.
516140	517400	We had vetted him for a year.
517580	521860	We sat behind him in Congress because we knew what he was saying was authentic.
522780	525160	This new hearing was absolutely controlled.
525340	526800	I didn't understand it at the time.
526820	529360	I'm still kind of experiencing it on the TV.
529500	531780	I told George, this feels weird.
532320	537000	It's as if people are the two pieces out of the tube, as people say.
537140	541180	Like they can't put it back in, but they're trying to shape the emerging UAP narrative.
541360	543020	That's a line from a CIA document.
543660	548420	Shape – this way for you – shape the emerging UAP narrative.
549220	551500	That's what's going on. Again.
552200	556540	So I don't know what's going to happen, but I know we got some people coming forward.
556940	560580	I know people are pissed off, and I know we're going to do our best.
561780	583320	sneak attack. The second one, it was like controlled. It was really weird. And let's go into the importance of Nancy Mace saying what she said. And what is the overall impact? What impact does it have on whistleblowers? And do you think this makes whistleblowers now afraid or motivated to come out?
591780	594680	A lot of us will be coming forward because of what happened.
597240	598280	I mean, it was weird.
598360	599180	You all saw it.
599200	600140	It was in real time.
600200	601240	The cameras were there.
601500	602820	It's pretty clear what happened.
602900	604480	And it's not a trivial matter.
604820	611680	You know, Jeremy had taken this particular witness into three of those congressional offices months ago.
611780	612760	So they knew what was coming.
612900	617060	We had had conversations with the guy, how he wanted the information to come forward.
617200	619380	He entrusted Jeremy with this document.
619380	626740	We had gone over line by line with that guy what the contents were and there was a promise
626740	629340	of how it was going to be handled and then that promise was broken.
630700	634300	And it's for reasons that I was kind of hinting about it.
634360	638980	I think it has reasons to do with people who give a lot of money to members of Congress.
639180	644640	And again this change of the guard thing of where that technology is going to end up and
