start	end	text
0	2440	Coming up in this week's episode of Weaponized.
2580	8360	We just had some interview clips with Phil Corso on Weaponized a couple of weeks ago.
8600	11840	And in the background you can hear John Alexander's voice.
11920	13300	He's one of the guys asking questions.
13580	16920	Whatever it is, it's more complex than we can possibly imagine.
17420	23460	One of the issues as that becomes more and more involved with various phenomena
24000	27000	is these things are all interactive.
27000	31900	and one of the problems, I think, in studying UFOs,
32980	35080	definitely today, if you're going to go on the Hill,
35220	37820	is we still stole quite the information.
38460	42120	So what you're saying, what we know about UFOs,
42120	44600	is that UFOs as physical, tangible craft
44600	48420	are just one part of a much kind of larger issue.
48660	50080	Is that what you're saying we know?
50400	51840	Absolutely. Absolutely.
52300	54620	It's far, far broader than that.
57180	59600	Secrets, cover-ups, and strange phenomena.
60240	62980	UFOs and ideas that challenge reality itself.
63460	65600	All these mysteries, all this time.
65840	67520	Are we ever going to get to the bottom of these?
67840	69020	My name is George Knapp.
69120	72680	I dig into news stories that others can't or won't.
72840	77260	I'm Jeremy Korbel, and for some reason, people tell me things they probably shouldn't.
78120	80680	And this is Weaponized.
84200	85860	This is Weaponized.
87000	92300	location here. What brothel did you bring me to there Jeremy? Look man, this is more like the movie The Shining.
92380	94760	That's a really cool hotel at an undisclosed location.
95220	100100	We're gonna talk to Colonel John Alexander today, and if people don't know that name,
100160	106040	well they should because he's been around the UFO field, the UFO topic for a long time, and related mysteries as well.
106240	112360	I've known him since 1996. He was involved with the creation of NIDS, the National Institute for Discovery Science.
112360	123160	Robert Bigelow's organization, which included one of the science advisory boards, Jacques Bellet, Hal Puthoff, Kit Green, Dr. Edgar Mitchell, a lot of really impressive people.
123500	129160	That organization was created to dig into the UFO mystery and also the afterlife.
129440	132260	Does human consciousness go on after death?
132400	134180	So John has been a world traveler.
134300	137100	He's gone all over the world in search of these mysteries.
137200	139120	More travel than any person I know.
139120	144320	but long before he was involved with NIDS, while he was still a lieutenant colonel with Army
144320	149600	Intelligence, he was pursuing UFOs from the inside. He put together this little informal group,
150160	157060	ATP was its initials, almost a pre-ATEP, to try to figure out, does somebody have crash retrievals?
157180	162880	Are there stovepipes? He pursued it, didn't find what he was looking for, but stayed on the mystery.
162880	169880	since then he went on to work with the remote viewing program the U.S. Army which had developed
169880	176720	a program that that grew out of the CIA's research he became the director of non-lethal weapons for
176720	182840	Los Alamos lab so he's done a lot of stuff and has added fingers in these pies and I can tell
182840	187640	you from traveling with them a little bit and going to UFO conferences it's like you walk in
187640	192480	with Darth Vader there's that people look at John Alexander as this man in black kind of character
192880	196860	He's an evildoer who has helped keep these secrets, which, and he gets the biggest kick
196860	197300	out of that.
197400	199280	I think he likes to exploit them a little bit.
199360	199920	You've met him.
200060	200280	Yeah.
200460	202160	And you know, that's not true about him.
202200	203780	But so this is my experience.
203860	205880	You know, I start looking into UFOs.
205880	208720	I'm filming with John Lear telling me all this crazy stuff.
208960	213400	And I go over to John B. Alexander's house early days and I go to film with him.
213480	216900	And first of all, I was astonished how kind he was and his wife.
217060	217920	And they let me in.
217920	219220	I thought he was Darth Vader too.
219340	221160	And this was, he was like a spook, right?
221440	222600	Like a man in black.
222880	227520	Like, here's a guy, they based a movie, The Men That Stare at Goats, you know, where the
227520	229840	CIA is exploring all this consciousness stuff.
230080	231780	So, I had all these preconceived notions.
232160	233840	He's really well-traveled.
233840	236600	He's done some incredible work in this space.
236720	242360	And he actually hunted for the UFO reverse engineering programs back in the day.
242420	246120	And he was sure there weren't any because everybody told him there weren't any.
246240	248240	But now, I don't know if he is so sure.
248400	251380	Yeah, I think maybe the goalpost has moved a little bit.
252880	257140	that he did back in the days when I first knew him was look into Phil Corso.
257260	262460	Now, we just had some interview clips with Phil Corso on Weaponize a couple of weeks
262460	262760	ago.
