start	end	text
3560	5480	Do you guys work with JSOC? Yes or no?
6560	7320	Yes, we do.
7460	10300	Okay. All right. Thank you very much, ma'am. I yield the rest of my time, Chairman.
10460	12640	So what is the significance of that?
13740	20860	Incursions in national security airspace, including over nuclear weapons facilities, nuclear labs.
21080	25980	It's very alarming because, you know, this facility is extremely sensitive.
31640	34040	Secrets, cover-ups, and strange phenomena.
34680	37420	UFOs and ideas that challenge reality itself.
37900	40040	All these mysteries, all this time.
40280	41960	Are we ever going to get to the bottom of these?
42280	43460	My name is George Knapp.
43560	47120	I dig into news stories that others can't or won't.
47280	51700	I'm Jeremy Korbel, and for some reason, people tell me things they probably shouldn't.
52580	54840	And this is Weaponize.
57660	59260	My name is George Knapp.
60000	63520	my friend and colleague and young Jedi apprentice, Jeremy Korbel.
63760	65160	Jeremy, what have you been up to?
66140	72240	Man, probably the same as you, just total relaxation, nothing stressful, not doing anything
72240	73080	with my life.
73820	74860	Yeah, ditto here.
74960	78980	I've been doing a lot of lollygagging, you know, just kind of laying around, not doing
78980	80040	anything, actually.
80460	81600	I've been traveling.
81640	83020	I'm so far out of the loop.
83260	88840	I'd need the James Webb Space Telescope to even identify which galaxy the loop is in.
90000	92160	I'm going to have to depend on you to bring me up to date.
92320	97140	I mean, we do cross paths now and then, such as last week.
98820	99360	Yeah, man.
99500	101660	So that's so, you know, obviously we're joking.
101720	105360	We're working our butts off and not everything we do is always, always public.
105440	112100	You know, a lot of the work we do is building cases and kind of over time getting to witnesses and getting them to come forward.
112700	116460	Also, we have some projects that are, you know, in works right now.
116460	120540	So we've been real busy, but we did have a chance to hang out together.
121140	125600	I feel like you kind of extorted me to go because I didn't want to leave my home.
125640	128940	But you're like, let's go to contact in the desert.
129020	131040	And it's a people that don't know.
131160	135740	It's a UFO conference, a big one, you know, right by my house in the desert.
135820	138840	So it was really neat to kind of go there together.
139000	146200	And we got to ride in the space tank, which is the with the cyber truck that says the UFO on the front.
146460	147740	It was really fun, man.
147860	149580	And we got to see a bunch of friends.
150200	151600	Who were some of the friends we saw?
151880	152880	Let me just say this.
152980	155440	I was picked up in what I thought was an alien spaceship.
155640	160480	It's the Cybertruck with a certain distinctive license plate on it.
160520	162840	That Cybertruck made news.
162960	165820	Did you notice that in UFO World and the L.A. Times?
165960	166760	There were pictures of it.
166960	173500	And people are speculating which big fat defense contract you've got that made you able to afford that thing.
174240	174840	Yeah, yeah.
176460	178340	buddy, but it was great. Yeah, I've been waiting for that
178340	180240	truck for a while. It's pretty great. It has not broken
180240	182100	down on me. I was really worried driving an
182100	183820	all-electric vehicle, but it's like
183820	186040	a spaceship. I mean, it really is like
186040	188320	new technology to me. I've always
188320	190340	driven, you know, gas
190340	192360	cars, but it was just, it's really neat.
192420	194320	It's a weird thing to be in that vehicle,
194440	196420	but I told our buddy Rogan,
196420	198080	you know, that I got one of those, and he's like,
198140	200040	nothing better for a UFO
200040	201940	investigator. So I felt pretty good
201940	204000	in that vehicle, man. It was good. It's spectacular.
204360	206200	Good gosh. It's like a rocket ship,
206460	208840	And you punch it and your head goes back like that.
208900	212880	Anyway, I really enjoyed sitting in it and riding it.
212960	214620	And I'm now very envious of the whole thing.
215520	216560	Contract in the Desert.
216900	219020	I've been invited to that event a lot of times.
219060	220140	Always wanted to check it out.
220240	228860	This time, George Norrie, my colleague and friend on Coast to Coast AM, asked me to come and do an onstage presentation with him.
229140	231460	And I couldn't resist that invitation.
231580	232220	We went.
232660	233540	It's a big event.
233720	234360	A lot of speakers.
234740	236080	A lot of really good speakers.
236460	238760	I had a heck of a lot of fun on stage with George.
239140	240120	He's funny as hell.
240260	243300	I mean, when he cuts loose, he's funny as hell in person.
244180	244740	That's awesome.
244800	245000	Yeah.
245340	247300	You know, I got to kind of dip in a little bit.
247320	250040	I was working on a project during that weekend, as you know, George.
250120	252160	And we had some great conversations.
252260	257760	So we got to see our buddy, Ernest Klein, Ernie Klein, who wrote Ready Player One and a bunch of other things.
257840	259840	And it was just really cool to hear.
259960	261880	Always, I learned something from him.
261880	267160	Even though we disagree about many things in the UFO world, it's always cool to kind of hear his perspective.
267560	268560	He's very thoughtful.
268800	273440	We got to hang out with Dave Foley and Tom for their podcast, Really?
273720	274980	That's the name of their podcast.
275340	276200	We got to see them.
276640	278660	Ernie Klein is such a smart guy.
279180	283220	He knows so much about UFOs and related subjects.
284260	284780	Technology.
285120	288420	You know, Ready Player One was a New York Times bestseller.
288720	289500	Huge hit.
289500	295560	hit. Steven Spielberg directed the movie, also a huge hit. Ernie then wrote Ready Player Two.
295860	300080	In between, he wrote another bestseller, New York Times bestseller called Armada,
300280	305780	which is about an alien invasion. Fictional, but based on a lot of information that Ernie
305780	310400	has gathered over the years. You and I took a trip to Area 51 two years ago with Ernie,
310480	314680	escorted him out there to one of our favorite places in the world. He's such a smart guy.
314680	317880	and even though he wasn't a speaker at this thing,
318000	319380	we talked to him so much
