start	end	text
1860	4460	It's ridiculous. It's like the White House coming out and saying,
4620	7440	oh, nothing to see here. All of these things were FAA approved.
7720	12880	After research and study, the drones that were flying over New Jersey in large numbers were
12880	18620	authorized to be flown by the FAA for research and various other reasons.
18980	22640	We know that to not be true, not only from internal comms that we've seen,
22700	27880	but from people high up in these regulatory bodies being like, if it was the FAA,
27880	33240	we didn't know so it's it's almost fundamentally ridiculous but when you get wall street journal
33240	41000	in 60 minutes kind of moving over parts of the topic especially 60 minutes inaccurately then
41000	47660	we have a real houston we got a problem but ship logs show they were identified as drones
47660	54460	quote at the time now hold the fuck up why do you think there's this predisposition
54460	57200	to refer to them as drones or call them that?
57800	60380	I mean, based on our understanding,
60520	62820	the most reasonable explanation would be
62820	64500	some sort of a drone or a UAV.
64860	66740	And then you sort of go to the connotation
66740	68940	that's attached with calling them what they actually are,
69060	71600	which is an unidentified flying object, a UFO.
72080	74120	Our systems can't seem to detect them.
74160	75540	We can't see them coming in.
75700	76860	We can't see them leaving.
77140	79500	On record testimony in one of our weapon eyes
79500	82180	of the dude whose job it was to identify
82180	88200	identify if these units were coming on and off this bath straight. How this lie, you know,
88200	106160	continues to go is because people want it to be so. This is Weaponize. My name is George Knapp.
106300	111560	I'm here in Las Vegas. Jeremy Korbel, my friend and colleague. How are you doing? I'm doing great,
112180	116480	been hanging out a lot, hitting the pavement, doing a lot of work together that I'm excited
116480	119840	that we're going to be putting out. A lot of traveling. We got to Austin,
120000	124960	where we have a lot of friends. It was a gathering of UFO poobahs for the premiere
124960	130240	at South by Southwest of this film produced by Dan Farah. What did you think of it?
130660	136200	Yeah, it was great. So Age of Disclosure is the name of the movie, and we were invited to go see
136200	142860	the premiere at South by Southwest. I didn't, you know, kind of realize that every single UFR person
142860	147600	that I know was going to be there. It was, it was, it was fun, man. It was really cool to get together
147600	152720	with everybody and to be able to see the movie before it kind of hits the screens. I heard a lot
152720	156960	about it. Obviously we know almost everybody that's involved with it. I think it was a powerful
156960	163860	collection of strong voices. Some you've heard from before, but many you have not all kind of
163860	167880	of talking about the same thing, which is that this is something we're going to have to contend
167880	175880	with, which is the reality and presence of UFOs. Yeah, the film makes it pretty clear from pretty
175880	182780	high level people that this topic has been confused on purpose, ignored, discredited,
182860	187760	and that it's time for the secrecy to end. These are some pretty high up intelligence people,
