start	end	text
1120	5800	The very first case that they investigated was the Tic Tac.
6420	11620	The person, we can now say, the person who got that assignment was a guy named Jay Stratton.
12220	15160	The key to that hearing was a guy named Dave Fravor.
15300	19820	Now we've known Dave Fravor for a long time. We knew him before we could talk about him.
19920	27800	He oozes credibility. Surveillance of journalists and, you know, phones being listened to and things of that sort,
27800	30580	which sounds like something out of a movie, but is real.
31040	32600	It's happened to me before,
33460	38460	and I think it's probably happening to a variety of journalists and investigators right now.
38620	42800	And when that comes out, and it should come out, somebody should go to jail for it.
42940	47180	I heard one estimate of 40 whistleblowers or thereabouts in the wings ready to go.
47860	52820	What kind of state of readiness do you believe tonight those people are in?
54140	55700	Armed to the teeth.
57140	57660	Wow.
