start	end	text
0	2160	In this episode of Weaponized.
3280	6940	In 2021, it was the 14th of December,
7840	10780	it was reported across the media from BBC
11400	12700	to the Ministry of Defense
12700	15960	throughout the UK and the world over Syria
16800	19520	that there was in quotes, a hostile drone
19520	23260	that was shot by the Royal Air Force.
23360	26820	This was the first air-to-air firing
26820	30040	firing from the Royal Air Force in 40 years.
30100	31280	Since the Falklands War.
31480	33060	Since the Falkland Islands War.
33340	35780	You know, we do have a strange image
35780	36840	we want to show people today.
37000	40000	We were able to confirm that this image that we have
40800	42580	was associated with this event,
42660	43900	meaning this is what we shot at.
45160	49120	They labeled it Unidentified Aerial Phenomenon, UAP.
