start	end	text
0	2480	Coming up in this week's episode of Weaponized.
2600	8380	We just had some interview clips with Phil Corso on Weaponized a couple of weeks ago.
8620	11880	And in the background you can hear John Alexander's voice.
11960	13340	He's one of the guys asking questions.
13620	16940	Whatever it is, it's more complex than we can possibly imagine.
17480	23500	One of the issues as I've become more and more involved with various phenomena
23500	26940	is these things are all interactive.
26940	31940	and one of the problems I think in studying UFOs,
32980	35140	definitely today if you're going to go on the hill,
35280	37820	is we still stovepipe the information.
38480	42160	So what you're saying, what we know about UFOs,
42160	46120	is that UFOs as physical, tangible craft are just one part
46120	47940	of a much kind of larger issue.
48680	50120	Is that what you're saying we know?
50400	51880	Absolutely. Absolutely.
52320	54660	It's far, far broader than that.
56940	59720	Thank you.
