start	end	text
2340	5800	This is not the final episode of Weaponized.
8300	13480	Join us this week for a special bonus episode of Weaponized leading up to the season finale.
14040	19220	Something profound appears to be happening to our planet. Something related to an alien presence.
19600	21560	The original best evidence changed my life.
21680	27780	The only media institution in the world covering the subject and the most interesting subject in the universe.
30000	33640	We've known about this for decades and it was hidden from you.
33740	35060	Oh my gosh, that's another blow.
35460	37880	There's more than one kind of non-human intelligence.
38380	41640	And we don't even know if they're, we don't want to call them aliens because we don't know where they're from.
45360	48820	It's an easy secret to keep if it's a secret that nobody wants to learn.
49160	55740	Step back in time for an out of this world discussion with Ernest Cline, writer of Ready Player One.
60000	60520	Thank you.
