start	end	text
540	4220	There's a lot of that is glare that you're also getting off of the reflection.
4400	6680	That's why it's so apparently hot.
6840	11880	Because you have to now do the sun angles off of it.
12200	13740	This was at night, first of all.
13960	14960	Okay, it was at night.
15100	16260	Gimbal was filmed at night.
16340	22860	This is a basic detail about the most recognizable UAP footage in the world of all time.
23040	24960	Most Americans have seen it at least once.
24960	31500	How do I have to explain the most famous UAP videos to the government's the US government's?
31540	34280	UFO chief analyst
