start	end	text
0	1740	In this week's episode of Weaponize.
1860	6300	The last time Congress had a hearing, David Fravor was one of the witnesses.
6560	7940	So he talked with us.
8200	10740	Featuring a special interview with Commander David Fravor.
10920	14460	A few weeks ago, Dr. Sean Kirkpatrick came out with a public statement.
14560	17240	He's, you know, he's the head of, was the head of Arrow,
17420	20560	the latest incarnation of the Pentagon UFO program.
20700	24660	And he came out with a statement that basically all cases have been explained,
25360	26240	including the Tic Tac.
26240	29840	They want to take our event and then they want to talk about the sensor.
29960	31840	Well, it could have been this and that. It could have been that.
31900	35720	I said, well, it wasn't that. I go, I know, by the way, four of us interacted with it.
35760	41720	We saw it with our eyes. And I said this to Congress, you know, because, you know, we all know that the Air Force is building the B-21.
42580	50160	And I would say, well, if you're building a B-21, but you have something like the Tic Tac that does what it does, then why do you need that?
61580	63040	Thanks for watching!
