start	end	text
580	5340	Explain to me in detail the event that occurred at Vandenberg Air Force Base.
5480	10040	A large group of Boeing contractors were operating near one of the launch facilities at Vandenberg
10040	18980	Air Force Base when they observed a very large 100-yard sided red square approach the base
18980	19900	from the ocean.
20060	21080	I got there in 1999.
21360	23060	I left Vandenberg in 2006.
23060	40760	So I walked over and all at once they all start to tell me that at 0845 that morning we had a real world UFO event at Launch Facility 21 on the north end of the base.
40760	47740	and these contractors were working on site one of them walked outside and
47740	54260	noticed there was this gigantic red glowing square shaped object hovering at
54260	60720	low altitude over the launch pad. Was there also a landing? Yeah in that
60720	64420	same time period. This is the you call it the blotter right security forces
64420	69760	blotter people can see this right they can see the account as recorded? Yeah
71260	75500	publicly available anywhere. I've shared it with Congress and Arrow and the FBI.
76240	79540	Can we put it out for this episode? Make sure people see it?
79820	85800	Yeah, you can. Absolutely. I would like people, I want the public to be aware this is happening
85800	87480	and it's real. So yeah.
