start	end	text
0	5120	This new infrared video just released by documentary filmmaker Jeremy Corbell showing
5120	11020	what he says was an incident on the USS Jackson. Everybody wants to hear from somebody that was
11020	14900	there but it's hard man it's hard to get people that were there to talk especially if they're
14900	18320	current even though they're not talking for the Navy and they're talking for themselves
18960	24760	but I bet we're feeling lucky today right? I've been on the west coast of San Diego since 2002
24760	26000	2002 is when I joined the Navy.
26160	32400	To my surprise, which is something I've never witnessed, was a light I noticed on the horizon,
32520	38160	but it looked as if it were surfacing out of the water and going up.
38200	41060	They all executed at the same time, leaving.
41560	45620	It's not like three of them left and then one was kind of like a little behind them.
45700	48840	No, they were all in sync at the same time.
48920	50260	This is really, really important.
50420	51560	I want to emphasize this.
51560	58240	In the video, we see two objects and over the course of the 35 seconds of that video,
58500	62460	those two objects stay identically separated.
62600	65920	They're separated by about a half an angle, 0.6 degrees,
66120	69920	and that means they're moving in formation across the sky.
70160	72400	And that is absolutely critical to ruling out planes, right?
72500	76560	Because over 35 seconds, two planes would be going in vastly different directions.
76800	80660	And yet here we have not only corroboration of the eyewitness accounts,
81560	84960	ruling out distant aircraft, commercial aircraft.
