start	end	text
9700	10500	What's up everybody?
13000	16460	We got George Knapp going to throw down for you right now. This is so cool.
21960	25820	So two things. It was a real pleasure to talk with a bunch of you up here.
25820	29860	Man, that is what we're here for, is to be able to talk with one another.
30200	34740	This is the most fun convention UFO thing I've ever been to.
34820	36700	It's my third time. I hope I get a fourth.
40660	45980	I probably won't because they gave me a golf cart and they do not know what they just did.
47920	50560	So guys, George and I have got something prepared for you tonight.
51000	52500	I'm excited to be a part of it.
54820	63120	I was walking out of the house yesterday heading to the airport. I'm wearing these shoes with no socks,
63920	69900	Skechers, some cargo shorts, and a Tommy Bahama shirt, and I thought, hey, maybe I better put on some pants.
71260	75460	It's the first rule of ufology. You should always wear pants when you go out of the house.
75720	80280	But I realized that Oregon, McMinnville, is very different from Las Vegas.
80280	84600	You got this weird, strange droplets of unknown liquid that fall from the sky.
85640	89500	And of course, thank you, and of course it's green.
89800	94680	You know, I love rain and moisture, and I, of course, moved to the driest state in the country.
94920	97040	So I did wear pants. That's the good news.
98560	104840	Jeremy and I are so glad to be here. It is the most fun UFO conference, and I've been at them all over the world.
105700	114000	by the way, this company, McMinimins, they buy old buildings, restore them, repurpose them, keep them alive.
114440	118560	They have their own breweries and market beer.
118800	121960	They grow their own grapes and produce a line of wines.
122140	124740	They import coffee beans, roast their own coffee.
125720	129900	And I'm just trying to figure out, do they need an investigative reporter to work for them?
131240	134920	By the way, some of those beverages I mentioned are on sale right over there.
135280	139460	And Jeremy and I are much better when the audience is full of alcohol.
142340	144200	So tonight we're going to have a little bit of fun.
144300	145240	We're going to talk about disclosure.
146220	151920	And I think we're going to do a back and forth good cop, bad cop kind of a thing.
152040	154660	And I know, as you would predict, I am bad cop.
154860	157000	So Jeremy's going to be good cop.
157100	158960	But you wanted to start with a little teaser?
159900	163140	raise of hands because some of you came up to me and said that you've watched
163140	171860	weaponized have you seen our podcast can I oh man I am so sorry for you okay well
171860	177020	yes I got a little clip from weaponized that I think will really resonate with
177020	182800	with some of you that just talked with me so on this podcast it's fair to say
182800	188440	we're gonna talk a lot about UFOs UFOs UFOs and UFOs full-time into UFOs over
189900	190620	The UFOs.
190620	191500	The UFOs.
191500	193400	The UFO world came to my door.
193580	195400	There's UFO sightings and more.
195640	195940	Okay.
196260	196620	Okay.
196700	197680	This is really interesting.
197860	200840	What is your best piece of evidence that UFOs are real?
200880	201600	Show it to me.
201640	202540	Just show it to me.
202600	203160	Put it in my hands.
203680	206700	Uh, the sexual things that aliens have done.
206800	207300	Fuck this.
207600	207660	Yeah.
208040	209340	This field is a mess.
209500	211480	This topic is an absolute disaster.
212040	213860	All this shit about UFOs.
213980	215520	UFOs may not be extraterrestrial.
215680	216640	Hi, my name is Jeremy Korbel.
216700	218180	I'm really into this, but I'm not a crazy person.
218260	219080	I really want to know the truth.
220900	224700	that UFOs UFOs UFOs UFOs every day
231860	236940	hi wait Jeremy we have a lot of fun together travel around the world
236940	241600	interview interesting people you know after you covered this topic UFOs it's
241600	244960	hard to go back to doing stories about the City Council in Las Vegas or
244960	249760	something but he's kind of a marketing genius he created these stickers pardon
250900	254920	advance if you have kids in the audience, but the stickers say it's a guy pointing to
254920	263000	the object in the sky. That's a fucking flying saucer. So that's the only F bomb I'm going
263000	267860	to drop tonight. But we got a bunch of these things, so we'll hand them out at some point
267860	268540	this evening, right?
268720	274860	Yeah, I think that was episode one. Somebody made a mashup. The internet is the undefeated
274860	280460	champion of all time. Somebody put that together. But yeah, obviously we're talking about UFOs.
280900	291460	However, the whole point of the word weaponize is it's anything that weaponizes our curiosity that makes us go beyond a passive consumer and an active participant.
291660	295020	So we thought we'd have friends on that, like our musicians.
295500	299800	Those episodes, boom, because people want to hear about UFOs.
300880	307100	But, you know, look, it's really fun to do this work.
307900	309700	This is not my day job.
310900	316360	George Knapp's day job, but this is something we're passionate about, but we have a massive
316360	324160	disagreement, and that disagreement is about disclosure. So you're about to witness a no-holds-barred,
324200	329940	bare-knuckle fight between me and George Knapp about what you call disclosure. It won't get too
329940	335820	nasty. We're kind of on the same page, but there are multiple points of view on this topic, and I
335820	337640	I know it's something that's of interest to all of you here.
337760	341120	And I guess I'll start, and I'll be bad cop.
341340	344440	I am not by nature an optimistic guy.
344660	347960	I find dark clouds in every silver lining.
348700	356820	And, you know, I've been around the topic long enough now that I've seen these peaks and valleys in public interest, interest in Congress, interest by media and academia.
357240	359580	And it always seems to go away.
359700	361220	We think, oh, gosh, this could be it.
361300	362680	This is when it's going to happen finally.
362680	366240	and then something else takes over as the top priority.
366640	371980	For a total of about two minutes as the new Trump administration is coming in,
372020	374040	I was thinking, well, maybe they will do something.
374120	377400	And it's primarily because really powerful people around him,
377540	380100	people who are behind the scenes that you do not see,
380260	383540	had reached out and talked to us and said, we're really serious about it now.
384000	387820	I'm now of the opinion that these tech billionaires,
387840	392180	as James was hinting about in the intro, they want their hands on the technology.
392680	405520	They figure this technology is real, there are crashes, there are recovered materials and bodies and technology that has been sitting in hangars of defense contractors, aerospace companies for 70 years or so.
406160	410020	And they haven't seemed to have done much with it, as far as we know, and it's our turn.
410180	413140	And we're smart guys and hand it over.
413260	414640	That's what I think was kind of going on.
414760	417500	So I would like to be proven wrong about it.
417620	420480	Of course, disclosure means different things to different people.
420560	422560	And how would we go about it?
422680	423600	What would it look like?
423620	424620	What would the effects be?
424740	425640	Who would do it?
425880	428320	How far do they go in telling the story?
428460	430980	Is there really anybody who knows the full story?
431100	432040	And I'm not sure there is.
432220	434420	Jeremy and I have been pretty far up the food chain
434420	436040	and military and intelligence circles
436040	437240	and the people who should know.
437960	440140	And I don't think I've ever found somebody
440140	442580	who knows all the big picture stuff at all.
442660	444000	So what do you disclose?
444360	446500	And I think you, everyone here,
447300	450000	probably has a strong interest in the topic.
450080	451100	You wouldn't have come out otherwise.
452680	457100	You probably are the crazy UFO person in your family, in your office, right?
457640	461560	Oh, God, Uncle Bob talking about UFOs again over Thanksgiving dinner.
461940	466040	Oh, geez, George at the water cooler doing those UFO alien stories again.
466780	467800	You're that person.
467960	473440	And I think what we really would like, more necessarily than knowing where they're from, why they're here,
474160	478040	you'd like somebody to step up and say and admit, yeah, we've been lying.
478160	480560	We've been lying through our teeth all these years, right?
480640	481220	You would.
